requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201311,A10023322,0,0,0,0,0,0,0,0,0,0
201312,A10023322,0,0,0,0,0,0,4392430,0,0,0
201401,A10023322,0,0,0,0,0,0,5115880,0,833550,578
201402,A10023322,0,0,0,0,0,0,5172320,0,0,0
201403,A10023322,0,0,0,0,0,0,4358890,0,833420,634
201404,A10023322,0,0,0,0,0,0,4635480,0,0,0
201405,A10023322,0,0,0,0,0,0,4495990,0,1616310,1702
201406,A10023322,0,0,0,0,0,0,5792590,0,0,0
201407,A10023322,0,0,0,0,0,0,6752200,0,1906080,1743
201408,A10023322,0,0,0,0,0,0,6886720,0,0,0
201409,A10023322,0,0,0,0,0,0,5507700,0,2005370,1779
201410,A10023322,0,0,0,0,0,0,4742700,0,0,1909
201411,A10023322,0,0,0,0,0,0,5565460,0,1955600,1909
201412,A10023322,0,0,0,0,0,0,6547810,0,0,0
201501,A10023322,0,0,0,0,0,0,6737460,0,2255480,1959
201502,A10023322,0,0,0,0,0,0,6350970,0,0,0
201503,A10023322,0,0,0,0,0,0,5091540,0,2255480,1709
201504,A10023322,0,0,0,0,0,0,4986740,0,0,0
201505,A10023322,0,0,0,0,0,0,4593100,0,1493600,1898
201506,A10023322,0,0,0,0,0,0,5890680,0,0,0
201507,A10023322,0,0,0,0,0,0,6577040,0,1892520,1871
201508,A10023322,0,0,0,0,0,0,8061150,0,0,0
201509,A10023322,0,0,0,0,0,0,5893390,0,1876800,1729
201510,A10023322,0,0,0,0,0,0,5496400,0,0,0
201511,A10023322,0,0,0,0,0,0,5346420,0,1888000,1777
201512,A10023322,0,0,0,0,0,0,6146390,0,0,0
201601,A10023322,0,0,0,0,0,0,6457320,0,1969260,1835
201602,A10023322,0,0,0,0,0,0,7054550,0,0,0
201603,A10023322,0,0,0,0,0,0,6501200,0,1750440,1693
201604,A10023322,0,0,0,0,0,0,6375710,0,0,0
201605,A10023322,0,0,0,0,0,0,4733030,0,1897040,1746
201606,A10023322,0,0,0,0,0,0,6353170,0,0,0
201607,A10023322,0,0,0,0,0,0,7336860,0,2009640,1869
201608,A10023322,0,0,0,0,0,0,9644470,0,0,0
201609,A10023322,0,0,0,0,0,0,3480200,0,1924060,1986
201610,A10023322,0,0,0,0,0,0,4650170,0,0,0
201611,A10023322,0,0,0,0,0,0,5219530,0,1021820,978
201612,A10023322,0,0,0,0,0,0,5772010,0,1021820,978
201701,A10023322,0,0,0,0,0,0,6114110,0,1009290,991
201702,A10023322,0,0,0,0,0,0,6331400,0,1009290,991
201703,A10023322,0,0,0,0,0,0,4760260,0,896320,839
201704,A10023322,0,0,0,0,0,0,4604470,0,896320,839
201705,A10023322,0,0,0,0,0,0,4332510,0,973620,912
201706,A10023322,0,0,0,0,0,0,5813610,0,973620,912
201707,A10023322,0,0,0,0,0,0,7170020,0,966760,937
