requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201309,A10023478,0,0,0,0,0,0,0,0,0,0
201310,A10023478,0,0,0,0,0,0,0,0,0,0
201311,A10023478,0,0,0,0,0,0,0,0,0,0
201312,A10023478,0,0,0,0,0,0,0,0,0,0
201401,A10023478,0,0,0,0,0,0,0,0,0,0
201402,A10023478,0,0,0,0,0,0,0,0,0,0
201403,A10023478,0,0,0,0,0,0,0,0,0,0
201404,A10023478,0,0,0,0,0,0,0,0,0,0
201405,A10023478,0,0,0,0,0,0,0,0,0,0
201406,A10023478,0,0,0,0,0,0,0,0,0,0
201407,A10023478,0,0,0,0,0,0,0,0,0,0
201408,A10023478,0,0,0,0,0,0,0,0,0,0
201409,A10023478,0,0,0,0,0,0,0,0,0,0
201410,A10023478,0,0,0,0,0,0,0,0,0,0
201411,A10023478,0,0,0,0,0,0,0,0,0,0
201412,A10023478,0,0,0,0,0,0,0,0,0,0
201501,A10023478,0,0,0,0,0,0,0,0,0,0
201502,A10023478,0,0,0,0,0,0,0,0,0,0
201503,A10023478,0,0,0,0,0,0,0,0,0,0
201504,A10023478,0,0,0,0,0,0,0,0,0,0
201505,A10023478,0,0,0,0,0,0,0,0,0,0
201506,A10023478,0,0,0,0,0,0,0,0,0,0
201507,A10023478,0,0,0,0,0,0,0,0,0,0
201508,A10023478,0,0,0,0,0,0,0,0,0,0
201509,A10023478,0,0,0,0,0,0,0,0,0,0
201510,A10023478,0,0,0,0,0,0,0,0,0,0
201511,A10023478,0,0,0,0,0,0,0,0,0,0
201512,A10023478,0,0,0,0,0,0,0,0,0,0
201601,A10023478,0,0,0,0,0,0,0,0,0,0
201602,A10023478,0,0,0,0,0,0,0,0,0,0
201603,A10023478,0,0,0,0,0,0,0,0,0,0
201604,A10023478,0,0,0,0,0,0,0,0,0,0
201605,A10023478,0,0,0,0,0,0,0,0,0,0
201606,A10023478,0,0,0,0,0,0,0,0,0,0
201607,A10023478,0,0,0,0,0,0,0,0,0,0
201608,A10023478,0,0,0,0,0,0,0,0,0,0
201609,A10023478,0,0,0,0,0,0,0,0,0,0
201610,A10023478,0,0,0,0,0,0,0,0,0,0
201611,A10023478,0,0,0,0,0,0,0,0,0,0
201612,A10023478,0,0,0,0,0,0,0,0,0,0
201701,A10023478,0,0,0,0,0,0,0,0,0,0
201702,A10023478,0,0,0,0,0,0,0,0,0,0
201703,A10023478,0,0,0,0,0,0,0,0,0,0
201704,A10023478,0,0,0,0,0,0,0,0,0,0
201705,A10023478,0,0,0,0,0,0,0,0,0,0
201706,A10023478,0,0,0,0,0,0,0,0,0,0
201707,A10023478,0,0,0,0,0,0,0,0,0,0
201708,A10023478,0,0,0,0,0,0,0,0,0,0
201709,A10023478,0,0,0,0,0,0,0,0,0,0
201710,A10023478,0,0,0,0,0,0,0,0,0,0
201711,A10023478,0,0,0,0,0,0,0,0,0,0
201712,A10023478,0,0,0,0,0,0,0,0,0,0
201801,A10023478,0,0,0,0,0,0,0,0,0,0
201802,A10023478,0,0,0,0,0,0,0,0,0,0
201803,A10023478,0,0,0,0,0,0,0,0,0,0
201804,A10023478,0,0,0,0,0,0,0,0,0,0
201805,A10023478,0,0,0,0,0,0,0,0,0,0
201806,A10023478,0,0,0,0,0,0,0,0,0,0
201807,A10023478,0,0,0,0,0,0,0,0,0,0
201808,A10023478,0,0,0,0,0,0,0,0,0,0
201809,A10023478,0,0,0,0,0,0,0,0,0,0
201810,A10023478,0,0,0,0,0,0,0,0,0,0
201811,A10023478,0,0,0,0,0,0,0,0,0,0
201812,A10023478,0,0,0,0,0,0,0,0,0,0
201901,A10023478,0,0,0,0,0,0,0,0,0,0
201902,A10023478,0,0,0,0,0,0,0,0,0,0
201903,A10023478,0,0,0,0,0,0,0,0,0,0
201904,A10023478,0,0,0,0,0,0,0,0,0,0
201905,A10023478,0,0,0,0,0,0,0,0,0,0
201906,A10023478,0,0,0,0,0,0,0,0,0,0
201907,A10023478,0,0,0,0,0,0,0,0,0,0
201908,A10023478,0,0,0,0,0,0,0,0,0,0
201909,A10023478,0,0,0,0,0,0,0,0,0,0
201910,A10023478,0,0,0,0,0,0,0,0,0,0
