requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
202312,A10023482,0,0,0,0,0,0,49412030,183372,10823210,9530
202401,A10023482,0,0,0,0,0,0,58052620,194595,9929200,9700
202402,A10023482,0,0,0,0,0,0,50721610,191794,10920270,9591
202403,A10023482,0,0,0,0,0,0,41770301,176782,9433400,9269
202404,A10023482,0,0,0,0,0,0,41501711,182003,11421940,10049
202405,A10023482,0,0,0,0,0,0,38020677,171702,9838970,9654
202406,A10023482,0,0,0,0,0,0,39997811,188666,11638990,10250
202407,A10023482,0,0,0,0,0,0,57400717,241153,10838220,10080
202408,A10023482,0,0,0,0,0,0,87535752,341230,11506930,10128
202409,A10023482,0,0,0,0,0,0,78561040,303290,11035300,10240
202410,A10023482,0,0,0,0,0,0,42301332,188703,10785810,9650
202411,A10023482,0,0,0,0,0,0,41384986,182134,11297910,9926
202412,A10023482,0,0,0,0,0,0,46571203,186515,10672840,10214
202501,A10023482,0,0,0,0,0,0,52699832,200266,11802640,10344
202502,A10023482,0,0,0,0,0,0,53237722,198420,11322620,9958
202503,A10023482,0,0,0,0,0,0,0,0,0,0
