requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
202112,A10023955,0,0,0,0,0,0,0,0,0,0
202201,A10023955,0,0,0,0,0,0,0,0,0,0
202202,A10023955,0,0,0,0,6354620,0,3057820,0,0,0
202203,A10023955,2004700,19,1689520,102,5099940,6998,4054480,43896,21951700,2091
202204,A10023955,1030010,7,1499480,139,2481280,2782,4902020,48528,0,0
202205,A10023955,0,0,1949020,144,2132950,2326,6100260,58171,3954780,3766
202206,A10023955,63070,0,1256220,138,1657910,1694,8887770,75700,0,0
202207,A10023955,43880,0,1245440,150,1654670,1575,13653480,102460,4162110,3807
202208,A10023955,54920,0,1467170,185,1656350,1583,12344690,95294,0,0
202209,A10023955,90980,0,1671080,262,1975090,1970,11558040,85293,5336830,4634
202210,A10023955,1002820,5,2669800,341,3578350,3443,8726040,63833,0,0
202211,A10023955,2276110,14,3007400,380,5851710,5895,7763920,57205,6220650,5924
202212,A10023955,6761780,59,1671150,417,11621590,12111,8027580,58423,0,0
202301,A10023955,5740260,54,5324990,365,10199860,10511,8361530,54549,5688630,4387
202302,A10023955,4714740,35,3069890,381,7664990,7789,7477070,49132,0,0
202303,A10023955,2906240,21,3341600,498,6581930,6678,8777060,57915,6104470,4439
202304,A10023955,1013150,4,2959230,464,3886460,3766,8574640,59518,0,0
202305,A10023955,525200,1,2692370,409,3629090,3397,11315770,73956,7084330,5294
202306,A10023955,563340,1,1988370,349,2390870,2042,15727790,94334,0,0
202307,A10023955,320280,1,1818100,323,2422710,1970,20082420,120204,6491570,4978
202308,A10023955,257910,0,1584510,299,1787570,1325,20156130,120856,0,0
202309,A10023955,235210,0,1630240,342,2036130,1585,17652110,102955,6411230,4941
202310,A10023955,849100,3,2711410,407,3402080,2986,10477600,67308,0,0
202311,A10023955,3077930,22,2790570,438,68510020,6147,9290430,60705,6969430,60705
202312,A10023955,5222000,41,3318690,464,10816510,10511,9014450,59434,0,0
202401,A10023955,6589230,46,3676110,421,11929520,11652,8724210,57260,6294640,4600
202402,A10023955,4189010,24,3082510,361,8047240,7720,7839740,51601,0,0
202403,A10023955,3788560,24,3824350,537,8351690,8033,9679240,59991,6242940,4542
202404,A10023955,811840,3,2971840,485,4004390,3598,10686390,64454,0,0
202405,A10023955,487700,1,2540870,436,3200540,2785,13109040,79871,6846850,5388
202406,A10023955,427020,1,2316390,381,2878330,2449,19053720,103817,0,0
202407,A10023955,506370,2,1745750,326,2250410,1771,21975470,121966,6504320,6504320
202408,A10023955,388050,1,1614860,262,2150230,1580,25394800,138834,0,0
202409,A10023955,205680,0,1705080,348,2203130,1636,22174920,117633,6488350,5306
202410,A10023955,454400,0,2941450,470,3542080,2914,12322140,72926,0,0
202411,A10023955,2733080,14,3461360,509,6623500,5874,9860620,60871,7196950,5679
202412,A10023955,6831390,47,4016020,530,12021920,11058,9936030,60833,0,0
202501,A10023955,6369440,46,3480020,426,10726520,9772,9013940,55272,6301500,4751
202502,A10023955,6653540,47,3275690,394,11182640,10220,8220370,50474,0,0
202503,A10023955,0,0,0,0,0,0,0,0,0,0
