requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
202112,A10024347,0,0,0,0,0,0,109838130,483917,24142090,23079
202201,A10024347,0,0,0,0,0,0,113927560,495879,26434430,23914
202202,A10024347,0,0,0,0,0,0,99085470,450821,26960250,24126
202203,A10024347,0,0,0,0,0,0,99700780,486351,24941170,22294
202204,A10024347,0,0,0,0,0,0,92687520,438934,27444000,24636
202205,A10024347,0,0,0,0,0,0,92098000,442318,28968340,23913
202206,A10024347,0,0,0,0,0,0,118113599,492837,30727790,24964
202207,A10024347,0,0,0,0,0,0,170683037,724117,31228270,24970
202208,A10024347,0,0,0,0,0,0,159916636,685621,31105770,25749
202209,A10024347,0,0,0,0,0,0,116767606,476283,33701920,24891
202210,A10024347,0,0,0,0,0,0,102214373,469207,28566800,24013
202211,A10024347,0,0,0,0,0,0,100704124,453328,27496850,25518
202212,A10024347,0,0,0,0,0,0,128041573,501355,27185300,23939
202301,A10024347,0,0,0,0,0,0,138692426,502830,28535330,24540
202302,A10024347,0,0,0,0,0,0,105393453,439602,29231860,24331
202303,A10024347,0,0,0,0,0,0,112002835,468016,27177950,22378
202304,A10024347,0,0,0,0,0,0,104472709,444553,30738080,25182
202305,A10024347,0,0,0,0,0,0,113361657,457850,32302850,24520
202306,A10024347,0,0,0,0,0,0,142371083,499509,34034400,25541
202307,A10024347,0,0,0,0,0,0,197137631,709747,34857120,25025
202308,A10024347,0,0,0,0,0,0,189520460,772065,33489870,25248
202309,A10024347,0,0,0,0,0,0,136924268,544606,31165840,25055
202310,A10024347,0,0,0,0,0,0,110521661,454010,29460920,23925
202311,A10024347,0,0,0,0,0,0,112220067,461409,31326790,24688
202312,A10024347,0,0,0,0,0,0,125563179,500211,27980340,23666
202401,A10024347,0,0,0,0,0,0,145662247,508655,30371020,24305
202402,A10024347,0,0,0,0,0,0,124887654,461936,29564920,24051
202403,A10024347,0,0,0,0,0,0,129197337,482078,27667200,22629
202404,A10024347,0,0,0,0,0,0,113482368,450231,31099950,25017
202405,A10024347,0,0,0,0,0,0,126875008,461583,30670080,23972
202406,A10024347,0,0,0,0,0,0,147900636,533567,33551050,25369
202407,A10024347,0,0,0,0,0,0,198958134,728967,34567670,25294
202408,A10024347,0,0,0,0,0,0,259436306,921489,37168630,25656
202409,A10024347,0,0,0,0,0,0,189236839,664249,34816960,25688
202410,A10024347,0,0,0,0,0,0,126642280,469216,31022510,24490
202411,A10024347,0,0,0,0,0,0,121532319,463114,31530920,25051
202412,A10024347,0,0,0,0,0,0,137053654,506968,28580210,24054
202501,A10024347,0,0,0,0,0,0,143322923,516464,30616980,24278
202502,A10024347,0,0,0,0,0,0,124110672,463479,29638250,24122
202503,A10024347,0,0,0,0,0,0,0,0,0,0
