requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
202002,A10025003,0,0,0,0,0,0,0,0,0,0
202003,A10025003,0,0,0,0,0,0,57057270,0,9566820,0
202004,A10025003,0,0,0,0,0,0,50917990,0,12995740,0
202005,A10025003,0,0,0,0,0,0,56059380,0,15516900,0
202006,A10025003,0,0,0,0,0,0,75198006,341810,16895590,16349
202007,A10025003,0,0,0,0,0,0,70339120,367809,16166560,17199
202008,A10025003,0,0,0,0,0,0,111958900,499929,19019061,17639
202009,A10025003,0,0,0,0,0,0,70695940,342865,14506930,16667
202010,A10025003,0,0,0,0,0,0,66507590,323788,16127887,16899
202011,A10025003,0,0,0,0,0,0,66986180,336222,15949295,16779
202012,A10025003,0,0,0,0,0,0,74198870,538545,17353826,18812
202101,A10025003,0,0,0,0,0,0,63606880,448269,16529878,17715
202102,A10025003,0,0,0,0,0,0,65272180,505580,14571190,15852
202103,A10025003,0,0,0,0,0,0,65973860,495256,17605717,18847
202104,A10025003,0,0,0,0,0,0,59378501,478170,16560772,17744
202105,A10025003,0,0,0,0,0,0,64765678,503562,16934722,18148
202106,A10025003,0,0,0,0,0,0,70871985,529729,17476050,18724
202107,A10025003,0,0,0,0,0,0,115582756,767444,18848060,20013
202108,A10025003,0,0,0,0,0,0,96307070,690800,18538560,19667
202109,A10025003,0,0,0,0,0,0,67019240,524652,17252930,18409
202110,A10025003,0,0,0,0,0,0,68040974,517656,18160790,19259
202111,A10025003,0,0,0,0,0,0,65879673,503257,16939510,18025
202112,A10025003,0,0,0,0,0,0,76000828,556607,17306940,18442
202201,A10025003,0,0,0,0,0,0,87946682,581250,19086680,18216
202202,A10025003,0,0,0,0,0,0,69741481,345780,17204090,16204
202203,A10025003,0,0,0,0,0,0,70833683,370682,19659660,18244
202204,A10025003,0,0,0,0,0,0,64561400,337002,19141280,16899
202205,A10025003,0,0,0,0,0,0,65599353,339850,19526310,17722
202206,A10025003,0,0,0,0,0,0,77498029,378408,18962320,17510
202207,A10025003,0,0,0,0,0,0,119412529,546210,20111910,18497
202208,A10025003,0,0,0,0,0,0,111104757,515971,19489490,18225
202209,A10025003,0,0,0,0,0,0,76271308,367973,18827490,17338
202210,A10025003,0,0,0,0,0,0,76212983,346950,19699380,17798
202211,A10025003,0,0,0,0,0,0,76432125,340623,18913480,16975
202212,A10025003,0,0,0,0,0,0,97983361,375171,18575950,17250
202301,A10025003,0,0,0,0,0,0,107993302,375362,18665260,17128
202302,A10025003,0,0,0,0,0,0,82138272,328292,17211580,15244
202303,A10025003,0,0,0,0,0,0,86523450,352068,19627930,17313
202304,A10025003,0,0,0,0,0,0,79153326,334626,18384440,16726
202305,A10025003,0,0,0,0,0,0,88881944,352254,19749390,17631
202306,A10025003,0,0,0,0,0,0,108291507,389064,19075610,17287
202307,A10025003,0,0,0,0,0,0,140823303,535300,20184960,18274
202308,A10025003,0,0,0,0,0,0,153615039,576386,19619180,17836
202309,A10025003,0,0,0,0,0,0,113662948,416439,19273060,17392
202310,A10025003,0,0,0,0,0,0,90356681,346688,19760340,17555
202311,A10025003,0,0,0,0,0,0,92148691,348320,18687690,16836
202312,A10025003,0,0,0,0,0,0,112019109,374100,18578890,17057
202401,A10025003,0,0,0,0,0,0,114858465,378890,18418290,16953
202402,A10025003,0,0,0,0,0,0,91579216,345056,18630030,15751
202403,A10025003,0,0,0,0,0,0,94942131,360232,18796650,17324
202404,A10025003,0,0,0,0,0,0,83066768,337923,20634270,17206
202405,A10025003,0,0,0,0,0,0,89587311,347382,21445970,17401
202406,A10025003,0,0,0,0,0,0,105989139,407181,21676240,17532
202407,A10025003,0,0,0,0,0,0,131755886,534558,21556340,18026
202408,A10025003,0,0,0,0,0,0,173424019,670451,21856740,18036
202409,A10025003,0,0,0,0,0,0,130915258,484658,20797010,17259
202410,A10025003,0,0,0,0,0,0,85876117,347596,21326100,17462
202411,A10025003,0,0,0,0,0,0,85116772,343068,20747820,16918
202412,A10025003,0,0,0,0,0,0,104051830,374908,20073820,17153
202501,A10025003,0,0,0,0,0,0,109647588,380627,19797090,16881
202502,A10025003,0,0,0,0,0,0,90259090,339907,17932520,15313
202503,A10025003,0,0,0,0,0,0,0,0,0,0
