requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
202007,A10025166,0,0,0,0,0,0,26691730,137994,6427800,6519
202008,A10025166,0,0,0,0,0,0,36169580,178293,6745220,7099
202009,A10025166,0,0,0,0,0,0,32944700,162044,7314280,7630
202010,A10025166,0,0,0,0,0,0,23910020,128225,6830310,7197
202011,A10025166,0,0,0,0,0,0,28034990,138240,6910020,7269
202012,A10025166,0,0,0,0,0,0,30838520,146538,7009430,7401
202101,A10025166,0,0,0,0,0,0,34110120,154520,7100220,7363
202102,A10025166,0,0,0,0,258800,0,32228630,147418,7020420,7404
202103,A10025166,0,0,0,0,361160,0,24061550,128197,6281360,6643
202104,A10025166,0,0,0,0,106960,0,25546700,137587,7121520,7455
202105,A10025166,0,0,0,0,10380,0,23746160,132702,6645660,7189
202106,A10025166,0,0,0,0,5180,0,28376260,144302,7146800,7684
202107,A10025166,0,0,0,0,11640,0,39203310,196622,7562020,7717
202108,A10025166,0,0,0,0,0,0,46157150,227914,7350010,7626
202109,A10025166,0,0,0,0,640,0,27641080,147242,7607630,7650
202110,A10025166,0,0,0,0,5150,0,25429330,136845,6463980,7320
202111,A10025166,0,0,0,0,2580,0,27891840,141003,7548330,7773
202112,A10025166,0,0,0,0,22060,0,29600000,143827,7133790,7335
202201,A10025166,0,0,0,0,70210,0,32650250,151997,7489440,7054
202202,A10025166,0,0,0,0,146560,0,31695210,148584,8245380,7577
202203,A10025166,0,0,0,0,161700,0,25398070,132284,7160780,6714
202204,A10025166,0,0,0,0,73240,0,26979390,137017,7573880,7351
202205,A10025166,0,0,0,0,21280,0,24139420,123780,7435400,6805
202206,A10025166,0,0,0,0,0,0,29129410,137187,8959150,7668
202207,A10025166,0,0,0,0,720,0,43753810,193926,7830510,7434
202208,A10025166,0,0,0,0,0,0,49481580,219470,7569900,7840
202209,A10025166,0,0,0,0,770,0,29942960,145064,7619410,7484
202210,A10025166,0,0,0,0,780,0,26902990,129290,7650950,7132
202211,A10025166,0,0,0,0,12450,0,30401770,136513,7934180,7297
202212,A10025166,0,0,0,0,63630,0,33172850,142150,7631050,7163
202301,A10025166,0,0,0,0,234090,0,37965740,149527,7527950,7181
202302,A10025166,0,0,0,0,286870,0,37265960,144177,8855000,7098
202303,A10025166,0,0,0,0,256550,0,29174530,126066,7489800,6301
202304,A10025166,0,0,0,0,164570,0,31451960,134857,8163770,7037
202305,A10025166,0,0,0,0,121190,0,29883170,128281,8270600,7043
202306,A10025166,0,0,0,0,41930,0,37039230,143911,8852420,7680
202307,A10025166,0,0,0,0,12440,0,49234920,192251,8824100,7585
202308,A10025166,0,0,0,0,12490,0,64212230,236553,8964560,7703
202309,A10025166,0,0,0,0,16280,0,43246250,168704,8760540,7407
202310,A10025166,0,0,0,0,9500,0,28357350,129527,9042210,7521
202311,A10025166,0,0,0,0,10480,0,34968494,139041,8716490,7531
202312,A10025166,0,0,0,0,87140,0,37205773,142732,8606390,7428
202401,A10025166,0,0,0,0,273350,0,41289156,150303,8776810,7619
202402,A10025166,0,0,0,0,324350,0,39545491,147137,8630800,7436
202403,A10025166,0,0,0,0,286300,0,31950763,132108,7804610,6859
202404,A10025166,0,0,0,0,202790,0,32990668,135759,8791770,7584
202405,A10025166,0,0,0,0,106280,0,28137585,129429,8397270,7274
202406,A10025166,0,0,0,0,58370,0,32533745,154018,8887090,7663
202407,A10025166,0,0,0,0,18120,0,41623726,189351,8887090,7673
202408,A10025166,0,0,0,0,14420,0,64190033,266716,8836070,7718
202409,A10025166,0,0,0,0,11120,0,50276495,206505,8791770,7623
202410,A10025166,0,0,0,0,10200,0,27912976,131422,8462090,7378
202411,A10025166,0,0,0,0,20460,0,29999747,137950,8635200,7491
202412,A10025166,0,0,0,0,102070,0,31574050,142269,8290210,7175
202501,A10025166,0,0,0,0,283280,0,37969456,151527,8589390,7424
202502,A10025166,0,0,0,0,401990,0,38093707,149222,8441810,7278
202503,A10025166,0,0,0,0,0,0,0,0,0,0
