requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201905,A10025633,0,0,0,0,0,0,16629500,60086,5567970,2959
201906,A10025633,0,0,0,0,0,0,21137890,70487,6583320,3510
201907,A10025633,0,0,0,0,0,0,18407140,90836,3711510,3690
201908,A10025633,0,0,0,0,0,0,28528650,130274,4069660,3889
201909,A10025633,0,0,0,0,0,0,29955800,130274,3915700,3889
201910,A10025633,0,0,0,0,0,0,13633430,72642,3962930,3783
201911,A10025633,0,0,0,0,0,0,15192960,76520,4065830,3954
201912,A10025633,0,0,0,0,0,0,16276900,76520,3871580,3954
202001,A10025633,0,0,0,0,0,0,17489330,83548,3892540,3904
202002,A10025633,0,0,0,0,0,0,17454890,84618,3962980,4017
202003,A10025633,0,0,0,0,0,0,16280160,84618,4157260,4017
202004,A10025633,0,0,0,0,0,0,14692840,79918,4108090,4134
202005,A10025633,0,0,0,0,0,0,14669270,80368,4211510,4244
202006,A10025633,0,0,0,0,0,0,19237360,94450,4543910,4490
202007,A10025633,0,0,0,0,0,0,17622360,94450,4377910,4490
202008,A10025633,0,0,0,0,0,0,26363460,127268,4736330,4623
202009,A10025633,0,0,0,0,0,0,22735900,111131,4930360,4655
202010,A10025633,0,0,0,0,0,0,12897070,80342,4622110,4236
202011,A10025633,0,0,0,0,0,0,14877730,86014,4777160,4360
202012,A10025633,0,0,0,0,0,0,18084340,90806,4079320,3933
202101,A10025633,0,0,0,0,0,0,19901310,96841,4274300,4231
202102,A10025633,0,0,0,0,0,0,17477620,84618,4060690,4017
202103,A10025633,0,0,0,0,0,0,12720150,80153,3912450,3864
202104,A10025633,0,0,0,0,0,0,13575240,85198,4015630,3957
202105,A10025633,0,0,0,0,0,0,12836520,81596,3988960,4117
202106,A10025633,0,0,0,0,0,0,14848090,90220,5531580,4637
202107,A10025633,0,0,0,0,0,0,24725490,134030,4864280,4124
202108,A10025633,0,0,0,0,0,0,29463040,152228,5856210,4655
202109,A10025633,0,0,0,0,0,0,17853380,98604,5376130,4138
202110,A10025633,0,0,0,0,0,0,14725910,85264,6382480,4199
202111,A10025633,0,0,0,0,0,0,16579960,86985,5879120,4280
202112,A10025633,0,0,0,0,0,0,17284620,88265,4490320,4081
202201,A10025633,0,0,0,0,0,0,19766450,93147,5509840,4132
202202,A10025633,0,0,0,0,0,0,18952420,93709,4642030,4194
202203,A10025633,0,0,0,0,0,0,14287670,85875,4786630,3916
202204,A10025633,0,0,0,0,0,0,15206180,87133,5558960,4200
202205,A10025633,0,0,0,0,0,0,13790540,80534,6885030,4082
202206,A10025633,0,0,0,0,0,0,17529500,83462,6287460,4220
202207,A10025633,0,0,0,0,0,0,28377980,140955,5930030,4207
202208,A10025633,0,0,0,0,0,0,32619080,152358,5589710,4332
202209,A10025633,0,0,0,0,0,0,19746140,98301,5122290,4220
202210,A10025633,0,0,0,0,0,0,16157810,85910,4512680,3964
202211,A10025633,0,0,0,0,0,0,17241030,85910,4587480,3964
202212,A10025633,0,0,0,0,0,0,21422140,90047,4004740,3943
202301,A10025633,0,0,0,0,0,0,22875680,90394,4482010,3957
202302,A10025633,0,0,0,0,0,0,21832810,90394,4689010,3957
202303,A10025633,0,0,0,0,0,0,15768610,78201,4189570,3492
202304,A10025633,0,0,0,0,0,0,17113260,83578,4378550,3693
202305,A10025633,0,0,0,0,0,0,16616270,80303,4853960,4070
202306,A10025633,0,0,0,0,0,0,21333880,91200,4916560,4001
202307,A10025633,0,0,0,0,0,0,29752740,147893,5009790,4214
202308,A10025633,0,0,0,0,0,0,39369540,185295,4761910,3960
202309,A10025633,0,0,0,0,0,0,27897790,111540,5043130,4024
202310,A10025633,0,0,0,0,0,0,17542390,79672,4871920,3747
202311,A10025633,0,0,0,0,0,0,19148660,84310,4786550,3933
202312,A10025633,0,0,0,0,0,0,22409760,88446,4438020,3740
202401,A10025633,0,0,0,0,0,0,24021940,92677,4649950,3882
202402,A10025633,0,0,0,0,0,0,22989230,89635,4429990,3761
202403,A10025633,0,0,0,0,0,0,18325540,82116,4663340,3905
202404,A10025633,0,0,0,0,0,0,18589010,84869,4347460,3678
202405,A10025633,0,0,0,0,0,0,17417660,81809,4599920,3857
202406,A10025633,0,0,0,0,0,0,23019550,99943,5107650,4317
202407,A10025633,0,0,0,0,0,0,29400120,125299,4613720,3875
202408,A10025633,0,0,0,0,0,0,46072680,180366,5089510,4165
202409,A10025633,0,0,0,0,0,0,36974470,147025,4954890,4145
202410,A10025633,0,0,0,0,0,0,18112320,84808,4873470,4098
202411,A10025633,0,0,0,0,0,0,18774650,85925,4818480,4026
202412,A10025633,0,0,0,0,0,0,21421440,88531,4742310,4016
202501,A10025633,0,0,0,0,0,0,23797660,93748,4814990,4021
202502,A10025633,0,0,0,0,0,0,23628920,93370,4749250,3987
202503,A10025633,0,0,0,0,0,0,0,0,0,0
