requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201809,A10026036,0,0,0,0,0,0,0,0,0,0
201810,A10026036,0,0,0,0,0,0,21999050,153504,2326030,2320
201811,A10026036,0,0,0,0,0,0,35065210,238493,7135640,7774
201812,A10026036,0,0,0,0,0,0,49341620,338336,10169960,11243
201901,A10026036,0,0,0,0,0,0,52365890,199213,11447510,11926
201902,A10026036,0,0,0,0,0,0,57963280,207542,12695120,13235
201903,A10026036,0,0,0,0,0,0,40595750,195818,12369080,13343
201904,A10026036,0,0,0,0,0,0,42134120,213212,13642830,14309
201905,A10026036,0,0,0,0,0,0,37593970,204939,12622050,13386
201906,A10026036,0,0,0,0,0,0,-74550540,211176,11334870,15068
201907,A10026036,0,0,0,0,0,0,44592947,240181,14422340,15278
201908,A10026036,0,0,0,0,12590,0,72036796,364006,13631460,14501
201909,A10026036,0,0,0,0,16020,0,45279251,257202,14186610,15055
201910,A10026036,0,0,0,0,12950,0,37971364,213997,13825720,14702
201911,A10026036,0,0,0,0,17380,0,41792378,223593,14328470,15217
201912,A10026036,0,0,0,0,62870,0,45230984,226152,13806580,14742
202001,A10026036,0,0,0,0,65690,0,50136890,240471,14016390,14963
202002,A10026036,0,0,0,0,62510,0,50602244,245020,12129890,15614
202003,A10026036,0,0,0,0,61830,0,44174422,234327,14436840,15362
202004,A10026036,0,0,0,0,63800,0,44661918,244335,15523900,16483
202005,A10026036,0,0,0,0,64760,0,41217238,224066,14856550,15795
202006,A10026036,0,0,0,0,70490,0,43179253,257479,15285230,16194
202007,A10026036,0,0,0,0,63690,0,41417563,272932,15372250,16122
202008,A10026036,0,0,0,0,83110,0,57145294,331444,15356680,16085
202009,A10026036,0,0,0,0,80430,0,63384749,329456,15881220,16527
202010,A10026036,0,0,0,0,62980,0,40316191,232228,15484340,15776
202011,A10026036,0,0,0,0,79760,0,41315209,239517,14800880,15777
202012,A10026036,0,0,0,0,86560,0,47310455,254003,15050410,16023
202101,A10026036,0,0,0,0,97430,0,64239089,272477,15536740,16441
202102,A10026036,0,0,0,0,78290,0,56274134,260930,15287800,16267
202103,A10026036,0,0,0,0,79650,0,37486519,230141,13734480,14904
202104,A10026036,0,0,0,0,79310,0,41311569,248905,14573620,15965
202105,A10026036,0,0,0,0,88410,0,40972113,236980,15384230,15890
202106,A10026036,0,0,0,0,314910,0,43531651,256002,15900610,16638
202107,A10026036,0,0,0,0,566480,0,54414174,325268,15895160,16393
202108,A10026036,0,0,0,0,312190,0,84025974,446446,16572900,16766
202109,A10026036,0,0,0,0,312900,0,50174544,281980,16039620,16738
202110,A10026036,0,0,0,0,1782800,11338,44167157,246944,15871560,16193
202111,A10026036,0,0,0,0,1787500,11384,44333243,243499,16226990,16587
202112,A10026036,0,0,0,0,1462990,11283,47135926,260719,15689740,15869
202201,A10026036,0,0,0,0,1284810,9912,68132540,266110,16594830,16026
202202,A10026036,0,0,0,0,1284810,9912,66481280,266110,17490110,16026
202203,A10026036,0,0,0,0,1388830,10711,46224330,241266,14963420,14812
202204,A10026036,0,0,0,0,1260490,9725,45507550,253335,17090910,16098
202205,A10026036,0,0,0,0,1434640,11064,41342550,230352,16229540,15380
202206,A10026036,0,0,0,0,1481120,11421,45918030,245021,16941340,16032
202207,A10026036,0,0,0,0,1614540,12449,72105860,349779,16941220,15908
202208,A10026036,0,0,0,0,1430370,11032,83332380,386078,16854630,15588
202209,A10026036,0,0,0,0,1313860,10135,58780390,303894,17048930,16270
202210,A10026036,0,0,0,0,1331290,10270,47812060,238267,16077120,15218
202211,A10026036,0,0,0,0,1426720,11003,50042100,244595,16271540,15470
202212,A10026036,0,0,0,0,1345350,10378,55774250,250754,15775130,14826
202301,A10026036,0,0,0,0,1392500,10740,75902610,263240,16498800,14854
202302,A10026036,0,0,0,0,1166710,9004,74283490,259337,16967820,14835
202303,A10026036,0,0,0,0,1176640,9080,51635890,229438,15690540,13671
202304,A10026036,0,0,0,0,1182500,9124,54995120,245843,17500070,15132
