requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201709,A10026414,0,0,0,0,0,0,0,0,0,0
201710,A10026414,4498800,131,0,0,0,0,0,0,0,0
201711,A10026414,7394000,3036218,3172200,622,0,0,4006500,9854,3689370,1584
201712,A10026414,18107970,21208,7702240,1456,0,0,7841450,49605,3153930,2527
201801,A10026414,17385100,248,7771400,1586,0,0,11689940,59958,3117080,3384
201802,A10026414,14986010,200,7600000,1520,0,0,12306010,67340,3555550,3276
201803,A10026414,8065650,90,6801600,1744,0,0,9996750,64712,4009840,4020
201804,A10026414,3020700,31,6403800,1642,0,0,10749950,74302,3906730,3932
201805,A10026414,189840,2,3582116,775,0,0,3266520,35705,1843870,1538
201806,A10026414,37510,0,1846700,626,0,0,3672730,38102,1838740,2066
201807,A10026414,5360,0,1624000,560,0,0,4666340,41533,1969570,2213
201808,A10026414,0,0,1097200,422,0,0,16914900,116347,1897480,2132
201809,A10026414,0,0,2285120,492,0,0,11496790,58410,2677760,1861
201810,A10026414,1906640,14,2442800,788,0,0,7613240,37479,3091830,2324
201811,A10026414,4375930,42,3012000,753,0,0,7278700,36993,2214610,1896
201812,A10026414,9170420,99,3822700,809,0,0,7812070,37153,2325780,1995
201901,A10026414,10089500,109,3829400,934,0,0,8607710,39624,2469300,2045
201902,A10026414,7739780,84,3329200,812,0,0,8592960,39278,2131580,1737
201903,A10026414,4836910,47,3649000,890,0,0,7226640,35197,2316720,1853
201904,A10026414,2493530,21,3304000,826,0,0,6757710,37887,2564674,2059
201905,A10026414,1007430,1,2352900,713,0,0,6395250,35829,2593176,2001
201906,A10026414,875220,0,1741500,645,0,0,7018850,38353,2775331,2098
201907,A10026414,840310,0,1469000,565,0,0,8693280,41114,2638026,2098
201908,A10026414,816550,0,1354600,521,0,0,10922350,52728,2978490,2132
201909,A10026414,734130,0,1641600,576,0,0,10864900,53441,2887590,2090
201910,A10026414,1399300,5,2201100,667,0,0,7514590,40811,3144060,2045
201911,A10026414,3432160,45,2872800,756,0,0,6920690,37393,2820910,1953
201912,A10026414,9042540,92,3624000,906,0,0,7326590,37986,2664860,2090
202001,A10026414,11878130,156,7318200,1788,0,0,8148373,80168,2746500,4052
202002,A10026414,11484140,157,9060000,1788,0,0,8073358,80168,2591290,4052
202003,A10026414,8911070,89,7778400,1852,0,0,7593907,78000,2542280,4318
202004,A10026414,6104620,48,5964800,1864,0,0,7324981,83378,2565100,4288
202005,A10026414,3363160,1,4719000,1716,0,0,6983394,81164,2572270,4538
202006,A10026414,2665240,0,3567480,651,0,0,8084805,39779,2637530,2134
202007,A10026414,2526750,0,0,679,0,0,10957949,46001,2686480,2290
202008,A10026414,2479390,0,0,651,0,0,11543921,50954,3012250,2347
202009,A10026414,2676720,0,0,665,0,0,14706631,60703,2747910,2248
202010,A10026414,4695130,13,0,743,0,0,8563160,42241,2538040,2241
202011,A10026414,5161830,0,3221400,0,0,0,8178380,0,3382330,0
202012,A10026414,14282760,107,0,916,0,0,8744390,42470,3529540,2342
202101,A10026414,16210050,125,0,924,0,0,9594130,46516,3207360,2282
202102,A10026414,11658760,77,0,825,0,0,10209390,45569,2956720,2037
202103,A10026414,8612840,40,0,859,0,0,7584110,38975,3521510,2247
202104,A10026414,5319380,12,0,772,0,0,7199390,42098,3295040,2199
202105,A10026414,3803960,0,0,749,0,0,6803380,40228,3318230,2361
202106,A10026414,3138090,0,0,636,0,0,7956140,43092,3661570,2253
202107,A10026414,2676720,0,0,543,0,0,10838500,47460,3476850,2401
202108,A10026414,2465760,0,0,485,0,0,15890870,68146,3558340,2349
202109,A10026414,2752770,0,0,512,0,0,11990530,54294,2424960,2204
202110,A10026414,4502110,13,0,628,0,0,8990750,45395,2991120,2300
202111,A10026414,8239010,0,0,0,0,0,8335420,0,2206510,0
202112,A10026414,13520030,105,0,806,0,0,8570690,40583,2501690,2226
202201,A10026414,15436520,126,0,820,0,0,9628660,42573,2333990,2094
202202,A10026414,13383440,105,0,752,0,0,9752250,42349,2526570,1935
202203,A10026414,9796300,54,0,816,0,0,8529400,39473,2564590,2176
202204,A10026414,5323950,12,0,700,0,0,8175270,42560,2382540,2058
202205,A10026414,3417900,0,0,621,0,0,7657590,39011,2498000,2059
202206,A10026414,2866050,0,0,508,0,0,8400840,40388,2336970,1988
202207,A10026414,2853050,0,0,476,0,0,12524720,48165,2414140,2136
202208,A10026414,2779310,0,0,449,0,0,16248940,61062,2375670,2084
202209,A10026414,2999720,0,0,479,0,0,13216810,53580,3053120,1982
202210,A10026414,5933420,12,0,566,0,0,9759170,43701,2324180,2033
202211,A10026414,9274170,35,0,584,0,0,9299080,40096,2231260,1864
202212,A10026414,20343070,126,0,723,0,0,10061570,39305,2200670,1960
202301,A10026414,19702950,116,0,744,0,0,11500440,41655,2421870,1928
202302,A10026414,14871140,77,0,656,0,0,12041200,41124,2148120,1745
202303,A10026414,10519790,36,0,695,0,0,10351870,37267,2465780,1971
202304,A10026414,6536520,11,0,652,0,0,10248090,40377,2302180,1956
202305,A10026414,4342630,0,0,596,0,0,9689320,39312,2671520,2035
202306,A10026414,3680820,0,0,475,0,0,11339190,42200,2511510,1983
202307,A10026414,3687050,0,0,472,0,0,15325360,49055,2750170,2136
202308,A10026414,3333990,0,0,415,0,0,19102380,61854,2703090,2135
202309,A10026414,3500470,0,0,414,0,0,18144300,60262,2349490,1993
202310,A10026414,5880100,7,0,565,0,0,12475660,47040,2801240,2070
202311,A10026414,12728320,53,0,626,0,0,11100880,39743,2460140,1970
202312,A10026414,20019860,102,0,746,0,0,11545620,39619,2296330,2019
202401,A10026414,21235240,108,0,764,0,0,12898520,42450,2616500,1983
202402,A10026414,16181790,71,0,682,0,0,12886640,42433,2201500,1822
202403,A10026414,14074310,52,0,756,0,0,11315030,38748,2304640,2048
202404,A10026414,6440000,5,0,636,0,0,10946530,41002,2534950,1956
202405,A10026414,4816610,0,0,598,0,0,10833400,39605,2491180,2059
202406,A10026414,4062450,0,0,508,0,0,10578850,41195,2328470,2113
202407,A10026414,3945550,0,0,458,0,0,14392600,49577,2747130,2131
202408,A10026414,3482230,0,0,410,0,0,18734360,63233,2521950,2151
202409,A10026414,3519290,0,0,400,0,0,20026380,67150,2563990,2041
202410,A10026414,0,0,0,0,0,0,0,0,0,0
202411,A10026414,0,0,0,0,0,0,0,0,0,0
