requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201706,A10026940,0,0,0,0,0,0,0,0,0,0
201707,A10026940,0,0,0,0,0,0,11492640,80889,0,0
201708,A10026940,0,0,0,0,0,0,9978280,0,2320200,0
201709,A10026940,0,0,0,0,0,0,7803340,17614,0,0
201710,A10026940,0,0,0,0,0,0,5431650,18802,2716250,0
201711,A10026940,0,0,0,0,0,0,6345110,20868,0,0
201712,A10026940,0,0,0,0,0,0,7527780,24363,2978830,0
201801,A10026940,0,0,0,0,0,0,7772560,25288,0,0
201802,A10026940,0,0,0,0,0,0,7079010,23027,3821560,0
201803,A10026940,0,0,0,0,0,0,6298780,24997,0,0
201804,A10026940,0,0,0,0,0,0,6051000,24194,3727600,0
201805,A10026940,0,0,0,0,0,0,6542040,25957,0,0
201806,A10026940,0,0,0,0,0,0,7939600,29625,3911840,0
201807,A10026940,0,0,0,0,0,0,10610350,42577,0,0
201808,A10026940,0,0,0,0,0,0,9219120,47748,4202280,0
201809,A10026940,0,0,0,0,0,0,6419280,27408,0,0
201810,A10026940,0,0,0,0,0,0,6272910,25685,4165390,0
201811,A10026940,0,0,0,0,0,0,7138860,25515,0,0
201812,A10026940,0,0,0,0,0,0,7809090,27567,4122110,0
201901,A10026940,0,0,0,0,0,0,7950330,27648,0,0
201902,A10026940,0,0,0,0,0,0,7000740,24696,4186600,0
201903,A10026940,0,0,0,0,0,0,6349470,26878,0,0
201904,A10026940,0,0,0,0,0,0,6025760,25523,3856810,0
201905,A10026940,0,0,0,0,0,0,5951670,27624,0,0
201906,A10026940,0,0,0,0,0,0,7467070,30375,4091350,0
201907,A10026940,0,0,0,0,0,0,8938200,39895,0,0
201908,A10026940,0,0,0,0,0,0,9901760,46358,4391030,0
201909,A10026940,0,0,0,0,0,0,6699150,31196,0,0
201910,A10026940,0,0,0,0,0,0,6100610,26897,4486320,0
201911,A10026940,0,0,0,0,0,0,7207100,26018,0,0
201912,A10026940,0,0,0,0,0,0,7862520,53924,4876640,3990
202001,A10026940,0,0,0,0,0,0,7937110,53946,0,0
202002,A10026940,0,0,0,0,0,0,7224830,49146,5102920,4366
202003,A10026940,0,0,0,0,0,0,6638760,49561,0,0
202004,A10026940,0,0,0,0,0,0,5432340,45216,4489110,3674
202005,A10026940,0,0,0,0,0,0,5804080,46596,0,0
202006,A10026940,0,0,0,0,0,0,6782780,54371,4599180,3613
202007,A10026940,0,0,0,0,0,0,6226450,58706,0,0
202008,A10026940,0,0,0,0,0,0,8437070,71005,5003080,3782
202009,A10026940,0,0,0,0,0,0,6098390,51086,0,0
202010,A10026940,0,0,0,0,0,0,5360930,47223,4570600,3583
202011,A10026940,0,0,0,0,0,0,6334420,52548,0,0
202012,A10026940,0,0,0,0,0,0,7461790,59611,4123350,3464
202101,A10026940,0,0,0,0,0,0,7394470,60185,0,0
202102,A10026940,0,0,0,0,0,0,5659800,49697,4328350,3652
202103,A10026940,0,0,0,0,0,0,5819790,50806,1890250,1564
202104,A10026940,0,0,0,0,0,0,4833790,45034,2303470,2055
202105,A10026940,0,0,0,0,0,0,5407500,48318,1877500,1875
202106,A10026940,0,0,0,0,0,0,6815590,66048,1986050,1963
202107,A10026940,0,0,0,0,0,0,8979120,76311,1931270,1991
202108,A10026940,0,0,0,0,0,0,7734810,68716,2323500,2051
202109,A10026940,0,0,0,0,0,0,6384610,52862,1847850,1905
202110,A10026940,0,0,0,0,0,0,6112430,51895,1834890,1796
202111,A10026940,0,0,0,0,0,0,6126580,50411,1911840,1707
202112,A10026940,0,0,0,0,0,0,7100550,56256,1903600,2118
202201,A10026940,0,0,0,0,0,0,7563160,58903,1967680,1892
202202,A10026940,0,0,0,0,0,0,6352440,51745,2062450,1919
202203,A10026940,0,0,0,0,0,0,6536330,53154,1813860,1753
202204,A10026940,0,0,0,0,0,0,5754330,46297,2041070,1887
202205,A10026940,0,0,0,0,0,0,5774800,46681,2084330,1758
202206,A10026940,0,0,0,0,0,0,7367400,55381,1851500,1862
202207,A10026940,0,0,0,0,0,0,9648290,72985,1932080,1796
202208,A10026940,0,0,0,0,0,0,8957410,69256,2038530,1884
202209,A10026940,0,0,0,0,0,0,7314220,52462,1840410,1797
202210,A10026940,0,0,0,0,0,0,6908260,48288,1878190,1785
202211,A10026940,0,0,0,0,0,0,6908380,47742,1918460,1777
202212,A10026940,0,0,0,0,0,0,9031200,59274,1833570,1712
202301,A10026940,0,0,0,0,0,0,9448940,57180,1952490,1759
202302,A10026940,0,0,0,0,0,0,7419980,70576,1924340,1651
202303,A10026940,0,0,0,0,0,0,7236200,46263,1811280,1509
202304,A10026940,0,0,0,0,0,0,6788480,27603,2030320,1719
202305,A10026940,0,0,0,0,0,0,7550230,30431,1982690,1660
202306,A10026940,0,0,0,0,0,0,9252230,37215,2051460,1751
202307,A10026940,0,0,0,0,0,0,11155590,49708,2030530,1738
202308,A10026940,0,0,0,0,0,0,11386590,53008,2092400,1812
202309,A10026940,0,0,0,0,0,0,9688300,37779,2033200,1768
202310,A10026940,0,0,0,0,0,0,7308150,28681,1928660,1667
202311,A10026940,0,0,0,0,0,0,8232930,28934,2199160,1925
202312,A10026940,0,0,0,0,0,0,9623970,30899,2031750,1725
202401,A10026940,0,0,0,0,0,0,9651510,30704,1971530,1720
202402,A10026940,0,0,0,0,0,0,8222330,29060,1904920,1619
202403,A10026940,0,0,0,0,0,0,7860530,29060,1881380,1619
202404,A10026940,0,0,0,0,0,0,7062740,27675,2028010,1655
202405,A10026940,0,0,0,0,0,0,6983300,30055,1966430,1752
202406,A10026940,0,0,0,0,0,0,8365580,38347,2021670,1752
202407,A10026940,0,0,0,0,0,0,10043120,50193,2007000,1749
202408,A10026940,0,0,0,0,0,0,12166260,60229,2089510,1827
202409,A10026940,0,0,0,0,0,0,9664260,43941,2008340,1712
202410,A10026940,0,0,0,0,0,0,6413460,29932,2027960,1772
202411,A10026940,0,0,0,0,0,0,6292310,28514,2090760,1772
202412,A10026940,0,0,0,0,0,0,7749220,30948,1357760,1738
202501,A10026940,0,0,0,0,0,0,8315310,30953,1967740,1819
202502,A10026940,0,0,0,0,0,0,6963260,28751,1988650,1686
202503,A10026940,0,0,0,0,0,0,0,0,0,0
