requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201608,A10027396,586280,0,778930,326,0,0,4867937,25995,0,0
201609,A10027396,293141,0,2439110,1291,0,0,11823740,70773,6738990,6151
201610,A10027396,5503120,37,5439900,1585,0,0,16434870,94272,0,0
201611,A10027396,11779060,101,6460400,2203,0,0,17867750,100196,11986070,13584
201612,A10027396,17653010,168,11586000,2766,0,0,18592980,103114,6074440,6990
201701,A10027396,17469690,208,12535400,2993,0,0,19704470,111881,6367370,7442
201702,A10027396,17404290,169,10918380,2612,0,0,16310760,97213,5629260,6203
201703,A10027396,13537370,109,10255100,2354,0,0,15796850,104143,6518190,6773
201704,A10027396,1683040,35,11208160,2759,0,0,14734720,102055,6650660,7597
201705,A10027396,772160,5,7527860,2432,0,0,15531220,106589,6738470,7885
201706,A10027396,532980,0,4544370,1976,0,0,16930760,107573,6693180,7920
201707,A10027396,675960,0,3510740,1684,0,0,25764640,143051,7492820,8446
201708,A10027396,585310,0,3332120,1597,0,0,19990220,135182,6965350,7926
201709,A10027396,723320,0,4027740,1937,0,0,14207670,107158,6880100,7738
201710,A10027396,2296670,22,6789680,2317,0,0,14479960,109469,6948200,7793
201711,A10027396,10400830,115,8005380,2731,0,0,14756300,111133,6719560,7455
201712,A10027396,22759810,229,9823730,3352,0,0,18242850,120691,7006510,7802
201801,A10027396,25696520,256,10572440,3608,0,0,19279790,121836,6913490,7796
201802,A10027396,21622520,197,9557930,3263,0,0,16312280,108832,6812190,7165
201803,A10027396,12776760,92,9987490,3408,0,0,12539860,116135,6948150,8051
201804,A10027396,5325040,35,8386800,2862,0,0,13991600,109806,6259830,7529
201805,A10027396,1612090,8,7787840,2658,0,0,14525900,111912,8393720,8375
201806,A10027396,589950,0,4142910,2335,0,0,14392800,113147,7592190,8328
201807,A10027396,567640,0,2590130,1934,0,0,23318320,159576,7390490,8918
201808,A10027396,532980,0,2285690,1318,0,0,17216820,171510,7408420,8215
201809,A10027396,532980,0,3988120,2046,0,0,11842420,109494,7188990,8000
201810,A10027396,3162530,34,7829030,2672,0,0,13883820,112400,7143230,8104
201811,A10027396,8889250,93,8742300,2983,0,0,14977550,114749,7033420,7969
201812,A10027396,21348130,207,10187940,3476,0,0,17404530,123328,7189810,8081
201901,A10027396,24103410,217,10113340,3451,0,0,18583800,123424,7426330,8140
201902,A10027396,20190340,172,9231810,3151,0,0,15037270,111578,6644210,7362
201903,A10027396,11858880,99,10247800,3497,0,0,15879360,118991,7357450,8219
201904,A10027396,6266910,52,9022940,3079,0,0,13793480,112111,7280190,8140
201905,A10027396,1701050,7,7679060,2619,0,0,13877370,112459,7374770,8424
201906,A10027396,532980,0,4512070,2281,0,0,13809650,112919,7277860,8248
201907,A10027396,532980,0,3222740,2123,0,0,16117930,142478,7642920,8572
201908,A10027396,532980,0,3244120,1705,0,0,19573260,163206,7805650,8392
201909,A10027396,532980,0,4285800,1929,0,0,15283040,117448,7056190,8074
201910,A10027396,2872080,16,6564030,2239,0,0,14069290,112822,7202080,8052
201911,A10027396,11097710,94,7417340,2530,0,0,15000430,114365,6604090,7698
201912,A10027396,22249730,188,8920980,3043,0,0,17307960,122420,6959710,8060
202001,A10027396,23176050,189,9546660,3257,0,0,17524910,124126,7879890,8349
202002,A10027396,20235370,155,9275760,3164,0,0,15774260,118633,6742040,8138
202003,A10027396,14714650,95,9799980,3343,0,0,16323850,126329,8583510,9020
202004,A10027396,7976080,52,8593780,2932,0,0,14477410,118936,7615130,8649
202005,A10027396,3312790,8,7644600,2608,0,0,15775130,122012,7727570,9043
202006,A10027396,532980,0,5817540,1990,0,0,16482970,126391,7788260,8857
202007,A10027396,532980,0,5241310,1914,0,0,14803940,136736,7596720,9002
202008,A10027396,532980,0,4977470,1806,0,0,22809580,178570,8048030,9082
202009,A10027396,637430,2,4928410,2118,0,0,16261240,122913,8143680,8525
202010,A10027396,3411940,31,7605580,2594,0,0,15818087,121952,8084710,8502
202011,A10027396,10075100,91,8155210,2781,0,0,16526360,123083,6953630,8296
202012,A10027396,23710430,209,9512180,3244,0,0,18913359,134884,7604020,8556
202101,A10027396,28494760,248,10047800,3427,0,0,20445620,134406,6742160,8512
202102,A10027396,19325970,154,9080200,3096,0,0,15384460,116367,7353580,7743
202103,A10027396,12004440,80,9374650,3196,0,0,15722630,122422,7066370,8387
202104,A10027396,3952210,28,8605320,2933,0,0,14342010,116417,7860220,8105
202105,A10027396,1205980,13,8374280,2794,0,0,15354800,120948,6927980,8454
202106,A10027396,532980,0,4423550,2407,0,0,14984830,120622,7368660,8404
202107,A10027396,532980,0,3038480,1994,0,0,23858590,189039,8387450,9053
202108,A10027396,532980,0,2568400,1776,0,0,18848020,158402,7541430,8468
202109,A10027396,532980,0,3557070,2104,0,0,16468310,120360,7510350,8210
202110,A10027396,2066470,30,7241080,2453,0,0,17095070,122653,7461020,8174
202111,A10027396,8095400,97,8416040,2868,0,0,17154180,121584,7277740,7882
202112,A10027396,18931010,207,9893710,3372,0,0,19102750,130139,7452060,8040
202201,A10027396,24442870,246,10408890,3549,0,0,19873950,131244,8036890,8365
202202,A10027396,21256260,204,9208450,3140,0,0,16832380,117804,7245090,7622
202203,A10027396,13225980,108,9622020,3281,0,0,17783420,127260,8042970,8309
202204,A10027396,4908460,36,8346250,2845,0,0,15877960,115640,8011740,7972
202205,A10027396,725350,9,7983920,2721,0,0,15890230,115530,7594740,8281
202206,A10027396,532980,0,4465890,2281,0,0,17498223,124570,7882620,8266
202207,A10027396,532980,0,4086610,1958,0,0,23454580,173159,8230270,8598
202208,A10027396,586280,0,3109280,1822,0,0,22298070,160596,7999660,8172
202209,A10027396,586280,0,3778390,2095,0,0,17615300,119114,7394020,7863
202210,A10027396,4779860,27,7386690,2517,0,0,18673025,114348,7844280,7945
202211,A10027396,9883360,62,7971390,2716,0,0,18991220,121123,7317660,7683
202212,A10027396,34988370,238,9095860,3100,0,0,23018560,127557,7730300,7797
202301,A10027396,35244220,218,9506010,3242,0,0,26187970,129172,8245670,7917
202302,A10027396,25306980,136,8380010,2857,0,0,20908760,113681,7249300,7075
