requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201508,A10027708,0,0,0,0,0,0,0,0,0,0
201509,A10027708,0,0,0,0,0,0,5663060,36356,1116560,1309
201510,A10027708,0,0,0,0,0,0,7095250,45489,0,0
201511,A10027708,0,0,0,0,0,0,9312550,52156,3605090,4211
201512,A10027708,0,0,0,0,0,0,11443820,65328,0,0
201601,A10027708,0,0,0,0,0,0,13470890,77184,4139670,4880
201602,A10027708,0,0,0,0,0,0,14001920,81779,0,0
201603,A10027708,0,0,0,0,0,0,11006710,69480,4374630,5125
201604,A10027708,0,0,0,0,0,0,10112610,61467,0,0
201605,A10027708,0,0,0,0,0,0,9260610,57312,4754760,5521
201606,A10027708,0,0,0,0,0,0,10229180,59398,0,0
201607,A10027708,0,0,0,0,0,0,11769190,62593,4781920,5575
201608,A10027708,0,0,0,0,0,0,23322640,85565,0,0
201609,A10027708,0,0,0,0,0,0,15470850,67808,5130270,5941
201610,A10027708,0,0,0,0,0,0,9442630,58769,0,0
201611,A10027708,0,0,0,0,0,0,11124990,64006,5029090,5820
201612,A10027708,0,0,0,0,0,0,11988160,71111,0,0
201701,A10027708,0,0,0,0,0,0,12692090,79585,4876580,5701
201702,A10027708,0,0,0,0,0,0,13991910,83373,0,0
201703,A10027708,0,0,0,0,0,0,10852910,71042,4707450,5510
201704,A10027708,0,0,0,0,0,0,8924630,0,0,0
201705,A10027708,0,0,0,0,0,0,8112350,0,4824900,0
201706,A10027708,0,0,0,0,0,0,8523180,0,0,0
201707,A10027708,0,0,0,0,0,0,11014370,56224,5139070,6293
201708,A10027708,0,0,0,0,0,0,14716940,70093,0,0
201709,A10027708,0,0,0,0,0,0,8874980,50032,4933300,6115
201710,A10027708,0,0,0,0,0,0,8020050,44844,0,0
201711,A10027708,0,0,0,0,0,0,8927820,48650,3888740,6174
201712,A10027708,0,0,0,0,0,0,12533290,51106,0,0
201801,A10027708,0,0,0,0,0,0,14945210,55122,5495270,6365
