requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201503,A10027902,0,0,0,0,0,0,0,0,0,0
201504,A10027902,0,0,0,0,0,0,0,0,0,0
201505,A10027902,0,0,0,0,0,0,0,0,0,0
201506,A10027902,0,0,0,0,0,0,0,0,0,0
201507,A10027902,0,0,0,0,0,0,0,0,0,0
201508,A10027902,0,0,0,0,0,0,0,0,0,0
201509,A10027902,0,0,0,0,0,0,13772930,0,426750,0
201510,A10027902,0,0,0,0,0,0,12340080,44590,223430,0
201511,A10027902,0,0,0,0,0,0,5813220,38763,264670,0
201512,A10027902,0,0,0,0,0,0,5206970,37049,181440,0
201601,A10027902,0,0,0,0,0,0,5795030,40151,218630,0
201602,A10027902,0,0,0,0,0,0,5830100,41989,134400,0
201603,A10027902,0,0,0,0,0,0,4488690,35321,311930,0
201604,A10027902,0,0,0,0,0,0,5238090,30724,238920,0
201605,A10027902,0,0,0,0,0,0,5360850,40010,227040,0
201606,A10027902,0,0,0,0,0,0,6900300,46164,279840,0
201607,A10027902,0,0,0,0,0,0,8631090,43172,269940,0
201608,A10027902,0,0,0,0,0,0,9973920,56668,124740,0
201609,A10027902,0,0,0,0,0,0,7481430,43195,220440,0
201610,A10027902,0,0,0,0,0,0,5664912,43692,-62180,0
201611,A10027902,0,0,0,0,0,0,6199677,65869,264660,0
201612,A10027902,0,0,0,0,0,0,21303660,75528,2729890,3102
201701,A10027902,0,0,0,0,0,0,21836070,79341,2766210,3020
201702,A10027902,0,0,0,0,0,0,22262570,79393,2592100,2615
201703,A10027902,0,0,0,0,0,0,18083710,69523,2924380,3008
201704,A10027902,0,0,0,0,0,0,19149330,74769,2916220,3113
201705,A10027902,0,0,0,0,0,0,17666910,70294,2988320,3071
201706,A10027902,0,0,0,0,0,0,19679020,72919,3200730,3054
201707,A10027902,0,0,0,0,0,0,29957120,98730,3110910,3212
201708,A10027902,0,0,0,0,0,0,43808660,135382,2757840,2747
201709,A10027902,0,0,0,0,0,0,25672380,89124,3224550,3346
201710,A10027902,0,0,0,0,0,0,18864390,73233,2712260,2908
201711,A10027902,0,0,0,0,0,0,19608910,74119,2775260,3136
201712,A10027902,0,0,0,0,0,0,22009280,77356,2835480,2847
201801,A10027902,0,0,0,0,0,0,24568110,82113,3240220,3251
201802,A10027902,0,0,0,0,0,0,25530540,82275,2253900,2217
201803,A10027902,0,0,0,0,0,0,18647940,71036,3011070,3095
201804,A10027902,0,0,0,0,0,0,19578760,76639,2711850,2753
201805,A10027902,0,0,0,0,0,0,18303530,72354,3116650,3260
201806,A10027902,0,0,0,0,0,0,21914670,79269,3011070,3114
201807,A10027902,0,0,0,0,0,0,29526270,98633,3574270,3643
201808,A10027902,0,0,0,0,0,0,72084230,201320,3151860,3274
201809,A10027902,0,0,0,0,0,0,31433850,105045,2782250,2880
201810,A10027902,0,0,0,0,0,0,18693880,72949,3011070,3092
201811,A10027902,0,0,0,0,0,0,21034370,77039,2817460,2886
201812,A10027902,0,0,0,0,0,0,23197930,79663,2968710,3021
201901,A10027902,0,0,0,0,0,0,25592390,83651,3063830,3033
201902,A10027902,0,0,0,0,0,0,25022410,83573,2750100,2700
201903,A10027902,0,0,0,0,0,0,19521780,73196,3062580,3098
201904,A10027902,0,0,0,0,0,0,20930690,79726,3044210,2981
201905,A10027902,0,0,0,0,0,0,19251690,75199,3301560,3299
201906,A10027902,0,0,0,0,0,0,22294150,80832,3080970,3054
201907,A10027902,0,0,0,0,0,0,24435330,86963,3375080,3367
201908,A10027902,0,0,0,0,0,0,50018260,154859,3209650,3237
201909,A10027902,0,0,0,0,0,0,32522390,114746,3411850,3383
201910,A10027902,0,0,0,0,0,0,20194990,78342,2915530,2897
201911,A10027902,0,0,0,0,0,0,21080430,78481,3025830,2999
201912,A10027902,0,0,0,0,0,0,22742960,79723,3060090,3090
202001,A10027902,0,0,0,0,0,0,24830150,85050,3170290,3203
202002,A10027902,0,0,0,0,0,0,24785240,85935,3060090,3087
202003,A10027902,0,0,0,0,0,0,29943980,123253,3519240,3583
202004,A10027902,0,0,0,0,0,0,20447170,80686,3115190,3155
202005,A10027902,0,0,0,0,0,0,20470820,78827,3427410,3495
202006,A10027902,0,0,0,0,0,0,27556410,94162,3555990,3607
202007,A10027902,0,0,0,0,0,0,28369060,101088,3115220,3158
202008,A10027902,0,0,0,0,0,0,50208010,154668,3500880,3444
202009,A10027902,0,0,0,0,0,0,25520290,94847,3243750,3185
202010,A10027902,0,0,0,0,0,0,21232450,80968,3298880,3297
202011,A10027902,0,0,0,0,0,0,23434840,81877,3207050,3227
202012,A10027902,0,0,0,0,0,0,26167940,92308,3298880,3214
202101,A10027902,0,0,0,0,0,0,26302270,91987,3298880,3228
202102,A10027902,0,0,0,0,0,0,21879840,80127,2949900,2851
202103,A10027902,0,0,0,0,0,0,21876970,85424,3280500,3235
202104,A10027902,0,0,0,0,0,0,20048950,80049,3078470,3080
202105,A10027902,0,0,0,0,0,0,21089560,83030,3262130,3270
202106,A10027902,0,0,0,0,0,0,27078070,95784,3285280,3276
202107,A10027902,0,0,0,0,0,0,58651330,174765,3816360,3749
202108,A10027902,0,0,0,0,0,0,45912070,148095,3361330,3279
202109,A10027902,0,0,0,0,0,0,23805020,91882,3285490,3211
202110,A10027902,0,0,0,0,0,0,21416400,84045,3418200,3363
202111,A10027902,0,0,0,0,0,0,22019570,81223,3266530,3191
202112,A10027902,0,0,0,0,0,0,25602680,88704,3333610,3202
202201,A10027902,0,0,0,0,0,0,27136760,89283,3575960,3210
202202,A10027902,0,0,0,0,0,0,22935820,79045,3140370,2810
202203,A10027902,0,0,0,0,0,0,22018650,84414,3389290,3042
202204,A10027902,0,0,0,0,0,0,20081630,77267,3254370,2916
202205,A10027902,0,0,0,0,0,0,20274750,77972,3389090,3066
202206,A10027902,0,0,0,0,0,0,27370880,92534,3243870,2929
202207,A10027902,0,0,0,0,0,0,52073410,155284,3575750,3245
202208,A10027902,0,0,0,0,0,0,47283550,145215,3287160,2961
202209,A10027902,0,0,0,0,0,0,26328930,92375,3204140,2889
202210,A10027902,0,0,0,0,0,0,22924180,80932,3245630,2931
202211,A10027902,0,0,0,0,0,0,22402700,76758,3235160,3011
202212,A10027902,0,0,0,0,0,0,29270930,89157,3211710,2960
202301,A10027902,0,0,0,0,0,0,31592780,89194,3582160,3060
202302,A10027902,0,0,0,0,0,0,24435990,72282,3218400,2767
202303,A10027902,0,0,0,0,0,0,24942240,82108,3593390,3067
202304,A10027902,0,0,0,0,0,0,23159590,77920,3195660,2744
202305,A10027902,0,0,0,0,0,0,24573970,78616,3923170,3291
202306,A10027902,0,0,0,0,0,0,33294160,93492,3559410,3015
202307,A10027902,0,0,0,0,0,0,57599910,150051,3650340,3084
202308,A10027902,0,0,0,0,0,0,71237900,175614,3673080,3096
202309,A10027902,0,0,0,0,0,0,38512160,111358,3764010,3163
202310,A10027902,0,0,0,0,0,0,25587050,79506,3616610,3089
202311,A10027902,0,0,0,0,0,0,27821960,80103,3604890,3080
202312,A10027902,0,0,0,0,0,0,32145780,86564,3604890,3092
202401,A10027902,0,0,0,0,0,0,32338520,86033,3775300,3219
202402,A10027902,0,0,0,0,0,0,27881590,78498,3479720,2986
202403,A10027902,0,0,0,0,0,0,26494980,80227,3729800,3053
202404,A10027902,0,0,0,0,0,0,24589920,76836,3684330,3131
202405,A10027902,0,0,0,0,0,0,25523430,79761,3684330,3133
202406,A10027902,0,0,0,0,0,0,36911840,104121,4070800,3411
202407,A10027902,0,0,0,0,0,0,62947520,157334,3911670,3345
202408,A10027902,0,0,0,0,0,0,97381230,213247,4002620,3409
202409,A10027902,0,0,0,0,0,0,49728920,141315,3684330,3148
202410,A10027902,0,0,0,0,0,0,27910920,81804,3820730,3272
202411,A10027902,0,0,0,0,0,0,27494180,78267,3525200,3017
202412,A10027902,0,0,0,0,0,0,31192280,83861,3820730,3269
202501,A10027902,0,0,0,0,0,0,32862020,85196,3570660,3048
202502,A10027902,0,0,0,0,0,0,29525430,75970,3229650,2767
202503,A10027902,0,0,0,0,0,0,0,0,0,0
