requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201112,A10078103,0,0,0,0,0,0,0,0,0,0
201201,A10078103,0,0,0,0,0,0,0,0,0,0
201202,A10078103,0,0,0,0,0,0,0,0,0,0
201203,A10078103,0,0,0,0,0,0,5816890,0,0,0
201204,A10078103,0,0,0,0,0,0,5544880,0,3439020,0
201205,A10078103,0,0,0,0,0,0,5653860,0,0,0
201206,A10078103,0,0,0,0,0,0,5861890,0,4002390,0
201207,A10078103,0,0,0,0,0,0,7744050,0,0,0
201208,A10078103,0,0,0,0,0,0,7510960,0,4207950,0
201209,A10078103,0,0,0,0,0,0,5914240,0,0,0
201210,A10078103,0,0,0,0,0,0,6227410,0,3819810,0
201211,A10078103,0,0,0,0,0,0,7029300,0,1618080,0
201212,A10078103,0,0,0,0,0,0,9436740,0,1603860,0
201301,A10078103,0,0,0,0,0,0,8788110,0,1599030,0
201302,A10078103,0,0,0,0,0,0,6970460,0,1417230,0
201303,A10078103,0,0,0,0,0,0,7213300,0,1572960,0
201304,A10078103,0,0,0,0,0,0,6227070,0,1575420,0
201305,A10078103,0,0,0,0,0,0,4364600,0,1725150,0
201306,A10078103,0,0,0,0,0,0,7200140,0,1675170,0
201307,A10078103,0,0,0,0,0,0,8700920,0,1768530,0
201308,A10078103,0,0,0,0,0,0,6106450,0,1708440,0
201309,A10078103,0,0,0,0,0,0,5934410,0,1664940,0
201310,A10078103,0,0,0,0,0,0,6637890,0,1770570,0
201311,A10078103,0,0,0,0,0,0,4619440,0,1601730,0
201312,A10078103,123340,0,0,0,0,0,5251190,57689,1768730,2259
201401,A10078103,151040,0,0,0,0,0,6939670,58613,1804320,2303
201402,A10078103,189620,0,0,0,0,0,-150400,32812,0,2056
201403,A10078103,112710,0,0,0,0,0,-142080,41311,0,2060
201404,A10078103,36820,0,0,0,0,0,5828680,36030,2094260,2547
201405,A10078103,6520,0,0,0,0,0,-153120,34254,0,2446
201406,A10078103,6540,0,0,0,0,0,-140800,40438,0,2426
201407,A10078103,4350,0,0,0,0,0,-183200,43242,0,2618
201408,A10078103,4340,0,0,0,0,0,-173280,38867,0,2420
201409,A10078103,8670,0,0,0,0,0,-155840,35838,0,2394
201410,A10078103,15270,0,0,0,0,0,-174400,36588,0,2355
201411,A10078103,14140,0,0,0,0,0,-180320,36601,0,2269
201412,A10078103,148030,0,0,0,0,0,-163200,43895,0,2321
201501,A10078103,218970,0,0,0,0,0,7913070,58482,1714430,2085
201502,A10078103,204820,0,0,0,0,0,6782060,51690,1842980,2238
