requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
197005,A10086301,0,0,0,0,0,0,0,0,0,0
197006,A10086301,0,0,0,0,0,0,0,0,0,0
197007,A10086301,0,0,0,0,0,0,0,0,0,0
197008,A10086301,0,0,0,0,0,0,0,0,0,0
197009,A10086301,0,0,0,0,0,0,0,0,0,0
197010,A10086301,0,0,0,0,0,0,0,0,0,0
197011,A10086301,0,0,0,0,0,0,0,0,0,0
197012,A10086301,0,0,0,0,0,0,0,0,0,0
197101,A10086301,0,0,0,0,0,0,0,0,0,0
197102,A10086301,0,0,0,0,0,0,0,0,0,0
197103,A10086301,0,0,0,0,0,0,0,0,0,0
197104,A10086301,0,0,0,0,0,0,0,0,0,0
197105,A10086301,0,0,0,0,0,0,0,0,0,0
197106,A10086301,0,0,0,0,0,0,0,0,0,0
197107,A10086301,0,0,0,0,0,0,0,0,0,0
197108,A10086301,0,0,0,0,0,0,0,0,0,0
197109,A10086301,0,0,0,0,0,0,0,0,0,0
197110,A10086301,0,0,0,0,0,0,0,0,0,0
197111,A10086301,0,0,0,0,0,0,0,0,0,0
197112,A10086301,0,0,0,0,0,0,0,0,0,0
197201,A10086301,0,0,0,0,0,0,0,0,0,0
197202,A10086301,0,0,0,0,0,0,0,0,0,0
197203,A10086301,0,0,0,0,0,0,0,0,0,0
197204,A10086301,0,0,0,0,0,0,0,0,0,0
197205,A10086301,0,0,0,0,0,0,0,0,0,0
197206,A10086301,0,0,0,0,0,0,0,0,0,0
197207,A10086301,0,0,0,0,0,0,0,0,0,0
197208,A10086301,0,0,0,0,0,0,0,0,0,0
197209,A10086301,0,0,0,0,0,0,0,0,0,0
197210,A10086301,0,0,0,0,0,0,0,0,0,0
197211,A10086301,0,0,0,0,0,0,0,0,0,0
197212,A10086301,0,0,0,0,0,0,0,0,0,0
197301,A10086301,0,0,0,0,0,0,0,0,0,0
197302,A10086301,0,0,0,0,0,0,0,0,0,0
197303,A10086301,0,0,0,0,0,0,0,0,0,0
197304,A10086301,0,0,0,0,0,0,0,0,0,0
197305,A10086301,0,0,0,0,0,0,0,0,0,0
197306,A10086301,0,0,0,0,0,0,0,0,0,0
197307,A10086301,0,0,0,0,0,0,0,0,0,0
197308,A10086301,0,0,0,0,0,0,0,0,0,0
197309,A10086301,0,0,0,0,0,0,0,0,0,0
197310,A10086301,0,0,0,0,0,0,0,0,0,0
197311,A10086301,0,0,0,0,0,0,0,0,0,0
197312,A10086301,0,0,0,0,0,0,0,0,0,0
197401,A10086301,0,0,0,0,0,0,0,0,0,0
197402,A10086301,0,0,0,0,0,0,0,0,0,0
197403,A10086301,0,0,0,0,0,0,0,0,0,0
197404,A10086301,0,0,0,0,0,0,0,0,0,0
197405,A10086301,0,0,0,0,0,0,0,0,0,0
197406,A10086301,0,0,0,0,0,0,0,0,0,0
197407,A10086301,0,0,0,0,0,0,0,0,0,0
197408,A10086301,0,0,0,0,0,0,0,0,0,0
197409,A10086301,0,0,0,0,0,0,0,0,0,0
197410,A10086301,0,0,0,0,0,0,0,0,0,0
197411,A10086301,0,0,0,0,0,0,0,0,0,0
197412,A10086301,0,0,0,0,0,0,0,0,0,0
197501,A10086301,0,0,0,0,0,0,0,0,0,0
197502,A10086301,0,0,0,0,0,0,0,0,0,0
197503,A10086301,0,0,0,0,0,0,0,0,0,0
197504,A10086301,0,0,0,0,0,0,0,0,0,0
197505,A10086301,0,0,0,0,0,0,0,0,0,0
197506,A10086301,0,0,0,0,0,0,0,0,0,0
197507,A10086301,0,0,0,0,0,0,0,0,0,0
197508,A10086301,0,0,0,0,0,0,0,0,0,0
197509,A10086301,0,0,0,0,0,0,0,0,0,0
197510,A10086301,0,0,0,0,0,0,0,0,0,0
197511,A10086301,0,0,0,0,0,0,0,0,0,0
197512,A10086301,0,0,0,0,0,0,0,0,0,0
197601,A10086301,0,0,0,0,0,0,0,0,0,0
197602,A10086301,0,0,0,0,0,0,0,0,0,0
197603,A10086301,0,0,0,0,0,0,0,0,0,0
197604,A10086301,0,0,0,0,0,0,0,0,0,0
197605,A10086301,0,0,0,0,0,0,0,0,0,0
197606,A10086301,0,0,0,0,0,0,0,0,0,0
197607,A10086301,0,0,0,0,0,0,0,0,0,0
197608,A10086301,0,0,0,0,0,0,0,0,0,0
197609,A10086301,0,0,0,0,0,0,0,0,0,0
197610,A10086301,0,0,0,0,0,0,0,0,0,0
197611,A10086301,0,0,0,0,0,0,0,0,0,0
197612,A10086301,0,0,0,0,0,0,0,0,0,0
197701,A10086301,0,0,0,0,0,0,0,0,0,0
197702,A10086301,0,0,0,0,0,0,0,0,0,0
197703,A10086301,0,0,0,0,0,0,0,0,0,0
197704,A10086301,0,0,0,0,0,0,0,0,0,0
197705,A10086301,0,0,0,0,0,0,0,0,0,0
197706,A10086301,0,0,0,0,0,0,0,0,0,0
197707,A10086301,0,0,0,0,0,0,0,0,0,0
197708,A10086301,0,0,0,0,0,0,0,0,0,0
197709,A10086301,0,0,0,0,0,0,0,0,0,0
197710,A10086301,0,0,0,0,0,0,0,0,0,0
197711,A10086301,0,0,0,0,0,0,0,0,0,0
197712,A10086301,0,0,0,0,0,0,0,0,0,0
197801,A10086301,0,0,0,0,0,0,0,0,0,0
197802,A10086301,0,0,0,0,0,0,0,0,0,0
197803,A10086301,0,0,0,0,0,0,0,0,0,0
197804,A10086301,0,0,0,0,0,0,0,0,0,0
197805,A10086301,0,0,0,0,0,0,0,0,0,0
197806,A10086301,0,0,0,0,0,0,0,0,0,0
197807,A10086301,0,0,0,0,0,0,0,0,0,0
197808,A10086301,0,0,0,0,0,0,0,0,0,0
197809,A10086301,0,0,0,0,0,0,0,0,0,0
197810,A10086301,0,0,0,0,0,0,0,0,0,0
197811,A10086301,0,0,0,0,0,0,0,0,0,0
197812,A10086301,0,0,0,0,0,0,0,0,0,0
197901,A10086301,0,0,0,0,0,0,0,0,0,0
197902,A10086301,0,0,0,0,0,0,0,0,0,0
197903,A10086301,0,0,0,0,0,0,0,0,0,0
197904,A10086301,0,0,0,0,0,0,0,0,0,0
197905,A10086301,0,0,0,0,0,0,0,0,0,0
197906,A10086301,0,0,0,0,0,0,0,0,0,0
197907,A10086301,0,0,0,0,0,0,0,0,0,0
197908,A10086301,0,0,0,0,0,0,0,0,0,0
197909,A10086301,0,0,0,0,0,0,0,0,0,0
197910,A10086301,0,0,0,0,0,0,0,0,0,0
197911,A10086301,0,0,0,0,0,0,0,0,0,0
197912,A10086301,0,0,0,0,0,0,0,0,0,0
198001,A10086301,0,0,0,0,0,0,0,0,0,0
198002,A10086301,0,0,0,0,0,0,0,0,0,0
198003,A10086301,0,0,0,0,0,0,0,0,0,0
198004,A10086301,0,0,0,0,0,0,0,0,0,0
198005,A10086301,0,0,0,0,0,0,0,0,0,0
198006,A10086301,0,0,0,0,0,0,0,0,0,0
198007,A10086301,0,0,0,0,0,0,0,0,0,0
198008,A10086301,0,0,0,0,0,0,0,0,0,0
198009,A10086301,0,0,0,0,0,0,0,0,0,0
198010,A10086301,0,0,0,0,0,0,0,0,0,0
198011,A10086301,0,0,0,0,0,0,0,0,0,0
198012,A10086301,0,0,0,0,0,0,0,0,0,0
198101,A10086301,0,0,0,0,0,0,0,0,0,0
198102,A10086301,0,0,0,0,0,0,0,0,0,0
198103,A10086301,0,0,0,0,0,0,0,0,0,0
198104,A10086301,0,0,0,0,0,0,0,0,0,0
198105,A10086301,0,0,0,0,0,0,0,0,0,0
198106,A10086301,0,0,0,0,0,0,0,0,0,0
198107,A10086301,0,0,0,0,0,0,0,0,0,0
198108,A10086301,0,0,0,0,0,0,0,0,0,0
198109,A10086301,0,0,0,0,0,0,0,0,0,0
198110,A10086301,0,0,0,0,0,0,0,0,0,0
198111,A10086301,0,0,0,0,0,0,0,0,0,0
198112,A10086301,0,0,0,0,0,0,0,0,0,0
198201,A10086301,0,0,0,0,0,0,0,0,0,0
198202,A10086301,0,0,0,0,0,0,0,0,0,0
198203,A10086301,0,0,0,0,0,0,0,0,0,0
198204,A10086301,0,0,0,0,0,0,0,0,0,0
198205,A10086301,0,0,0,0,0,0,0,0,0,0
198206,A10086301,0,0,0,0,0,0,0,0,0,0
198207,A10086301,0,0,0,0,0,0,0,0,0,0
198208,A10086301,0,0,0,0,0,0,0,0,0,0
198209,A10086301,0,0,0,0,0,0,0,0,0,0
198210,A10086301,0,0,0,0,0,0,0,0,0,0
198211,A10086301,0,0,0,0,0,0,0,0,0,0
198212,A10086301,0,0,0,0,0,0,0,0,0,0
198301,A10086301,0,0,0,0,0,0,0,0,0,0
198302,A10086301,0,0,0,0,0,0,0,0,0,0
198303,A10086301,0,0,0,0,0,0,0,0,0,0
198304,A10086301,0,0,0,0,0,0,0,0,0,0
198305,A10086301,0,0,0,0,0,0,0,0,0,0
198306,A10086301,0,0,0,0,0,0,0,0,0,0
198307,A10086301,0,0,0,0,0,0,0,0,0,0
198308,A10086301,0,0,0,0,0,0,0,0,0,0
198309,A10086301,0,0,0,0,0,0,0,0,0,0
198310,A10086301,0,0,0,0,0,0,0,0,0,0
198311,A10086301,0,0,0,0,0,0,0,0,0,0
