requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200012,A12008001,0,0,0,0,0,0,0,0,0,0
200101,A12008001,0,0,0,0,0,0,0,0,0,0
200102,A12008001,0,0,0,0,0,0,0,0,0,0
200103,A12008001,0,0,0,0,0,0,0,0,0,0
200104,A12008001,0,0,0,0,0,0,0,0,0,0
200105,A12008001,0,0,0,0,0,0,0,0,0,0
200106,A12008001,0,0,0,0,0,0,0,0,0,0
200107,A12008001,0,0,0,0,0,0,0,0,0,0
200108,A12008001,0,0,0,0,0,0,0,0,0,0
200109,A12008001,0,0,0,0,0,0,0,0,0,0
200110,A12008001,0,0,0,0,0,0,0,0,0,0
200111,A12008001,0,0,0,0,0,0,0,0,0,0
200112,A12008001,0,0,0,0,0,0,0,0,0,0
200201,A12008001,0,0,0,0,0,0,0,0,0,0
200202,A12008001,0,0,0,0,0,0,0,0,0,0
200203,A12008001,0,0,0,0,0,0,0,0,0,0
200204,A12008001,0,0,0,0,0,0,0,0,0,0
200205,A12008001,0,0,0,0,0,0,0,0,0,0
200206,A12008001,0,0,0,0,0,0,0,0,0,0
200207,A12008001,0,0,0,0,0,0,0,0,0,0
200208,A12008001,0,0,0,0,0,0,0,0,0,0
200209,A12008001,0,0,0,0,0,0,0,0,0,0
200210,A12008001,0,0,0,0,0,0,0,0,0,0
200211,A12008001,0,0,0,0,0,0,0,0,0,0
200212,A12008001,0,0,0,0,0,0,0,0,0,0
200301,A12008001,0,0,0,0,0,0,0,0,0,0
200302,A12008001,0,0,0,0,0,0,0,0,0,0
200303,A12008001,0,0,0,0,0,0,0,0,0,0
200304,A12008001,0,0,0,0,0,0,0,0,0,0
200305,A12008001,0,0,0,0,0,0,0,0,0,0
200306,A12008001,0,0,0,0,0,0,0,0,0,0
200307,A12008001,0,0,0,0,0,0,0,0,0,0
200308,A12008001,0,0,0,0,0,0,0,0,0,0
200309,A12008001,0,0,0,0,0,0,0,0,0,0
200310,A12008001,0,0,0,0,0,0,0,0,0,0
200311,A12008001,0,0,0,0,0,0,0,0,0,0
200312,A12008001,0,0,0,0,0,0,0,0,0,0
200401,A12008001,0,0,0,0,0,0,0,0,0,0
200402,A12008001,0,0,0,0,0,0,0,0,0,0
200403,A12008001,0,0,0,0,0,0,0,0,0,0
200404,A12008001,0,0,0,0,0,0,0,0,0,0
200405,A12008001,0,0,0,0,0,0,0,0,0,0
200406,A12008001,0,0,0,0,0,0,0,0,0,0
200407,A12008001,0,0,0,0,0,0,0,0,0,0
200408,A12008001,0,0,0,0,0,0,0,0,0,0
200409,A12008001,0,0,0,0,0,0,0,0,0,0
200410,A12008001,0,0,0,0,0,0,0,0,0,0
200411,A12008001,0,0,0,0,0,0,0,0,0,0
200412,A12008001,0,0,0,0,0,0,0,0,0,0
200501,A12008001,0,0,0,0,0,0,0,0,0,0
200502,A12008001,0,0,0,0,0,0,0,0,0,0
200503,A12008001,0,0,0,0,0,0,0,0,0,0
200504,A12008001,0,0,0,0,0,0,0,0,0,0
200505,A12008001,0,0,0,0,0,0,0,0,0,0
200506,A12008001,0,0,0,0,0,0,0,0,0,0
200507,A12008001,0,0,0,0,0,0,0,0,0,0
200508,A12008001,0,0,0,0,0,0,0,0,0,0
200509,A12008001,0,0,0,0,0,0,0,0,0,0
200510,A12008001,0,0,0,0,0,0,0,0,0,0
200511,A12008001,0,0,0,0,0,0,0,0,0,0
200512,A12008001,0,0,0,0,0,0,0,0,0,0
200601,A12008001,0,0,0,0,0,0,0,0,0,0
200602,A12008001,0,0,0,0,0,0,0,0,0,0
200603,A12008001,0,0,0,0,0,0,0,0,0,0
200604,A12008001,0,0,0,0,0,0,0,0,0,0
200605,A12008001,0,0,0,0,0,0,0,0,0,0
200606,A12008001,0,0,0,0,0,0,0,0,0,0
200607,A12008001,0,0,0,0,0,0,0,0,0,0
200608,A12008001,0,0,0,0,0,0,0,0,0,0
200609,A12008001,0,0,0,0,0,0,0,0,0,0
200610,A12008001,0,0,0,0,0,0,0,0,0,0
200611,A12008001,0,0,0,0,0,0,0,0,0,0
200612,A12008001,0,0,0,0,0,0,0,0,0,0
