requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
198802,A12010101,0,0,0,0,0,0,0,0,0,0
198803,A12010101,0,0,0,0,0,0,0,0,0,0
198804,A12010101,0,0,0,0,0,0,0,0,0,0
198805,A12010101,0,0,0,0,0,0,0,0,0,0
198806,A12010101,0,0,0,0,0,0,0,0,0,0
198807,A12010101,0,0,0,0,0,0,0,0,0,0
198808,A12010101,0,0,0,0,0,0,0,0,0,0
198809,A12010101,0,0,0,0,0,0,0,0,0,0
198810,A12010101,0,0,0,0,0,0,0,0,0,0
198811,A12010101,0,0,0,0,0,0,0,0,0,0
198812,A12010101,0,0,0,0,0,0,0,0,0,0
198901,A12010101,0,0,0,0,0,0,0,0,0,0
198902,A12010101,0,0,0,0,0,0,0,0,0,0
198903,A12010101,0,0,0,0,0,0,0,0,0,0
198904,A12010101,0,0,0,0,0,0,0,0,0,0
198905,A12010101,0,0,0,0,0,0,0,0,0,0
198906,A12010101,0,0,0,0,0,0,0,0,0,0
198907,A12010101,0,0,0,0,0,0,0,0,0,0
198908,A12010101,0,0,0,0,0,0,0,0,0,0
198909,A12010101,0,0,0,0,0,0,0,0,0,0
198910,A12010101,0,0,0,0,0,0,0,0,0,0
198911,A12010101,0,0,0,0,0,0,0,0,0,0
198912,A12010101,0,0,0,0,0,0,0,0,0,0
199001,A12010101,0,0,0,0,0,0,0,0,0,0
199002,A12010101,0,0,0,0,0,0,0,0,0,0
199003,A12010101,0,0,0,0,0,0,0,0,0,0
199004,A12010101,0,0,0,0,0,0,0,0,0,0
199005,A12010101,0,0,0,0,0,0,0,0,0,0
199006,A12010101,0,0,0,0,0,0,0,0,0,0
199007,A12010101,0,0,0,0,0,0,0,0,0,0
199008,A12010101,0,0,0,0,0,0,0,0,0,0
199009,A12010101,0,0,0,0,0,0,0,0,0,0
199010,A12010101,0,0,0,0,0,0,0,0,0,0
199011,A12010101,0,0,0,0,0,0,0,0,0,0
199012,A12010101,0,0,0,0,0,0,0,0,0,0
199101,A12010101,0,0,0,0,0,0,0,0,0,0
199102,A12010101,0,0,0,0,0,0,0,0,0,0
199103,A12010101,0,0,0,0,0,0,0,0,0,0
199104,A12010101,0,0,0,0,0,0,0,0,0,0
199105,A12010101,0,0,0,0,0,0,0,0,0,0
199106,A12010101,0,0,0,0,0,0,0,0,0,0
199107,A12010101,0,0,0,0,0,0,0,0,0,0
199108,A12010101,0,0,0,0,0,0,0,0,0,0
199109,A12010101,0,0,0,0,0,0,0,0,0,0
199110,A12010101,0,0,0,0,0,0,0,0,0,0
199111,A12010101,0,0,0,0,0,0,0,0,0,0
199112,A12010101,0,0,0,0,0,0,0,0,0,0
199201,A12010101,0,0,0,0,0,0,0,0,0,0
199202,A12010101,0,0,0,0,0,0,0,0,0,0
199203,A12010101,0,0,0,0,0,0,0,0,0,0
199204,A12010101,0,0,0,0,0,0,0,0,0,0
199205,A12010101,0,0,0,0,0,0,0,0,0,0
199206,A12010101,0,0,0,0,0,0,0,0,0,0
199207,A12010101,0,0,0,0,0,0,0,0,0,0
199208,A12010101,0,0,0,0,0,0,0,0,0,0
199209,A12010101,0,0,0,0,0,0,0,0,0,0
199210,A12010101,0,0,0,0,0,0,0,0,0,0
199211,A12010101,0,0,0,0,0,0,0,0,0,0
199212,A12010101,0,0,0,0,0,0,0,0,0,0
199301,A12010101,0,0,0,0,0,0,0,0,0,0
199302,A12010101,0,0,0,0,0,0,0,0,0,0
199303,A12010101,0,0,0,0,0,0,0,0,0,0
199304,A12010101,0,0,0,0,0,0,0,0,0,0
199305,A12010101,0,0,0,0,0,0,0,0,0,0
199306,A12010101,0,0,0,0,0,0,0,0,0,0
199307,A12010101,0,0,0,0,0,0,0,0,0,0
199308,A12010101,0,0,0,0,0,0,0,0,0,0
199309,A12010101,0,0,0,0,0,0,0,0,0,0
