requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200812,A12013001,0,0,0,0,0,0,0,0,0,0
200901,A12013001,0,0,0,0,0,0,0,0,0,0
200902,A12013001,0,0,0,0,0,0,0,0,0,0
200903,A12013001,0,0,0,0,0,0,0,0,0,0
200904,A12013001,0,0,0,0,0,0,0,0,0,0
200905,A12013001,0,0,0,0,0,0,0,0,0,0
200906,A12013001,0,0,0,0,0,0,0,0,0,0
200907,A12013001,0,0,0,0,0,0,0,0,0,0
200908,A12013001,0,0,0,0,0,0,0,0,0,0
200909,A12013001,0,0,0,0,0,0,0,0,0,0
200910,A12013001,0,0,0,0,0,0,0,0,0,0
200911,A12013001,0,0,0,0,0,0,0,0,0,0
200912,A12013001,0,0,0,0,0,0,0,0,0,0
201001,A12013001,0,0,0,0,0,0,0,0,0,0
201002,A12013001,0,0,0,0,0,0,0,0,0,0
201003,A12013001,0,0,0,0,0,0,10844750,0,0,0
201004,A12013001,0,0,0,0,0,0,12502410,0,0,0
201005,A12013001,0,0,0,0,0,0,11058740,0,0,0
201006,A12013001,0,0,0,0,0,0,12322450,0,5534420,0
201007,A12013001,0,0,0,0,0,0,14875980,0,0,0
201008,A12013001,0,0,0,0,0,0,19131090,0,5254530,0
201009,A12013001,0,0,0,0,0,0,13604250,0,0,0
201010,A12013001,0,0,0,0,0,0,11457440,0,5505750,0
201011,A12013001,0,0,0,0,0,0,13170200,0,0,0
201012,A12013001,0,0,0,0,0,0,15272420,0,5153420,0
201101,A12013001,0,0,0,0,0,0,13823530,0,0,0
201102,A12013001,0,0,0,0,0,0,11092880,0,0,0
201103,A12013001,0,0,0,0,0,0,0,0,0,0
201104,A12013001,0,0,0,0,0,0,12695220,0,4893130,0
201105,A12013001,0,0,0,0,0,0,12306160,0,5495880,0
201106,A12013001,0,0,0,0,0,0,0,0,0,0
201107,A12013001,0,0,0,0,0,0,14083810,0,0,0
201108,A12013001,0,0,0,0,0,0,17022310,0,5722750,0
201109,A12013001,0,0,0,0,0,0,14568190,0,0,0
201110,A12013001,0,0,0,0,0,0,13790350,0,0,0
201111,A12013001,0,0,0,0,0,0,0,0,0,0
201112,A12013001,0,0,0,0,0,0,15148540,0,4893330,0
201201,A12013001,0,0,0,0,0,0,15025250,0,0,0
201202,A12013001,0,0,0,0,0,0,15111030,0,7490790,0
201203,A12013001,0,0,0,0,0,0,12788820,0,0,0
201204,A12013001,0,0,0,0,0,0,12441410,0,5799510,0
201205,A12013001,0,0,0,0,0,0,11469570,0,0,0
201206,A12013001,0,0,0,0,0,0,12692890,0,6350670,0
201207,A12013001,0,0,0,0,0,0,13795590,0,0,0
201208,A12013001,0,0,0,0,0,0,22825320,0,6481710,0
201209,A12013001,0,0,0,0,0,0,13172720,0,0,0
201210,A12013001,0,0,0,0,0,0,11555840,0,6077190,0
201211,A12013001,0,0,0,0,0,0,13837620,0,0,0
201212,A12013001,0,0,0,0,0,0,12804040,0,5815200,0
201301,A12013001,0,0,0,0,0,0,15490320,0,0,0
201302,A12013001,0,0,0,0,0,0,14618200,0,5777340,0
201303,A12013001,0,0,0,0,0,0,10988870,0,0,0
201304,A12013001,0,0,0,0,0,0,12423050,0,5770580,0
201305,A12013001,0,0,0,0,0,0,11522350,0,0,0
201306,A12013001,0,0,0,0,0,0,12423370,0,6412630,0
201307,A12013001,0,0,0,0,0,0,13883140,0,0,0
201308,A12013001,0,0,0,0,0,0,19276700,0,6630510,0
201309,A12013001,0,0,0,0,0,0,13174560,0,0,0
201310,A12013001,0,0,0,0,0,0,10910310,0,6257000,0
201311,A12013001,0,0,0,0,0,0,13082900,0,0,0
201312,A12013001,0,0,0,0,0,0,13807940,0,5852360,0
201401,A12013001,0,0,0,0,0,0,14058250,83362,0,0
201402,A12013001,0,0,0,0,0,0,14412780,83210,6178240,7669
201403,A12013001,0,0,0,0,0,0,10710670,70740,0,0
201404,A12013001,0,0,0,0,0,0,11785460,75326,6210950,7027
201405,A12013001,0,0,0,0,0,0,11067810,71834,0,0
201406,A12013001,0,0,0,0,0,0,12864330,75686,6145540,6968
201407,A12013001,0,0,0,0,0,0,13792920,78192,0,0
201408,A12013001,0,0,0,0,0,0,14705490,81662,6439870,8211
201409,A12013001,0,0,0,0,0,0,12328990,75686,0,0
201410,A12013001,0,0,0,0,0,0,10868330,72007,6766890,8072
201411,A12013001,0,0,0,0,0,0,12900190,77659,0,0
201412,A12013001,0,0,0,0,0,0,13652979,60304,5687710,7530
201501,A12013001,0,0,0,0,0,0,14078145,60432,0,0
201502,A12013001,0,0,0,0,0,0,13238802,57517,6014730,7707
201503,A12013001,0,0,0,0,0,0,10355391,51897,0,0
201504,A12013001,0,0,0,0,0,0,11354169,55407,5949340,7419
201505,A12013001,0,0,0,0,0,0,10224413,52389,0,0
201506,A12013001,0,0,0,0,0,0,12054277,56499,6766890,7997
201507,A12013001,0,0,0,0,0,0,12160005,59496,0,0
201508,A12013001,0,0,0,0,0,0,16849784,71421,6963090,8280
201509,A12013001,0,0,0,0,0,0,10491626,55060,0,0
201510,A12013001,0,0,0,0,0,0,10356108,53038,6701480,7886
201511,A12013001,0,0,0,0,0,0,12286087,57396,0,0
201512,A12013001,0,0,0,0,0,0,12623488,57634,6636070,7802
201601,A12013001,0,0,0,0,0,0,13802606,60798,0,0
201602,A12013001,0,0,0,0,0,0,13606341,59895,6341750,7348
201603,A12013001,0,0,0,0,0,0,10886237,53477,0,0
201604,A12013001,0,0,0,0,0,0,11586239,56137,6407160,7425
201605,A12013001,0,0,0,0,0,0,10526435,53556,0,0
201606,A12013001,0,0,0,0,0,0,11998840,56610,6897690,7955
201607,A12013001,0,0,0,0,0,0,14226722,62856,0,0
201608,A12013001,0,0,0,0,0,0,22338680,90483,7028500,8267
201609,A12013001,0,0,0,0,0,0,9792042,57913,0,0
201610,A12013001,0,0,0,0,0,0,10019096,50772,6309050,8217
201611,A12013001,0,0,0,0,0,0,12202406,56415,0,0
201612,A12013001,0,0,0,0,0,0,11630618,59069,5900030,7731
201701,A12013001,0,0,0,0,0,0,11898868,57889,0,0
201702,A12013001,0,0,0,0,0,0,11972691,59688,5611800,7608
201703,A12013001,0,0,0,0,0,0,9083540,51306,0,0
