requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200912,A12171201,0,0,0,0,0,0,0,0,0,0
201001,A12171201,0,0,0,0,0,0,18627060,0,6519770,0
201002,A12171201,0,0,0,0,0,0,17550930,0,0,0
201003,A12171201,0,0,0,0,0,0,0,0,0,0
201004,A12171201,0,0,0,0,0,0,0,0,0,0
201005,A12171201,0,0,0,0,0,0,0,0,0,0
201006,A12171201,0,0,0,0,0,0,0,0,0,0
201007,A12171201,0,0,0,0,0,0,0,0,0,0
201008,A12171201,0,0,0,0,0,0,0,0,0,0
201009,A12171201,0,0,0,0,0,0,21056270,0,7000520,0
201010,A12171201,0,0,0,0,0,0,15823350,0,0,0
201011,A12171201,0,0,0,0,0,0,16539220,0,6879840,0
201012,A12171201,0,0,0,0,0,0,17925790,0,0,0
201101,A12171201,0,0,0,0,0,0,21773250,0,7225900,0
201102,A12171201,0,0,0,0,0,0,21942270,0,0,0
201103,A12171201,0,0,0,0,0,0,15910510,0,6656240,0
201104,A12171201,0,0,0,0,0,0,17202180,0,0,0
201105,A12171201,0,0,0,0,0,0,15921050,0,7185220,0
201106,A12171201,0,0,0,0,0,0,16247030,0,0,0
201107,A12171201,0,0,0,0,0,0,16717150,0,7255810,0
201108,A12171201,0,0,0,0,0,0,21306080,0,0,0
201109,A12171201,0,0,0,0,0,0,18692320,0,7185220,0
201110,A12171201,0,0,0,0,0,0,15464660,0,0,0
201111,A12171201,0,0,0,0,0,0,16748720,0,6859690,0
201112,A12171201,0,0,0,0,0,0,17272280,0,0,0
201201,A12171201,0,0,0,0,0,0,19665380,0,6941080,0
201202,A12171201,0,0,0,0,0,0,19262260,0,0,0
201203,A12171201,0,0,0,0,0,0,16823070,0,7948940,0
201204,A12171201,0,0,0,0,0,0,17446640,0,0,0
201205,A12171201,0,0,0,0,0,0,15597420,0,8465390,0
201206,A12171201,0,0,0,0,0,0,16229400,0,0,0
201207,A12171201,0,0,0,0,0,0,16684680,0,8747080,0
201208,A12171201,0,0,0,0,0,0,27002830,0,0,0
201209,A12171201,0,0,0,0,0,0,18272850,0,8230640,0
201210,A12171201,0,0,0,0,0,0,15110600,0,0,0
201211,A12171201,0,0,0,0,0,0,17080450,0,7962060,0
201212,A12171201,0,0,0,0,0,0,17712430,0,0,0
201301,A12171201,0,0,0,0,0,0,19389970,0,8162330,0
201302,A12171201,0,0,0,0,0,0,19523300,0,0,0
201303,A12171201,0,0,0,0,0,0,15501150,0,8102850,0
201304,A12171201,0,0,0,0,0,0,17345640,0,0,0
