requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201409,A12175203,0,0,0,0,0,0,0,0,0,0
201410,A12175203,0,0,0,0,0,0,9049080,36333,19382043,12509
201411,A12175203,0,0,0,0,0,0,68470265,314172,30199332,27729
201412,A12175203,0,0,0,0,124870,0,142110330,600856,39315864,41206
201501,A12175203,0,0,0,0,125850,0,208052670,846500,41669244,46643
201502,A12175203,0,0,0,0,1071560,0,222065690,931860,39934950,46071
201503,A12175203,0,0,0,0,557320,0,185105620,870321,49040630,57904
201504,A12175203,0,0,0,0,420980,0,192678640,943069,47043240,55092
201505,A12175203,0,0,0,0,347130,0,176671650,898592,50281480,57994
201506,A12175203,0,0,0,0,140530,0,188066610,928168,54243140,61197
201507,A12175203,0,0,0,0,89670,0,213812280,969802,53565230,61722
201508,A12175203,0,0,0,0,65800,0,328587620,1294183,55908320,64189
201509,A12175203,0,0,0,0,66650,0,265020720,1166088,52122930,60779
201510,A12175203,0,0,0,0,73020,0,182581470,961130,53459360,62812
201511,A12175203,0,0,0,0,394090,0,205218010,1008912,49883920,60135
201512,A12175203,0,0,0,0,376150,0,222459140,1029371,50634220,61871
201601,A12175203,0,0,0,0,655100,0,246686060,1095142,53298950,61792
201602,A12175203,0,0,0,0,0,0,258076940,1115002,45924170,58230
201603,A12175203,0,0,0,0,0,0,217446540,1028148,53161980,62698
201604,A12175203,0,0,0,0,0,0,211592740,1045360,53085540,60964
201605,A12175203,0,0,0,0,0,0,185695420,997383,56065310,64376
201606,A12175203,0,0,0,0,0,0,205407360,1026262,55731060,63386
201607,A12175203,0,0,0,0,0,0,239181400,1102735,58593460,67093
201608,A12175203,0,0,0,0,0,0,446214590,1543492,57323590,65568
201609,A12175203,0,0,0,0,0,0,227624480,1449094,54434710,62199
201610,A12175203,0,0,0,0,0,0,171228880,1007703,56023060,64345
201611,A12175203,0,0,0,0,0,0,210930850,1020130,53045320,61625
201612,A12175203,0,0,0,0,0,0,206528710,1033549,54476190,62724
201701,A12175203,0,0,0,0,0,0,215769440,1102131,56705170,63073
201702,A12175203,0,0,0,0,0,0,222481130,1110487,51073500,56538
201703,A12175203,0,0,0,0,0,0,170770170,986027,57132520,63154
201704,A12175203,0,0,0,0,0,0,186054540,1054133,56022490,61831
201705,A12175203,0,0,0,0,0,0,168604490,994157,58050260,64381
201706,A12175203,0,0,0,0,0,0,181740240,1032906,56922400,63526
201707,A12175203,0,0,0,0,0,0,232690100,1179083,60872500,67745
201708,A12175203,0,0,0,0,0,0,368800740,1641385,57445460,66119
201709,A12175203,0,0,0,0,0,0,247028670,1204039,56912340,63795
201710,A12175203,0,0,0,0,0,0,178878640,1014290,56641330,64569
201711,A12175203,0,0,0,0,0,0,183320150,1039715,57108080,62763
201712,A12175203,0,0,0,0,0,0,200483500,1080234,58614400,64244
