requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201010,A12179505,0,0,0,0,0,0,0,0,0,0
201011,A12179505,18409040,0,4543620,0,0,0,9279170,0,0,0
201012,A12179505,30940860,0,9456680,0,0,0,20120530,0,5469040,0
201101,A12179505,36587382,0,12157060,0,0,0,26649840,0,0,0
201102,A12179505,22251740,0,11233230,0,0,0,17321550,0,7798170,0
201103,A12179505,29115170,0,11165230,0,0,0,18711950,0,0,0
201104,A12179505,8775298,0,8542752,0,0,0,17487330,0,8228050,0
201105,A12179505,1666197,0,7968870,0,0,0,18775530,0,0,0
201106,A12179505,1474270,0,4182380,0,0,0,18747920,0,8443750,0
201107,A12179505,1573330,0,3770880,0,0,0,24460450,0,0,0
201108,A12179505,1666780,0,3179140,0,0,0,25352100,0,9297850,0
201109,A12179505,2014140,0,4001600,0,0,0,19400910,0,0,0
201110,A12179505,6451230,0,7474360,0,0,0,20045170,0,9140910,0
201111,A12179505,9738104,0,10197380,0,0,0,19350420,0,0,0
201112,A12179505,28060660,0,13147480,0,0,0,21774230,0,0,0
201201,A12179505,34984010,0,13671890,0,0,0,21529870,0,0,0
201202,A12179505,30427910,0,12992580,0,0,0,138977490,0,10136380,0
201203,A12179505,22356390,0,11155500,0,0,0,21239280,0,0,0
201204,A12179505,10449020,0,9904500,0,0,0,19324810,0,10342020,0
201205,A12179505,2384950,0,6088914,0,0,0,19204420,0,0,0
201206,A12179505,1980490,0,4538250,0,0,0,19640700,0,11008500,0
201207,A12179505,2064380,0,4105670,0,0,0,26838070,0,0,0
201208,A12179505,1925661,0,3127569,0,0,0,34488590,0,10222090,0
201209,A12179505,2711572,0,4739878,0,0,0,19894700,0,0,0
201210,A12179505,6747691,0,7645509,0,0,0,20968730,0,11281650,0
201211,A12179505,20642190,0,10329260,0,0,0,20909690,0,0,0
201212,A12179505,37599660,0,15034250,0,0,0,24510110,0,10813350,0
201301,A12179505,39479110,0,15143150,0,0,0,31818530,0,0,0
201302,A12179505,29553520,0,13836350,0,0,0,21768290,0,10562420,0
201303,A12179505,22351950,0,11924680,0,0,0,21964990,0,0,0
201304,A12179505,13661330,0,11013700,0,0,0,20760490,0,11236090,0
201305,A12179505,3221440,0,9375280,0,0,0,21020260,0,0,0
201306,A12179505,1551640,0,5036450,0,0,0,21034620,0,12032370,0
201307,A12179505,1698590,0,4553450,0,0,0,29057390,0,0,0
201308,A12179505,1512590,0,3490290,0,0,0,37515970,0,12332190,0
201309,A12179505,1624090,0,4159520,0,0,0,20020280,0,0,0
201310,A12179505,6386990,0,9206200,0,0,0,20965380,0,11756180,0
201311,A12179505,21830990,0,12255510,0,0,0,21169070,0,0,0
201312,A12179505,33587440,0,16517820,0,0,0,23527200,0,11556300,0
201401,A12179505,34770340,33972,17060120,2674,0,0,21853290,142581,5856290,7017
201402,A12179505,24519150,25862,15088700,2365,0,0,18786190,98722,5384600,6237
201403,A12179505,17633190,18144,12969060,2558,0,0,21219400,106504,6087060,7035
201404,A12179505,5369610,6894,11387220,2246,0,0,19128370,101852,5889820,6813
201405,A12179505,2477160,6894,8134900,2246,0,0,19920870,101852,6245360,6813
201406,A12179505,1512590,0,4755060,1661,0,0,19713650,107095,6212460,7174
201407,A12179505,1512590,0,3793400,1443,0,0,26416700,125030,6480470,7477
201408,A12179505,1512590,0,3563770,1363,0,0,25085270,122293,6259570,7240
201409,A12179505,1590590,156,4321610,1544,0,0,18889300,104100,6210310,7083
201410,A12179505,4505590,5986,8607850,1890,0,0,20028970,104813,6141600,7100
201411,A12179505,14911970,17571,11285820,2226,0,0,20252530,104556,5991120,6945
201412,A12179505,35726650,35853,16154160,2532,0,0,21564920,110220,5959930,6906
201501,A12179505,32344030,32873,16664560,2612,0,0,22090870,109972,5973180,6914
201502,A12179505,25362460,26200,14948340,2343,0,0,18322390,97935,5335730,6203
201503,A12179505,20227770,19874,13369590,2637,0,0,21363650,106911,6141770,7108
201504,A12179505,6866920,8231,11701560,2308,0,0,19347630,102987,5987230,6922
201505,A12179505,2241170,1511,8101520,2060,0,0,19541560,104504,6303920,7272
201506,A12179505,1624090,223,5286240,1713,0,0,19323630,106730,6466830,7400
201507,A12179505,1537590,50,3851060,1446,0,0,23113040,126843,6576830,7515
201508,A12179505,1512590,0,3139140,1254,0,0,26631400,136741,6509310,7485
201509,A12179505,1512590,0,3966020,1533,0,0,15972470,105719,6292010,7244
201510,A12179505,3744090,4463,8023630,1850,0,0,19695440,100989,6173330,7107
201511,A12179505,14470780,17775,11118510,2193,0,0,20686690,107266,6131500,7084
201512,A12179505,25742430,29093,15961040,2509,0,0,21786320,110857,6227160,7120
201601,A12179505,32037940,35672,16785780,2635,0,0,22273550,111163,5478230,7025
201602,A12179505,24153380,28331,15465120,2427,0,0,19273370,101634,5041250,6491
201603,A12179505,14010500,19180,13146510,2593,0,0,20916840,106343,5594900,7141
201604,A12179505,3053400,6251,11605230,2289,0,0,18955110,102203,6114680,7043
201605,A12179505,1861090,1394,7247830,2061,0,0,20023760,106129,6315480,7320
201606,A12179505,1580090,135,4362300,1665,0,0,19225780,106550,6394070,7321
