requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200212,A12182401,0,0,0,0,0,0,0,0,0,0
200301,A12182401,0,0,0,0,0,0,0,0,0,0
200302,A12182401,0,0,0,0,0,0,0,0,0,0
200303,A12182401,0,0,0,0,0,0,0,0,0,0
200304,A12182401,0,0,0,0,0,0,0,0,0,0
200305,A12182401,0,0,0,0,0,0,0,0,0,0
200306,A12182401,0,0,0,0,0,0,0,0,0,0
200307,A12182401,0,0,0,0,0,0,0,0,0,0
200308,A12182401,0,0,0,0,0,0,0,0,0,0
200309,A12182401,0,0,0,0,0,0,0,0,0,0
200310,A12182401,0,0,0,0,0,0,0,0,0,0
200311,A12182401,0,0,0,0,0,0,0,0,0,0
200312,A12182401,0,0,0,0,0,0,0,0,0,0
200401,A12182401,0,0,0,0,0,0,0,0,0,0
200402,A12182401,0,0,0,0,0,0,0,0,0,0
200403,A12182401,0,0,0,0,0,0,0,0,0,0
200404,A12182401,0,0,0,0,0,0,0,0,0,0
200405,A12182401,0,0,0,0,0,0,0,0,0,0
200406,A12182401,0,0,0,0,0,0,0,0,0,0
200407,A12182401,0,0,0,0,0,0,0,0,0,0
200408,A12182401,0,0,0,0,0,0,0,0,0,0
200409,A12182401,0,0,0,0,0,0,0,0,0,0
200410,A12182401,0,0,0,0,0,0,0,0,0,0
200411,A12182401,0,0,0,0,0,0,0,0,0,0
200412,A12182401,0,0,0,0,0,0,0,0,0,0
200501,A12182401,0,0,0,0,0,0,0,0,0,0
200502,A12182401,0,0,0,0,0,0,0,0,0,0
200503,A12182401,0,0,0,0,0,0,0,0,0,0
200504,A12182401,0,0,0,0,0,0,0,0,0,0
200505,A12182401,0,0,0,0,0,0,0,0,0,0
200506,A12182401,0,0,0,0,0,0,0,0,0,0
200507,A12182401,0,0,0,0,0,0,0,0,0,0
200508,A12182401,0,0,0,0,0,0,0,0,0,0
200509,A12182401,0,0,0,0,0,0,0,0,0,0
200510,A12182401,0,0,0,0,0,0,0,0,0,0
200511,A12182401,0,0,0,0,0,0,0,0,0,0
200512,A12182401,0,0,0,0,0,0,0,0,0,0
