requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200805,A12220001,0,0,0,0,0,0,0,0,0,0
200806,A12220001,0,0,0,0,0,0,0,0,0,0
200807,A12220001,0,0,0,0,0,0,0,0,0,0
200808,A12220001,0,0,0,0,0,0,0,0,0,0
200809,A12220001,0,0,0,0,0,0,0,0,0,0
200810,A12220001,0,0,0,0,0,0,0,0,0,0
200811,A12220001,0,0,0,0,0,0,0,0,0,0
200812,A12220001,0,0,0,0,0,0,0,0,0,0
200901,A12220001,0,0,0,0,0,0,0,0,0,0
200902,A12220001,0,0,0,0,0,0,0,0,0,0
200903,A12220001,0,0,0,0,0,0,0,0,0,0
200904,A12220001,0,0,0,0,0,0,0,0,0,0
200905,A12220001,0,0,0,0,0,0,0,0,0,0
200906,A12220001,0,0,0,0,0,0,0,0,0,0
200907,A12220001,0,0,0,0,0,0,0,0,0,0
200908,A12220001,0,0,0,0,0,0,0,0,0,0
200909,A12220001,0,0,0,0,0,0,0,0,0,0
200910,A12220001,0,0,0,0,0,0,0,0,0,0
200911,A12220001,0,0,0,0,0,0,0,0,0,0
200912,A12220001,0,0,0,0,0,0,0,0,0,0
201001,A12220001,0,0,0,0,0,0,0,0,0,0
201002,A12220001,16214530,0,6683800,0,0,0,11472880,0,2511800,0
201003,A12220001,13447130,0,6363000,0,0,0,12432760,0,2535090,0
201004,A12220001,7805650,0,5926500,0,0,0,10423670,0,2641590,0
201005,A12220001,2816480,0,4270000,0,0,0,10595090,0,2914490,0
201006,A12220001,986690,0,2951020,0,0,0,10430482,0,2565040,0
201007,A12220001,910190,0,1733370,0,0,0,0,0,2788020,0
201008,A12220001,1190570,0,2264540,0,0,0,0,0,2721460,0
201009,A12220001,4646820,0,0,0,0,0,10580754,0,2495150,0
201010,A12220001,10964230,0,0,0,0,0,11164530,0,2588340,0
201011,A12220001,0,0,0,0,0,0,0,0,0,0
201012,A12220001,18573330,0,0,0,0,0,12981320,0,2365360,0
201101,A12220001,25758380,0,0,0,0,0,14979600,0,2340530,0
201102,A12220001,14215190,0,0,0,0,0,10319540,0,2671210,0
201103,A12220001,12193770,0,0,0,0,0,10987540,0,2494110,0
201104,A12220001,5940630,0,0,0,0,0,10331880,0,2611330,0
201105,A12220001,2445940,0,0,0,0,0,10809000,0,2504150,0
201106,A12220001,1329650,0,0,0,0,0,10523660,0,2592070,0
201107,A12220001,271620,0,2687470,0,0,0,13662320,0,2943600,0
201108,A12220001,633560,0,2173500,0,0,0,13294531,0,2497600,0
201109,A12220001,1523930,0,2363200,0,0,0,20419331,0,2815060,0
201110,A12220001,5314680,0,3446400,0,0,0,12960249,0,2666330,0
201111,A12220001,6875720,0,3859200,0,0,0,11599912,0,2815060,0
201112,A12220001,0,0,0,0,0,0,0,0,0,0
201201,A12220001,19529400,0,6806400,0,0,0,11367632,0,2920890,0
201202,A12220001,0,0,0,0,0,0,0,0,0,0
201203,A12220001,12705290,0,6432800,0,0,0,12296126,0,2943000,0
201204,A12220001,5994930,0,5530200,0,0,0,11243458,0,3177000,0
201205,A12220001,1614870,0,3974600,0,0,0,11283990,0,3114580,0
201206,A12220001,1329830,0,2573200,0,0,0,10796014,0,3208190,0
201207,A12220001,1036470,0,2212500,0,0,0,16760175,0,3497080,0
201208,A12220001,1285670,0,0,0,0,0,14464433,0,3372280,0
201209,A12220001,1482800,0,2490000,0,0,0,10930725,0,3403500,0
201210,A12220001,4019850,0,4147650,0,0,0,12348375,0,3216280,0
201211,A12220001,13491810,0,5036000,0,0,0,12416851,0,3341080,0
201212,A12220001,23774480,0,7695000,0,0,0,15186801,0,3068390,0
201301,A12220001,25906900,0,7080000,0,0,0,15337616,0,3037190,0
201302,A12220001,18938120,0,7054700,0,0,0,11462069,0,3057320,0
201303,A12220001,13563660,0,6786800,0,0,0,12369368,0,3057320,0
201304,A12220001,8293800,0,5908500,0,0,0,11504410,0,3254490,0
201305,A12220001,2727020,0,4315500,0,0,0,11537213,0,3155920,0
201306,A12220001,1334940,0,2402400,0,0,0,11578079,0,3451680,0
201307,A12220001,1286270,0,2120600,0,0,0,15486393,0,3287360,0
201308,A12220001,1128290,0,1406000,0,0,0,15462812,0,3468120,0
201309,A12220001,1438640,0,2106000,0,0,0,10643711,0,3320240,0
201310,A12220001,4339590,0,3770000,0,0,0,11469320,0,3106610,0
201311,A12220001,13331710,0,5726400,0,0,0,12174593,0,3213100,0
201312,A12220001,22708620,0,6811200,0,0,0,14435055,0,3032350,0
201401,A12220001,0,0,0,0,0,0,0,0,0,0
201402,A12220001,0,0,0,0,0,0,0,0,0,0
201403,A12220001,19062390,7294,-19200,1399,0,0,12217040,56739,3148790,3764
201404,A12220001,4000690,2723,5805200,1262,0,0,10655072,54578,3406090,3718
201405,A12220001,1418370,823,4301600,1132,0,0,10887089,56826,3419350,3899
201406,A12220001,10,1,2771050,889,0,0,11410159,57028,3648630,3838
201407,A12220001,194530,7,1924800,802,0,0,14427868,66307,3379850,4263
201408,A12220001,132620,0,1743400,758,0,0,11454510,59513,3762830,4071
201409,A12220001,291250,87,2236000,860,0,0,10316624,55408,3696540,3954
201410,A12220001,3299460,2782,8150400,1131,0,0,11476023,56008,3421140,4245
