requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200909,A12275501,0,0,0,0,0,0,0,0,0,0
200910,A12275501,0,0,0,0,0,0,0,0,0,0
200911,A12275501,0,0,0,0,0,0,0,0,0,0
200912,A12275501,0,0,0,0,0,0,0,0,0,0
201001,A12275501,0,0,0,0,0,0,39727600,0,2580340,0
201002,A12275501,0,0,0,0,0,0,0,0,0,0
201003,A12275501,0,0,0,0,0,0,29139500,0,3003040,0
201004,A12275501,0,0,0,0,0,0,32220150,0,3136840,0
201005,A12275501,0,0,0,0,0,0,30017410,0,3462850,0
201006,A12275501,0,0,0,0,0,0,0,0,0,0
201007,A12275501,0,0,0,0,0,0,0,0,0,0
201008,A12275501,0,0,0,0,0,0,0,0,0,0
201009,A12275501,0,0,0,0,0,0,72258760,0,3878400,0
201010,A12275501,0,0,0,0,0,0,37527676,0,3612160,0
201011,A12275501,0,0,0,0,0,0,38402275,0,3560640,0
201012,A12275501,0,0,0,0,0,0,40685890,0,3881090,0
201101,A12275501,0,0,0,0,0,0,46826130,0,3698510,0
201102,A12275501,0,0,0,0,0,0,29890340,0,2371270,0
201103,A12275501,0,0,0,0,0,0,20710860,0,2303340,0
201104,A12275501,0,0,0,0,0,0,25012370,0,2235420,0
201105,A12275501,0,0,0,0,0,0,22796970,0,2534660,0
201106,A12275501,0,0,0,0,0,0,29857480,0,2360360,0
201107,A12275501,0,0,0,0,0,0,40763040,0,2969000,0
201108,A12275501,0,0,0,0,0,0,67822620,0,3064100,0
201109,A12275501,0,0,0,0,0,0,55540170,0,3064100,0
201110,A12275501,0,0,0,0,0,0,25749040,0,2398630,0
201111,A12275501,0,0,0,0,0,0,25944630,0,2339660,0
201112,A12275501,0,0,0,0,0,0,28206250,0,2672420,0
201201,A12275501,0,0,0,0,0,0,30596130,0,2300990,0
201202,A12275501,0,0,0,0,0,0,31355310,0,2313250,0
201203,A12275501,0,0,0,0,0,0,22742450,0,2432290,0
201204,A12275501,0,0,0,0,0,0,20795090,0,2431700,0
201205,A12275501,0,0,0,0,0,0,21635520,0,2526270,0
201206,A12275501,0,0,0,0,0,0,26470060,0,3490460,0
201207,A12275501,0,0,0,0,0,0,37866847,0,3129940,0
201208,A12275501,0,0,0,0,0,0,84138220,0,3051560,0
201209,A12275501,0,0,0,0,0,0,42223880,0,3051560,0
201210,A12275501,0,0,0,0,0,0,27071060,0,2419730,0
201211,A12275501,0,0,0,0,0,0,26895460,0,2876630,0
201212,A12275501,0,0,0,0,0,0,28872340,0,3035890,0
201301,A12275501,0,0,0,0,0,0,33055340,0,2903120,0
201302,A12275501,0,0,0,0,0,0,31616930,0,2793610,0
201303,A12275501,0,0,0,0,0,0,23595560,0,3036000,0
201304,A12275501,0,0,0,0,0,0,25551430,0,2882910,0
201305,A12275501,0,0,0,0,0,0,23171700,0,3299040,0
201306,A12275501,0,0,0,0,0,0,30842400,0,3118640,0
201307,A12275501,0,0,0,0,0,0,42437220,0,3350930,0
201308,A12275501,0,0,0,0,0,0,70249210,0,3325160,0
201309,A12275501,0,0,0,0,0,0,47130590,0,3089790,0
201310,A12275501,0,0,0,0,0,0,27311380,0,3107170,0
201311,A12275501,0,0,0,0,0,0,26104370,0,3051670,0
201312,A12275501,0,0,0,0,0,0,28486930,0,2885910,0
201401,A12275501,0,0,0,0,0,0,8749950,0,0,0
201402,A12275501,0,0,0,0,0,0,8760970,0,0,0
201403,A12275501,0,0,0,0,0,0,6937020,0,0,0
201404,A12275501,0,0,0,0,0,0,6193120,0,0,0
201405,A12275501,0,0,0,0,0,0,6225720,0,0,0
201406,A12275501,0,0,0,0,0,0,7101720,0,0,0
201407,A12275501,0,0,0,0,0,0,9086900,0,0,0
201408,A12275501,0,0,0,0,0,0,11048650,0,0,0
201409,A12275501,0,0,0,0,0,0,7513600,0,0,0
201410,A12275501,0,0,0,0,0,0,6548740,0,0,0
201411,A12275501,0,0,0,0,0,0,6785480,0,0,0
201412,A12275501,0,0,0,0,0,0,7024700,0,0,0
201501,A12275501,0,0,0,0,0,0,29104660,89520,2925570,3403
201502,A12275501,0,0,0,0,0,0,26758636,84605,2867270,3342
201503,A12275501,0,0,0,0,0,0,20384806,73318,3093520,3589
201504,A12275501,0,0,0,0,0,0,22974270,81061,2939180,3413
201505,A12275501,0,0,0,0,0,0,20875816,76759,3165100,3666
201506,A12275501,0,0,0,0,0,0,27586716,85804,3330020,3832
201507,A12275501,0,0,0,0,0,0,35087864,98155,3212060,3724
201508,A12275501,0,0,0,0,0,0,64649220,138075,2988240,3465
201509,A12275501,0,0,0,0,0,0,35527938,101799,3108880,3594
201510,A12275501,0,0,0,0,0,0,24613740,83990,2983980,3462
201511,A12275501,0,0,0,0,0,0,24706781,81360,2994990,3471
201512,A12275501,0,0,0,0,0,0,25559555,82507,2796810,3250
201601,A12275501,0,0,0,0,0,0,27105924,82521,3105950,3599
201602,A12275501,0,0,0,0,0,0,29110707,87255,2885250,3353
201603,A12275501,0,0,0,0,0,0,21956883,76807,2923890,3396
201604,A12275501,0,0,0,0,0,0,22283353,79167,3025180,3515
201605,A12275501,0,0,0,0,0,0,20153832,76113,3097080,3594
201606,A12275501,0,0,0,0,0,0,27378883,87646,3094680,3584
201607,A12275501,0,0,0,0,0,0,38097311,102224,3244390,3753
201608,A12275501,0,0,0,0,0,0,83841328,163828,3172420,3667
201609,A12275501,0,0,0,0,0,0,25801177,144726,3067180,3553
201610,A12275501,0,0,0,0,0,0,23588968,81201,3523700,3533
201611,A12275501,0,0,0,0,0,0,22700610,78819,3523740,3450
201612,A12275501,0,0,0,0,0,0,20880521,83108,2465540,3546
201701,A12275501,0,0,0,0,0,0,23593229,87659,2551420,3607
201702,A12275501,0,0,0,0,0,0,19504712,76371,3359060,3182
201703,A12275501,0,0,0,0,0,0,18150608,78162,3197350,3662
201704,A12275501,0,0,0,0,0,0,17100869,76150,2516000,2768
201705,A12275501,0,0,0,0,0,0,18525374,81032,3251250,3610
201706,A12275501,0,0,0,0,0,0,21685495,87079,2855970,3686
