requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201101,A12289501,0,0,0,0,0,0,155860,0,408200,0
201102,A12289501,0,0,0,0,0,0,24761620,0,2226360,0
201103,A12289501,0,0,0,0,0,0,25454500,0,3401100,0
201104,A12289501,0,0,0,0,0,0,31997440,0,4269740,0
201105,A12289501,0,0,0,0,0,0,25288840,0,4179600,0
201106,A12289501,0,0,0,0,0,0,25133710,0,4905380,0
201107,A12289501,0,0,0,0,0,0,26741090,0,4820940,0
201108,A12289501,0,0,0,0,0,0,36712250,0,5068620,0
201109,A12289501,0,0,0,0,0,0,34163080,0,5585340,0
201110,A12289501,0,0,0,0,0,0,26923980,0,4518880,0
201111,A12289501,0,0,0,0,0,0,28057420,0,4485760,0
201112,A12289501,0,0,0,0,0,0,31180710,0,4457160,0
201201,A12289501,0,0,0,0,0,0,32972870,0,5096080,0
201202,A12289501,0,0,0,0,0,0,34938050,0,5217770,0
201203,A12289501,0,0,0,0,0,0,29011490,0,4748800,0
201204,A12289501,0,0,0,0,0,0,28576660,0,5343550,0
201205,A12289501,0,0,0,0,0,0,26129200,0,5093400,0
201206,A12289501,0,0,0,0,0,0,26654970,0,5806300,0
201207,A12289501,0,0,0,0,0,0,26840740,0,5984800,0
201208,A12289501,0,0,0,0,0,0,44579600,0,5701590,0
201209,A12289501,0,0,0,0,0,0,33465400,0,6179800,0
201210,A12289501,0,0,0,0,0,0,25107780,0,5323440,0
201211,A12289501,0,0,0,0,0,0,27697030,0,5508550,0
201212,A12289501,0,0,0,0,0,0,30065020,0,5036800,0
201301,A12289501,0,0,0,0,0,0,33785840,0,5262550,0
201302,A12289501,0,0,0,0,0,0,34176300,0,5557030,0
201303,A12289501,0,0,0,0,0,0,27291860,0,4977830,0
201304,A12289501,0,0,0,0,0,0,29385890,0,6088720,0
201305,A12289501,0,0,0,0,0,0,25485850,0,6081620,0
201306,A12289501,0,0,0,0,0,0,27655010,0,6324910,0
201307,A12289501,0,0,0,0,0,0,28751163,0,7474,0
201308,A12289501,0,0,0,0,0,0,40130515,0,6494420,0
201309,A12289501,0,0,0,0,0,0,36007286,0,6260850,0
201310,A12289501,0,0,0,0,0,0,26065775,0,5955840,0
201311,A12289501,0,0,0,0,0,0,27783450,0,7232,0
201312,A12289501,0,0,0,0,0,0,29919743,0,5949730,0
201401,A12289501,0,0,0,0,0,0,32249810,127013,5728130,6833
201402,A12289501,0,0,0,0,0,0,33620496,133339,5962550,6986
201403,A12289501,0,0,0,0,0,0,27230844,119033,5444630,6430
201404,A12289501,0,0,0,0,0,0,28951584,128033,6291230,7311
201405,A12289501,0,0,0,0,0,0,25808092,119588,6023930,7181
201406,A12289501,0,0,0,0,0,0,26944856,121252,6649790,7680
201407,A12289501,0,0,0,0,0,0,27128982,121509,6639450,7895
201408,A12289501,0,0,0,0,0,0,35090622,142838,6545090,7791
201409,A12289501,0,0,0,0,0,0,28206911,126629,6661120,7942
201410,A12289501,0,0,0,0,0,0,23020728,114522,6198430,7403
201411,A12289501,0,0,0,0,0,0,25515220,120863,6513870,7745
201412,A12289501,0,0,0,0,0,0,1506502,0,168870,0
201501,A12289501,0,0,0,0,0,0,43966100,267936,12318160,14559
201502,A12289501,0,0,0,0,0,0,27397147,129304,6573430,7472
201503,A12289501,0,0,0,0,0,0,21697456,116831,5719490,6795
201504,A12289501,0,0,0,0,0,0,23126355,124079,6461920,7620
201505,A12289501,0,0,0,0,0,0,20077103,119739,6489520,7654
201506,A12289501,0,0,0,0,0,0,20290666,117641,7277610,8487
201507,A12289501,0,0,0,0,0,0,21915542,120165,6960660,8156
201508,A12289501,0,0,0,0,0,0,33458269,133163,7308100,8064
201509,A12289501,0,0,0,0,0,0,24984418,133163,6863540,8064
201510,A12289501,0,0,0,0,0,0,18883826,123528,6670940,7846
201511,A12289501,0,0,0,0,0,0,24379026,114269,6862720,8050
201512,A12289501,0,0,0,0,0,0,28502637,0,6427480,0
201601,A12289501,0,0,0,0,0,0,28240739,174804,6517030,7667
201602,A12289501,0,0,0,0,0,0,28355399,177857,6949830,7989
201603,A12289501,0,0,0,0,0,0,22824821,162323,6223550,7309
201604,A12289501,0,0,0,0,0,0,23724839,165751,6788400,7960
201605,A12289501,0,0,0,0,0,0,20800387,157785,6990130,8181
201606,A12289501,0,0,0,0,0,0,22249218,159460,7049970,8231
201607,A12289501,0,0,0,0,0,0,25179936,161036,7103070,8329
201608,A12289501,0,0,0,0,0,0,46795755,209640,7440690,8667
201609,A12289501,0,0,0,0,0,0,25924945,196386,7227110,8445
201610,A12289501,0,0,0,0,0,0,16313758,151769,6952980,8132
201611,A12289501,0,0,0,0,0,0,23091644,162158,6804120,7966
201612,A12289501,0,0,0,0,0,0,24498172,164503,6457940,7574
201701,A12289501,0,0,0,0,0,0,24083233,174409,6693960,7836
201702,A12289501,0,0,0,0,0,0,24950514,177702,6504070,7644
201703,A12289501,0,0,0,0,0,0,19707721,114946,5939000,7026
201704,A12289501,0,0,0,0,0,0,21261370,124032,6623640,7762
201705,A12289501,0,0,0,0,0,0,19029905,117401,6859500,8049
201706,A12289501,0,0,0,0,0,0,18958123,119911,6828970,7955
201707,A12289501,0,0,0,0,0,0,21700611,125862,7376550,8556
201708,A12289501,0,0,0,0,0,0,31088829,174918,7374590,8574
201709,A12289501,0,0,0,0,0,0,20753540,131219,7343110,8496
201710,A12289501,0,0,0,0,0,0,15126730,115193,6728540,7895
201711,A12289501,0,0,0,0,0,0,17856923,121317,6820790,7972
201712,A12289501,0,0,0,0,0,0,24235060,172809,6283510,7376
201801,A12289501,0,0,0,0,0,0,26200810,185596,6169275,7775
201802,A12289501,0,0,0,0,0,0,26851610,188370,6464160,7401
201803,A12289501,0,0,0,0,0,0,20164370,160241,5706190,6916
201804,A12289501,0,0,0,0,0,0,21887860,161436,6478360,7842
201805,A12289501,0,0,0,0,0,0,17974550,157120,6385870,7933
201806,A12289501,0,0,0,0,0,0,20712700,185524,6733260,8291
201807,A12289501,0,0,0,0,0,0,21183840,185288,6896990,8539
201808,A12289501,0,0,0,0,0,0,44789450,261489,7035790,8578
201809,A12289501,0,0,0,0,3660,0,16616340,200918,6537690,8159
201810,A12289501,0,0,0,0,16860,0,16854590,153525,6879230,8113
201811,A12289501,0,0,0,0,46870,0,20100250,161680,5979110,7716
201812,A12289501,0,0,0,0,80310,0,21220070,166857,6430970,7529
201901,A12289501,0,0,0,0,0,0,24251750,180779,6473120,7778
201902,A12289501,0,0,0,0,0,0,24551810,181609,6968710,7777
201903,A12289501,0,0,0,0,0,0,18247530,159910,6085740,7098
201904,A12289501,0,0,0,0,0,0,21813580,170547,6985360,7838
