requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200511,A13272102,0,0,0,0,0,0,0,0,0,0
200512,A13272102,0,0,0,0,0,0,0,0,0,0
200601,A13272102,0,0,0,0,0,0,0,0,0,0
200602,A13272102,0,0,0,0,0,0,0,0,0,0
200603,A13272102,0,0,0,0,0,0,0,0,0,0
200604,A13272102,0,0,0,0,0,0,0,0,0,0
200605,A13272102,0,0,0,0,0,0,0,0,0,0
200606,A13272102,0,0,0,0,0,0,0,0,0,0
200607,A13272102,0,0,0,0,0,0,0,0,0,0
200608,A13272102,0,0,0,0,0,0,0,0,0,0
200609,A13272102,0,0,0,0,0,0,0,0,0,0
200610,A13272102,0,0,0,0,0,0,0,0,0,0
200611,A13272102,0,0,0,0,0,0,0,0,0,0
200612,A13272102,0,0,0,0,0,0,0,0,0,0
200701,A13272102,0,0,0,0,0,0,0,0,0,0
200702,A13272102,0,0,0,0,0,0,0,0,0,0
200703,A13272102,0,0,0,0,0,0,0,0,0,0
200704,A13272102,0,0,0,0,0,0,0,0,0,0
200705,A13272102,0,0,0,0,0,0,0,0,0,0
200706,A13272102,0,0,0,0,0,0,0,0,0,0
200707,A13272102,0,0,0,0,0,0,0,0,0,0
200708,A13272102,0,0,0,0,0,0,0,0,0,0
200709,A13272102,0,0,0,0,0,0,0,0,0,0
200710,A13272102,0,0,0,0,0,0,0,0,0,0
200711,A13272102,0,0,0,0,0,0,0,0,0,0
200712,A13272102,0,0,0,0,0,0,0,0,0,0
200801,A13272102,0,0,0,0,0,0,0,0,0,0
200802,A13272102,0,0,0,0,0,0,0,0,0,0
200803,A13272102,0,0,0,0,0,0,0,0,0,0
200804,A13272102,0,0,0,0,0,0,0,0,0,0
200805,A13272102,0,0,0,0,0,0,0,0,0,0
200806,A13272102,0,0,0,0,0,0,0,0,0,0
200807,A13272102,0,0,0,0,0,0,0,0,0,0
200808,A13272102,0,0,0,0,0,0,0,0,0,0
200809,A13272102,0,0,0,0,0,0,0,0,0,0
200810,A13272102,0,0,0,0,0,0,0,0,0,0
200811,A13272102,0,0,0,0,0,0,0,0,0,0
200812,A13272102,0,0,0,0,0,0,0,0,0,0
200901,A13272102,0,0,0,0,0,0,0,0,0,0
200902,A13272102,0,0,0,0,0,0,0,0,0,0
200903,A13272102,0,0,0,0,0,0,0,0,0,0
200904,A13272102,0,0,0,0,0,0,0,0,0,0
200905,A13272102,0,0,0,0,0,0,0,0,0,0
200906,A13272102,0,0,0,0,0,0,0,0,0,0
200907,A13272102,0,0,0,0,0,0,0,0,0,0
200908,A13272102,0,0,0,0,0,0,0,0,0,0
200909,A13272102,0,0,0,0,0,0,0,0,0,0
200910,A13272102,0,0,0,0,0,0,0,0,0,0
200911,A13272102,0,0,0,0,0,0,0,0,0,0
200912,A13272102,0,0,0,0,0,0,0,0,0,0
201001,A13272102,0,0,0,0,0,0,29698840,0,3131450,0
201002,A13272102,0,0,0,0,0,0,29698840,0,3131450,0
201003,A13272102,0,0,0,0,0,0,20831810,0,3282730,0
201004,A13272102,0,0,0,0,0,0,23330000,0,2919480,0
201005,A13272102,0,0,0,0,0,0,21581920,0,3233200,0
201006,A13272102,0,0,0,0,0,0,22791420,0,3200170,0
201007,A13272102,0,0,0,0,0,0,23884360,0,3373120,0
201008,A13272102,0,0,0,0,0,0,34027400,0,3521650,0
201009,A13272102,0,0,0,0,0,0,29788290,0,3365290,0
201010,A13272102,0,0,0,0,0,0,21182540,0,3405540,0
201011,A13272102,0,0,0,0,0,0,22487250,0,3080530,0
201012,A13272102,0,0,0,0,0,0,23559600,0,3122200,0
201101,A13272102,0,0,0,0,0,0,30013450,0,3051560,0
201102,A13272102,0,0,0,0,0,0,29292740,0,3338640,0
201103,A13272102,0,0,0,0,0,0,19711760,0,3364520,0
201104,A13272102,0,0,0,0,0,0,22464800,0,2730280,0
201105,A13272102,0,0,0,0,0,0,20580170,0,3414670,0
201106,A13272102,0,0,0,0,0,0,21347090,0,3318900,0
201107,A13272102,0,0,0,0,0,0,22725870,0,3521750,0
201108,A13272102,0,0,0,0,0,0,31425050,0,3563050,0
201109,A13272102,0,0,0,0,0,0,25522640,0,3578800,0
201110,A13272102,0,0,0,0,0,0,23265780,0,3349120,0
201111,A13272102,0,0,0,0,0,0,0,0,0,0
201112,A13272102,0,0,0,0,0,0,24072490,0,3607910,0
201201,A13272102,0,0,0,0,0,0,30077190,0,3315530,0
201202,A13272102,0,0,0,0,0,0,30348950,0,3567480,0
201203,A13272102,0,0,0,0,0,0,22679120,0,3829160,0
201204,A13272102,0,0,0,0,0,0,23702440,0,3369180,0
201205,A13272102,0,0,0,0,0,0,21376610,0,3533140,0
201206,A13272102,0,0,0,0,0,0,22482760,0,3632630,0
