requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
199009,A13290809,0,0,0,0,0,0,0,0,0,0
199010,A13290809,0,0,0,0,0,0,0,0,0,0
199011,A13290809,0,0,0,0,0,0,0,0,0,0
199012,A13290809,0,0,0,0,0,0,0,0,0,0
199101,A13290809,0,0,0,0,0,0,0,0,0,0
199102,A13290809,0,0,0,0,0,0,0,0,0,0
199103,A13290809,0,0,0,0,0,0,0,0,0,0
199104,A13290809,0,0,0,0,0,0,0,0,0,0
199105,A13290809,0,0,0,0,0,0,0,0,0,0
199106,A13290809,0,0,0,0,0,0,0,0,0,0
199107,A13290809,0,0,0,0,0,0,0,0,0,0
199108,A13290809,0,0,0,0,0,0,0,0,0,0
199109,A13290809,0,0,0,0,0,0,0,0,0,0
199110,A13290809,0,0,0,0,0,0,0,0,0,0
199111,A13290809,0,0,0,0,0,0,0,0,0,0
199112,A13290809,0,0,0,0,0,0,0,0,0,0
199201,A13290809,0,0,0,0,0,0,0,0,0,0
199202,A13290809,0,0,0,0,0,0,0,0,0,0
199203,A13290809,0,0,0,0,0,0,0,0,0,0
199204,A13290809,0,0,0,0,0,0,0,0,0,0
199205,A13290809,0,0,0,0,0,0,0,0,0,0
199206,A13290809,0,0,0,0,0,0,0,0,0,0
199207,A13290809,0,0,0,0,0,0,0,0,0,0
199208,A13290809,0,0,0,0,0,0,0,0,0,0
199209,A13290809,0,0,0,0,0,0,0,0,0,0
199210,A13290809,0,0,0,0,0,0,0,0,0,0
199211,A13290809,0,0,0,0,0,0,0,0,0,0
199212,A13290809,0,0,0,0,0,0,0,0,0,0
199301,A13290809,0,0,0,0,0,0,0,0,0,0
199302,A13290809,0,0,0,0,0,0,0,0,0,0
199303,A13290809,0,0,0,0,0,0,0,0,0,0
199304,A13290809,0,0,0,0,0,0,0,0,0,0
199305,A13290809,0,0,0,0,0,0,0,0,0,0
199306,A13290809,0,0,0,0,0,0,0,0,0,0
199307,A13290809,0,0,0,0,0,0,0,0,0,0
199308,A13290809,0,0,0,0,0,0,0,0,0,0
199309,A13290809,0,0,0,0,0,0,0,0,0,0
199310,A13290809,0,0,0,0,0,0,0,0,0,0
199311,A13290809,0,0,0,0,0,0,0,0,0,0
199312,A13290809,0,0,0,0,0,0,0,0,0,0
199401,A13290809,0,0,0,0,0,0,0,0,0,0
199402,A13290809,0,0,0,0,0,0,0,0,0,0
199403,A13290809,0,0,0,0,0,0,0,0,0,0
199404,A13290809,0,0,0,0,0,0,0,0,0,0
199405,A13290809,0,0,0,0,0,0,0,0,0,0
199406,A13290809,0,0,0,0,0,0,0,0,0,0
199407,A13290809,0,0,0,0,0,0,0,0,0,0
199408,A13290809,0,0,0,0,0,0,0,0,0,0
199409,A13290809,0,0,0,0,0,0,0,0,0,0
199410,A13290809,0,0,0,0,0,0,0,0,0,0
199411,A13290809,0,0,0,0,0,0,0,0,0,0
199412,A13290809,0,0,0,0,0,0,0,0,0,0
199501,A13290809,0,0,0,0,0,0,0,0,0,0
199502,A13290809,0,0,0,0,0,0,0,0,0,0
199503,A13290809,0,0,0,0,0,0,0,0,0,0
199504,A13290809,0,0,0,0,0,0,0,0,0,0
199505,A13290809,0,0,0,0,0,0,0,0,0,0
199506,A13290809,0,0,0,0,0,0,0,0,0,0
199507,A13290809,0,0,0,0,0,0,0,0,0,0
199508,A13290809,0,0,0,0,0,0,0,0,0,0
199509,A13290809,0,0,0,0,0,0,0,0,0,0
199510,A13290809,0,0,0,0,0,0,0,0,0,0
199511,A13290809,0,0,0,0,0,0,0,0,0,0
199512,A13290809,0,0,0,0,0,0,0,0,0,0
199601,A13290809,0,0,0,0,0,0,0,0,0,0
199602,A13290809,0,0,0,0,0,0,0,0,0,0
199603,A13290809,0,0,0,0,0,0,0,0,0,0
199604,A13290809,0,0,0,0,0,0,0,0,0,0
199605,A13290809,0,0,0,0,0,0,0,0,0,0
199606,A13290809,0,0,0,0,0,0,0,0,0,0
199607,A13290809,0,0,0,0,0,0,0,0,0,0
199608,A13290809,0,0,0,0,0,0,0,0,0,0
199609,A13290809,0,0,0,0,0,0,0,0,0,0
199610,A13290809,0,0,0,0,0,0,0,0,0,0
199611,A13290809,0,0,0,0,0,0,0,0,0,0
199612,A13290809,0,0,0,0,0,0,0,0,0,0
199701,A13290809,0,0,0,0,0,0,0,0,0,0
199702,A13290809,0,0,0,0,0,0,0,0,0,0
199703,A13290809,0,0,0,0,0,0,0,0,0,0
199704,A13290809,0,0,0,0,0,0,0,0,0,0
199705,A13290809,0,0,0,0,0,0,0,0,0,0
199706,A13290809,0,0,0,0,0,0,0,0,0,0
199707,A13290809,0,0,0,0,0,0,0,0,0,0
199708,A13290809,0,0,0,0,0,0,0,0,0,0
199709,A13290809,0,0,0,0,0,0,0,0,0,0
199710,A13290809,0,0,0,0,0,0,0,0,0,0
199711,A13290809,0,0,0,0,0,0,0,0,0,0
199712,A13290809,0,0,0,0,0,0,0,0,0,0
199801,A13290809,0,0,0,0,0,0,0,0,0,0
199802,A13290809,0,0,0,0,0,0,0,0,0,0
199803,A13290809,0,0,0,0,0,0,0,0,0,0
199804,A13290809,0,0,0,0,0,0,0,0,0,0
199805,A13290809,0,0,0,0,0,0,0,0,0,0
199806,A13290809,0,0,0,0,0,0,0,0,0,0
199807,A13290809,0,0,0,0,0,0,0,0,0,0
199808,A13290809,0,0,0,0,0,0,0,0,0,0
199809,A13290809,0,0,0,0,0,0,0,0,0,0
199810,A13290809,0,0,0,0,0,0,0,0,0,0
199811,A13290809,0,0,0,0,0,0,0,0,0,0
199812,A13290809,0,0,0,0,0,0,0,0,0,0
199901,A13290809,0,0,0,0,0,0,0,0,0,0
199902,A13290809,0,0,0,0,0,0,0,0,0,0
199903,A13290809,0,0,0,0,0,0,0,0,0,0
199904,A13290809,0,0,0,0,0,0,0,0,0,0
199905,A13290809,0,0,0,0,0,0,0,0,0,0
199906,A13290809,0,0,0,0,0,0,0,0,0,0
199907,A13290809,0,0,0,0,0,0,0,0,0,0
199908,A13290809,0,0,0,0,0,0,0,0,0,0
