requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201112,A13375906,0,0,0,0,0,0,0,0,0,0
201201,A13375906,0,0,0,0,0,0,0,0,0,0
201202,A13375906,0,0,0,0,0,0,0,0,0,0
201203,A13375906,0,0,0,0,0,0,0,0,0,0
201204,A13375906,0,0,0,0,0,0,7413580,0,2855480,0
201205,A13375906,0,0,0,0,0,0,9460000,0,1966540,0
201206,A13375906,0,0,0,0,0,0,12086740,0,4551710,0
201207,A13375906,0,0,0,0,0,0,15847290,0,3498990,0
201208,A13375906,0,0,0,0,0,0,27306570,0,4185800,0
201209,A13375906,0,0,0,0,0,0,24151880,0,3585270,0
201210,A13375906,0,0,0,0,0,0,15727670,0,3873560,0
201211,A13375906,0,0,0,0,0,0,18142650,0,3639810,0
201212,A13375906,0,0,0,0,0,0,19103160,0,3680550,0
201301,A13375906,0,0,0,0,0,0,21552140,0,3681090,0
201302,A13375906,0,0,0,0,0,0,21764610,0,3830210,0
201303,A13375906,0,0,0,0,0,0,17861320,0,3515390,0
201304,A13375906,0,0,0,0,0,0,21138920,0,4661730,0
201305,A13375906,0,0,0,0,0,0,18383310,0,3816650,0
201306,A13375906,0,0,0,0,0,0,18443960,0,4732410,0
201307,A13375906,0,0,0,0,0,0,20687970,0,4195950,0
201308,A13375906,0,0,0,0,0,0,28729830,0,4826470,0
201309,A13375906,0,0,0,0,0,0,35121490,0,4412050,0
201310,A13375906,0,0,0,0,0,0,17808330,0,4711800,0
201311,A13375906,0,0,0,0,0,0,18091140,0,5330530,0
201312,A13375906,0,0,0,0,0,0,18780820,0,4671410,0
201401,A13375906,0,0,0,0,0,0,22127210,99132,5262880,5332
201402,A13375906,0,0,0,0,0,0,21765860,97881,5396290,5192
201403,A13375906,0,0,0,0,0,0,16757480,86287,4959500,4806
201404,A13375906,0,0,0,0,0,0,18349930,91598,5642760,5283
201405,A13375906,0,0,0,0,0,0,16818320,85976,5392190,5081
201406,A13375906,0,0,0,0,0,0,18078160,90221,5111460,5506
201407,A13375906,0,0,0,0,0,0,18716310,94401,5452360,5373
201408,A13375906,0,0,0,0,0,0,28500980,118350,5938730,5534
201409,A13375906,0,0,0,0,0,0,21265190,98541,5664870,5464
201410,A13375906,0,0,0,0,0,0,17405130,86424,4888080,5139
201411,A13375906,0,0,0,0,0,0,18150840,88431,5590370,5342
201412,A13375906,0,0,0,0,0,0,18369490,90679,5061190,5105
201501,A13375906,0,0,0,0,0,0,21728320,97569,5300590,5207
201502,A13375906,0,0,0,0,0,0,20040480,95487,5104460,5111
201503,A13375906,0,0,0,0,0,0,16935010,85622,4948400,4865
201504,A13375906,0,0,0,0,0,0,19019050,92529,5801760,5337
201505,A13375906,0,0,0,0,0,0,17144190,86666,5467000,5199
201506,A13375906,0,0,0,0,0,0,17905530,89160,6022690,5644
201507,A13375906,0,0,0,0,0,0,18457910,92074,5773510,5376
201508,A13375906,0,0,0,0,0,0,29689420,126377,6554320,5452
201509,A13375906,0,0,0,0,0,0,27768170,119540,5862660,5521
201510,A13375906,0,0,0,0,0,0,15485810,88266,5627030,5377
201511,A13375906,0,0,0,0,0,0,18762220,91461,5155860,5440
201512,A13375906,0,0,0,0,0,0,19464180,93588,4231190,5138
201601,A13375906,0,0,0,0,0,0,22143820,97249,4492700,5286
201602,A13375906,0,0,0,0,0,0,22488110,97531,4598550,5138
201603,A13375906,0,0,0,0,0,0,18327070,88421,4263680,5006
201604,A13375906,0,0,0,0,0,0,19138040,91057,4975470,5449
201605,A13375906,0,0,0,0,0,0,17804820,88032,4666680,5228
201606,A13375906,0,0,0,0,0,0,18934260,91504,5361300,5735
201607,A13375906,0,0,0,0,0,0,21900120,99978,4943790,5405
201608,A13375906,0,0,0,0,0,0,45264650,145095,5150100,5684
201609,A13375906,0,0,0,0,0,0,31204180,149080,4962280,5538
201610,A13375906,0,0,0,0,0,0,12949570,90457,4638590,5285
201611,A13375906,0,0,0,0,0,0,20942800,90399,4963770,5543
201612,A13375906,0,0,0,0,0,0,17701380,91018,4735690,5275
201701,A13375906,0,0,0,0,0,0,17848660,96074,4899650,5292
201702,A13375906,0,0,0,0,0,0,18741430,95200,4658870,5307
201703,A13375906,0,0,0,0,0,0,3645660,0,0,0
201704,A13375906,0,0,0,0,0,0,16176770,91654,4615680,5544
201705,A13375906,0,0,0,0,0,0,14761080,90130,4924880,5467
201706,A13375906,0,0,0,0,0,0,15810040,0,5652670,0
201707,A13375906,0,0,0,0,0,0,20326280,0,4935190,0
201708,A13375906,0,0,0,0,0,0,32482640,0,4927550,0
201709,A13375906,0,0,0,0,0,0,22760530,0,5136610,0
201710,A13375906,0,0,0,0,0,0,14887830,86332,5236710,5232
201711,A13375906,0,0,0,0,0,0,15450300,0,5144820,0
201712,A13375906,0,0,0,0,0,0,28857090,96680,9449700,5415
201801,A13375906,0,0,0,0,0,0,18925830,95998,4768100,5073
201802,A13375906,0,0,0,0,0,0,16749300,83439,5082420,4770
201803,A13375906,0,0,0,0,0,0,4152150,0,200000,0
201804,A13375906,0,0,0,0,0,0,15864060,89814,5061790,5360
201805,A13375906,0,0,0,0,0,0,14601920,84655,4907240,5063
201806,A13375906,0,0,0,0,0,0,15515080,89233,6188110,5737
201807,A13375906,0,0,0,0,0,0,19086160,98786,5018450,4964
201808,A13375906,0,0,0,0,0,0,39973670,129473,5091270,5400
