requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
199907,A13610001,0,0,0,0,0,0,0,0,0,0
199908,A13610001,0,0,0,0,0,0,0,0,0,0
199909,A13610001,0,0,0,0,0,0,0,0,0,0
199910,A13610001,0,0,0,0,0,0,0,0,0,0
199911,A13610001,0,0,0,0,0,0,0,0,0,0
199912,A13610001,0,0,0,0,0,0,0,0,0,0
200001,A13610001,0,0,0,0,0,0,0,0,0,0
200002,A13610001,0,0,0,0,0,0,0,0,0,0
200003,A13610001,0,0,0,0,0,0,0,0,0,0
200004,A13610001,0,0,0,0,0,0,0,0,0,0
200005,A13610001,0,0,0,0,0,0,0,0,0,0
200006,A13610001,0,0,0,0,0,0,0,0,0,0
200007,A13610001,0,0,0,0,0,0,0,0,0,0
200008,A13610001,0,0,0,0,0,0,0,0,0,0
200009,A13610001,0,0,0,0,0,0,0,0,0,0
200010,A13610001,0,0,0,0,0,0,0,0,0,0
200011,A13610001,0,0,0,0,0,0,0,0,0,0
200012,A13610001,0,0,0,0,0,0,0,0,0,0
200101,A13610001,0,0,0,0,0,0,0,0,0,0
200102,A13610001,0,0,0,0,0,0,0,0,0,0
200103,A13610001,0,0,0,0,0,0,0,0,0,0
200104,A13610001,0,0,0,0,0,0,0,0,0,0
200105,A13610001,0,0,0,0,0,0,0,0,0,0
200106,A13610001,0,0,0,0,0,0,0,0,0,0
200107,A13610001,0,0,0,0,0,0,0,0,0,0
200108,A13610001,0,0,0,0,0,0,0,0,0,0
200109,A13610001,0,0,0,0,0,0,0,0,0,0
200110,A13610001,0,0,0,0,0,0,0,0,0,0
200111,A13610001,0,0,0,0,0,0,0,0,0,0
200112,A13610001,0,0,0,0,0,0,0,0,0,0
200201,A13610001,0,0,0,0,0,0,0,0,0,0
200202,A13610001,0,0,0,0,0,0,0,0,0,0
200203,A13610001,0,0,0,0,0,0,0,0,0,0
200204,A13610001,0,0,0,0,0,0,0,0,0,0
200205,A13610001,0,0,0,0,0,0,0,0,0,0
200206,A13610001,0,0,0,0,0,0,0,0,0,0
200207,A13610001,0,0,0,0,0,0,0,0,0,0
200208,A13610001,0,0,0,0,0,0,0,0,0,0
200209,A13610001,0,0,0,0,0,0,0,0,0,0
200210,A13610001,0,0,0,0,0,0,0,0,0,0
200211,A13610001,0,0,0,0,0,0,0,0,0,0
200212,A13610001,0,0,0,0,0,0,0,0,0,0
200301,A13610001,0,0,0,0,0,0,0,0,0,0
200302,A13610001,0,0,0,0,0,0,0,0,0,0
200303,A13610001,0,0,0,0,0,0,0,0,0,0
200304,A13610001,0,0,0,0,0,0,0,0,0,0
200305,A13610001,0,0,0,0,0,0,0,0,0,0
200306,A13610001,0,0,0,0,0,0,0,0,0,0
200307,A13610001,0,0,0,0,0,0,0,0,0,0
200308,A13610001,0,0,0,0,0,0,0,0,0,0
200309,A13610001,0,0,0,0,0,0,0,0,0,0
200310,A13610001,0,0,0,0,0,0,0,0,0,0
200311,A13610001,0,0,0,0,0,0,0,0,0,0
200312,A13610001,0,0,0,0,0,0,0,0,0,0
200401,A13610001,0,0,0,0,0,0,0,0,0,0
200402,A13610001,0,0,0,0,0,0,0,0,0,0
200403,A13610001,0,0,0,0,0,0,0,0,0,0
200404,A13610001,0,0,0,0,0,0,0,0,0,0
200405,A13610001,0,0,0,0,0,0,0,0,0,0
200406,A13610001,0,0,0,0,0,0,0,0,0,0
200407,A13610001,0,0,0,0,0,0,0,0,0,0
200408,A13610001,0,0,0,0,0,0,0,0,0,0
200409,A13610001,0,0,0,0,0,0,0,0,0,0
200410,A13610001,0,0,0,0,0,0,0,0,0,0
200411,A13610001,0,0,0,0,0,0,0,0,0,0
200412,A13610001,0,0,0,0,0,0,0,0,0,0
200501,A13610001,0,0,0,0,0,0,0,0,0,0
200502,A13610001,0,0,0,0,0,0,0,0,0,0
200503,A13610001,0,0,0,0,0,0,0,0,0,0
200504,A13610001,0,0,0,0,0,0,0,0,0,0
200505,A13610001,0,0,0,0,0,0,0,0,0,0
200506,A13610001,0,0,0,0,0,0,0,0,0,0
200507,A13610001,0,0,0,0,0,0,0,0,0,0
200508,A13610001,0,0,0,0,0,0,0,0,0,0
200509,A13610001,0,0,0,0,0,0,0,0,0,0
200510,A13610001,0,0,0,0,0,0,0,0,0,0
200511,A13610001,0,0,0,0,0,0,0,0,0,0
200512,A13610001,0,0,0,0,0,0,0,0,0,0
200601,A13610001,0,0,0,0,0,0,0,0,0,0
200602,A13610001,0,0,0,0,0,0,0,0,0,0
200603,A13610001,0,0,0,0,0,0,0,0,0,0
200604,A13610001,0,0,0,0,0,0,0,0,0,0
200605,A13610001,0,0,0,0,0,0,0,0,0,0
200606,A13610001,0,0,0,0,0,0,0,0,0,0
200607,A13610001,0,0,0,0,0,0,0,0,0,0
200608,A13610001,0,0,0,0,0,0,0,0,0,0
200609,A13610001,0,0,0,0,0,0,0,0,0,0
200610,A13610001,0,0,0,0,0,0,0,0,0,0
200611,A13610001,0,0,0,0,0,0,0,0,0,0
200612,A13610001,0,0,0,0,0,0,0,0,0,0
200701,A13610001,0,0,0,0,0,0,0,0,0,0
200702,A13610001,0,0,0,0,0,0,0,0,0,0
200703,A13610001,0,0,0,0,0,0,0,0,0,0
200704,A13610001,0,0,0,0,0,0,0,0,0,0
200705,A13610001,0,0,0,0,0,0,0,0,0,0
200706,A13610001,0,0,0,0,0,0,0,0,0,0
200707,A13610001,0,0,0,0,0,0,0,0,0,0
200708,A13610001,0,0,0,0,0,0,0,0,0,0
200709,A13610001,0,0,0,0,0,0,0,0,0,0
200710,A13610001,0,0,0,0,0,0,0,0,0,0
200711,A13610001,0,0,0,0,0,0,0,0,0,0
200712,A13610001,0,0,0,0,0,0,0,0,0,0
200801,A13610001,0,0,0,0,0,0,0,0,0,0
200802,A13610001,0,0,0,0,0,0,0,0,0,0
200803,A13610001,0,0,0,0,0,0,0,0,0,0
200804,A13610001,0,0,0,0,0,0,0,0,0,0
200805,A13610001,0,0,0,0,0,0,0,0,0,0
200806,A13610001,0,0,0,0,0,0,0,0,0,0
200807,A13610001,0,0,0,0,0,0,0,0,0,0
200808,A13610001,0,0,0,0,0,0,0,0,0,0
200809,A13610001,0,0,0,0,0,0,0,0,0,0
200810,A13610001,0,0,0,0,0,0,0,0,0,0
200811,A13610001,0,0,0,0,0,0,0,0,0,0
200812,A13610001,0,0,0,0,0,0,0,0,0,0
200901,A13610001,0,0,0,0,0,0,0,0,0,0
200902,A13610001,0,0,0,0,0,0,0,0,0,0
200903,A13610001,0,0,0,0,0,0,0,0,0,0
200904,A13610001,0,0,0,0,0,0,0,0,0,0
200905,A13610001,0,0,0,0,0,0,0,0,0,0
200906,A13610001,0,0,0,0,0,0,0,0,0,0
200907,A13610001,0,0,0,0,0,0,0,0,0,0
200908,A13610001,0,0,0,0,0,0,0,0,0,0
200909,A13610001,0,0,0,0,0,0,0,0,0,0
200910,A13610001,0,0,0,0,0,0,0,0,0,0
200911,A13610001,0,0,0,0,0,0,0,0,0,0
200912,A13610001,0,0,0,0,0,0,0,0,0,0
201001,A13610001,0,0,0,0,0,0,0,0,0,0
201002,A13610001,0,0,0,0,0,0,10890420,0,0,0
201003,A13610001,0,0,0,0,0,0,0,0,0,0
201004,A13610001,0,0,0,0,0,0,0,0,0,0
201005,A13610001,0,0,0,0,0,0,0,0,0,0
201006,A13610001,0,0,0,0,0,0,9201010,0,0,0
201007,A13610001,0,0,0,0,0,0,0,0,0,0
201008,A13610001,0,0,0,0,0,0,12594050,0,126913720,0
201009,A13610001,0,0,0,0,0,0,8427360,0,5222530,0
201010,A13610001,0,0,0,0,0,0,9140760,0,0,0
201011,A13610001,0,0,0,0,0,0,9613520,0,4695690,0
201012,A13610001,0,0,0,0,0,0,11909900,0,0,0
201101,A13610001,0,0,0,0,0,0,12871990,0,4827340,0
201102,A13610001,0,0,0,0,0,0,10525510,0,0,0
201103,A13610001,0,0,0,0,0,0,11824070,0,5557300,0
201104,A13610001,0,0,0,0,0,0,9808470,0,0,0
201105,A13610001,0,0,0,0,0,0,8983970,0,4869340,0
201106,A13610001,0,0,0,0,0,0,8792370,0,0,0
201107,A13610001,0,0,0,0,0,0,2650390,0,5073200,0
201108,A13610001,0,0,0,0,0,0,12068140,0,0,0
201109,A13610001,0,0,0,0,0,0,8460940,0,5251540,0
201110,A13610001,0,0,0,0,0,0,9290500,0,0,0
201111,A13610001,0,0,0,0,0,0,9947730,0,4971270,0
201112,A13610001,0,0,0,0,0,0,13008870,0,0,0
201201,A13610001,0,0,0,0,0,0,16916760,0,4640030,0
201202,A13610001,0,0,0,0,0,0,12030190,0,0,0
201203,A13610001,0,0,0,0,0,0,11457250,0,5851990,0
201204,A13610001,0,0,0,0,0,0,9879170,0,0,0
201205,A13610001,0,0,0,0,0,0,8591760,0,5822600,0
201206,A13610001,0,0,0,0,0,0,9540120,0,0,0
201207,A13610001,0,0,0,0,0,0,12117630,0,6292990,0
201208,A13610001,0,0,0,0,0,0,14531200,0,0,0
201209,A13610001,0,0,0,0,0,0,9631940,0,6057790,0
201210,A13610001,0,0,0,0,0,0,10387620,0,0,0
201211,A13610001,0,0,0,0,0,0,10387620,0,0,0
201212,A13610001,0,0,0,0,0,0,14220610,0,0,0
201301,A13610001,0,0,0,0,0,0,14358330,0,6145990,0
201302,A13610001,0,0,0,0,0,0,11964890,0,0,0
