requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200806,A13613003,0,0,0,0,0,0,0,0,0,0
200807,A13613003,0,0,0,0,0,0,0,0,0,0
200808,A13613003,0,0,0,0,0,0,0,0,0,0
200809,A13613003,0,0,0,0,0,0,0,0,0,0
200810,A13613003,0,0,0,0,0,0,0,0,0,0
200811,A13613003,0,0,0,0,0,0,0,0,0,0
200812,A13613003,0,0,0,0,0,0,0,0,0,0
200901,A13613003,0,0,0,0,0,0,0,0,0,0
200902,A13613003,0,0,0,0,0,0,0,0,0,0
200903,A13613003,0,0,0,0,0,0,0,0,0,0
200904,A13613003,0,0,0,0,0,0,0,0,0,0
200905,A13613003,0,0,0,0,0,0,0,0,0,0
200906,A13613003,0,0,0,0,0,0,0,0,0,0
200907,A13613003,0,0,0,0,0,0,0,0,0,0
200908,A13613003,0,0,0,0,0,0,0,0,0,0
200909,A13613003,0,0,0,0,0,0,0,0,0,0
200910,A13613003,0,0,0,0,0,0,0,0,0,0
200911,A13613003,0,0,0,0,0,0,0,0,0,0
200912,A13613003,0,0,0,0,0,0,0,0,0,0
201001,A13613003,0,0,0,0,0,0,0,0,0,0
201002,A13613003,0,0,0,0,0,0,0,0,0,0
201003,A13613003,0,0,0,0,0,0,0,0,0,0
201004,A13613003,0,0,0,0,0,0,0,0,0,0
201005,A13613003,0,0,0,0,0,0,0,0,0,0
201006,A13613003,0,0,0,0,0,0,0,0,0,0
201007,A13613003,0,0,0,0,0,0,0,0,0,0
201008,A13613003,0,0,0,0,0,0,0,0,0,0
201009,A13613003,0,0,0,0,3410,0,10130540,0,2815340,0
201010,A13613003,0,0,0,0,0,0,7959870,0,2672480,0
201011,A13613003,0,0,0,0,3680,0,9029030,0,2557290,0
201012,A13613003,0,0,0,0,0,0,9029290,0,2486970,0
201101,A13613003,0,0,0,0,0,0,10329660,0,2614900,0
201102,A13613003,0,0,0,0,0,0,9936310,0,2311830,0
201103,A13613003,0,0,0,0,0,0,7962290,0,2281400,0
201104,A13613003,0,0,0,0,0,0,8686270,0,2468430,0
201105,A13613003,0,0,0,0,0,0,8359880,0,2506240,0
201106,A13613003,0,0,0,0,0,0,8590920,0,2745590,0
201107,A13613003,0,0,0,0,0,0,8959660,0,2645050,0
201108,A13613003,0,0,0,0,0,0,10182400,0,2842830,0
201109,A13613003,0,0,0,0,0,0,9379160,0,2774190,0
201110,A13613003,0,0,0,0,0,0,8232690,0,2618800,0
201111,A13613003,0,0,0,0,0,0,8830180,0,2636370,0
201112,A13613003,0,0,0,0,0,0,8855670,0,2553270,0
201201,A13613003,0,0,0,0,0,0,9787960,0,2536960,0
201202,A13613003,0,0,0,0,0,0,10045580,0,2596950,0
201203,A13613003,0,0,0,0,0,0,8619320,0,2505300,0
201204,A13613003,0,0,0,0,0,0,8932160,0,2712420,0
201205,A13613003,0,0,0,0,0,0,8176150,0,2801490,0
201206,A13613003,0,0,0,0,0,0,8651090,0,2907760,0
201207,A13613003,0,0,0,0,0,0,8904350,0,3190260,0
201208,A13613003,0,0,0,0,0,0,12548430,0,2988210,0
201209,A13613003,0,0,0,0,0,0,9396430,0,2905650,0
201210,A13613003,0,0,0,0,0,0,7695630,0,2950780,0
201211,A13613003,0,0,0,0,0,0,8846740,0,2907580,0
201212,A13613003,0,0,0,0,0,0,9161400,0,2886000,0
201301,A13613003,0,0,0,0,0,0,9989030,0,2932690,0
201302,A13613003,0,0,0,0,0,0,10203900,0,2907580,0
201303,A13613003,0,0,0,0,0,0,8301870,0,3096020,0
201304,A13613003,0,0,0,0,0,0,9125250,0,2988180,0
201305,A13613003,0,0,0,0,0,0,7868350,0,3052250,0
201306,A13613003,0,0,0,0,0,0,8259010,0,3176670,0
201307,A13613003,0,0,0,0,3660,0,7963500,0,3318800,0
201308,A13613003,0,0,0,0,2740,0,10308180,0,3402130,0
