requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201408,A13922003,0,0,0,0,0,0,0,0,0,0
201409,A13922003,0,0,0,0,0,0,1567170,15635,1337400,1258
201410,A13922003,0,0,0,0,0,0,14369840,135486,3711290,4241
201411,A13922003,0,0,0,0,0,0,19708050,117314,4125880,4745
201412,A13922003,0,0,0,0,0,0,23152340,129046,4508370,5122
201501,A13922003,0,0,0,0,0,0,25460230,136484,4471320,5176
201502,A13922003,0,0,0,0,0,0,24871320,135432,4219490,4816
201503,A13922003,0,0,0,0,0,0,18150360,115949,4730090,5380
201504,A13922003,0,0,0,0,0,0,19834000,124441,4619600,5256
201505,A13922003,0,0,0,0,0,0,17949700,116659,4945280,5605
201506,A13922003,0,0,0,0,0,0,21435790,124401,5105760,6071
201507,A13922003,0,0,0,0,0,0,21516650,125788,5104190,5915
201508,A13922003,0,0,0,0,0,0,31157600,146388,5151170,5979
201509,A13922003,0,0,0,0,0,0,18322130,118855,4704880,5460
201510,A13922003,0,0,0,0,0,0,17915650,114878,5127690,5961
201511,A13922003,0,0,0,0,0,0,21438020,124303,5433040,6333
201512,A13922003,0,0,0,0,0,0,23004500,130419,4070680,4675
201601,A13922003,0,0,0,0,0,0,25460300,140933,4743560,5493
201602,A13922003,0,0,0,0,0,0,25447730,140264,4555640,5274
201603,A13922003,0,0,0,0,0,0,19710600,123342,4884500,5680
201604,A13922003,0,0,0,0,0,0,19739580,122918,4814020,5577
201605,A13922003,0,0,0,0,0,0,18154280,116943,5072400,5900
201606,A13922003,0,0,0,0,0,0,21800220,124873,5119390,5969
201607,A13922003,0,0,0,0,0,0,26955490,136116,5307290,6185
201608,A13922003,0,0,0,0,0,0,43922290,184776,5213340,6078
201609,A13922003,0,0,0,0,0,0,17390720,122911,4931470,5741
201610,A13922003,0,0,0,0,0,0,17972120,115804,5072400,5902
201611,A13922003,0,0,0,0,0,0,21777180,127563,4954960,5747
201612,A13922003,0,0,0,0,0,0,21394430,133665,5057280,5862
201701,A13922003,0,0,0,0,0,0,22790870,144601,5193230,5850
201702,A13922003,0,0,0,0,0,0,22743630,146656,4633010,5201
201703,A13922003,0,0,0,0,0,0,16474660,117883,5191870,5838
201704,A13922003,0,0,0,0,0,0,17751510,123822,5010520,5639
201705,A13922003,0,0,0,0,0,0,16395570,116276,5134690,5786
201706,A13922003,0,0,0,0,0,0,18965480,123291,5344790,6044
201707,A13922003,0,0,0,0,0,0,27505740,152310,5344790,6055
201708,A13922003,0,0,0,0,0,0,28994140,160508,5587780,6329
201709,A13922003,0,0,0,0,0,0,18196500,124523,5296190,5982
201710,A13922003,0,0,0,0,0,0,16882880,120231,5369090,6079
201711,A13922003,0,0,0,0,0,0,20652530,136233,5126110,5786
201712,A13922003,0,0,0,0,0,0,23204310,151401,5176540,5845
201801,A13922003,0,0,0,0,0,0,24744070,158382,5197110,5670
201802,A13922003,0,0,0,0,0,0,25445180,162853,4870220,5295
201803,A13922003,0,0,0,0,0,0,17208040,121921,5373100,5879
201804,A13922003,0,0,0,0,0,0,18479810,92306,5297680,5693
201805,A13922003,0,0,0,0,0,0,17176190,88149,5498820,5934
201806,A13922003,0,0,0,0,0,0,20084160,93775,5549120,5953
201807,A13922003,0,0,0,0,0,0,29086550,122477,5910010,6212
201808,A13922003,0,0,0,0,0,0,37027080,179045,5884860,6059
201809,A13922003,0,0,0,0,0,0,19818050,95469,5482560,5970
201810,A13922003,0,0,0,0,0,0,17293330,86986,5432280,5932
201811,A13922003,0,0,0,0,0,0,20411280,94533,5281420,5715
201812,A13922003,0,0,0,0,0,0,21459610,96501,5090150,5508
201901,A13922003,0,0,0,0,0,0,24019650,103450,5640790,5885
201902,A13922003,0,0,0,0,0,0,23112570,101953,5194190,5407
201903,A13922003,0,0,0,0,0,0,17274520,87338,5912790,6140
201904,A13922003,0,0,0,0,0,0,19068950,93930,5518730,5707
201905,A13922003,0,0,0,0,0,0,17290130,87730,5939060,6097
201906,A13922003,0,0,0,0,0,0,20060570,91805,5755170,5865
201907,A13922003,0,0,0,0,0,0,21412170,105382,6096690,6186
201908,A13922003,0,0,0,0,0,0,33318910,148359,6017880,6127
201909,A13922003,0,0,0,0,0,0,20536220,100639,5781440,5951
201910,A13922003,0,0,0,0,0,0,17567830,88937,5833980,5945
201911,A13922003,0,0,0,0,0,0,20778910,95810,5781440,5841
201912,A13922003,0,0,0,0,0,0,21913090,97815,5671340,5874
202001,A13922003,0,0,0,0,0,0,23987950,103880,5776330,5896
202002,A13922003,0,0,0,0,0,0,23795420,103690,5408870,5605
202003,A13922003,0,0,0,0,0,0,20405350,97878,6091300,6270
202004,A13922003,0,0,0,0,0,0,20791280,99799,5907560,6143
202005,A13922003,0,0,0,0,0,0,19308840,94829,6326980,6620
202006,A13922003,0,0,0,0,0,0,23873070,106045,6117580,6381
202007,A13922003,0,0,0,0,0,0,21112960,103624,6196300,6454
202008,A13922003,0,0,0,0,0,0,29775300,134501,6065070,6348
