requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
198806,A13982702,0,0,0,0,0,0,0,0,0,0
198807,A13982702,0,0,0,0,0,0,0,0,0,0
198808,A13982702,0,0,0,0,0,0,0,0,0,0
198809,A13982702,0,0,0,0,0,0,0,0,0,0
198810,A13982702,0,0,0,0,0,0,0,0,0,0
198811,A13982702,0,0,0,0,0,0,0,0,0,0
198812,A13982702,0,0,0,0,0,0,0,0,0,0
198901,A13982702,0,0,0,0,0,0,0,0,0,0
198902,A13982702,0,0,0,0,0,0,0,0,0,0
198903,A13982702,0,0,0,0,0,0,0,0,0,0
198904,A13982702,0,0,0,0,0,0,0,0,0,0
198905,A13982702,0,0,0,0,0,0,0,0,0,0
198906,A13982702,0,0,0,0,0,0,0,0,0,0
198907,A13982702,0,0,0,0,0,0,0,0,0,0
198908,A13982702,0,0,0,0,0,0,0,0,0,0
198909,A13982702,0,0,0,0,0,0,0,0,0,0
198910,A13982702,0,0,0,0,0,0,0,0,0,0
198911,A13982702,0,0,0,0,0,0,0,0,0,0
198912,A13982702,0,0,0,0,0,0,0,0,0,0
199001,A13982702,0,0,0,0,0,0,0,0,0,0
199002,A13982702,0,0,0,0,0,0,0,0,0,0
199003,A13982702,0,0,0,0,0,0,0,0,0,0
199004,A13982702,0,0,0,0,0,0,0,0,0,0
199005,A13982702,0,0,0,0,0,0,0,0,0,0
199006,A13982702,0,0,0,0,0,0,0,0,0,0
199007,A13982702,0,0,0,0,0,0,0,0,0,0
199008,A13982702,0,0,0,0,0,0,0,0,0,0
199009,A13982702,0,0,0,0,0,0,0,0,0,0
199010,A13982702,0,0,0,0,0,0,0,0,0,0
199011,A13982702,0,0,0,0,0,0,0,0,0,0
199012,A13982702,0,0,0,0,0,0,0,0,0,0
199101,A13982702,0,0,0,0,0,0,0,0,0,0
199102,A13982702,0,0,0,0,0,0,0,0,0,0
199103,A13982702,0,0,0,0,0,0,0,0,0,0
199104,A13982702,0,0,0,0,0,0,0,0,0,0
199105,A13982702,0,0,0,0,0,0,0,0,0,0
199106,A13982702,0,0,0,0,0,0,0,0,0,0
199107,A13982702,0,0,0,0,0,0,0,0,0,0
199108,A13982702,0,0,0,0,0,0,0,0,0,0
199109,A13982702,0,0,0,0,0,0,0,0,0,0
199110,A13982702,0,0,0,0,0,0,0,0,0,0
199111,A13982702,0,0,0,0,0,0,0,0,0,0
199112,A13982702,0,0,0,0,0,0,0,0,0,0
199201,A13982702,0,0,0,0,0,0,0,0,0,0
199202,A13982702,0,0,0,0,0,0,0,0,0,0
199203,A13982702,0,0,0,0,0,0,0,0,0,0
199204,A13982702,0,0,0,0,0,0,0,0,0,0
199205,A13982702,0,0,0,0,0,0,0,0,0,0
199206,A13982702,0,0,0,0,0,0,0,0,0,0
199207,A13982702,0,0,0,0,0,0,0,0,0,0
199208,A13982702,0,0,0,0,0,0,0,0,0,0
199209,A13982702,0,0,0,0,0,0,0,0,0,0
199210,A13982702,0,0,0,0,0,0,0,0,0,0
199211,A13982702,0,0,0,0,0,0,0,0,0,0
199212,A13982702,0,0,0,0,0,0,0,0,0,0
199301,A13982702,0,0,0,0,0,0,0,0,0,0
199302,A13982702,0,0,0,0,0,0,0,0,0,0
199303,A13982702,0,0,0,0,0,0,0,0,0,0
199304,A13982702,0,0,0,0,0,0,0,0,0,0
199305,A13982702,0,0,0,0,0,0,0,0,0,0
199306,A13982702,0,0,0,0,0,0,0,0,0,0
199307,A13982702,0,0,0,0,0,0,0,0,0,0
199308,A13982702,0,0,0,0,0,0,0,0,0,0
199309,A13982702,0,0,0,0,0,0,0,0,0,0
199310,A13982702,0,0,0,0,0,0,0,0,0,0
199311,A13982702,0,0,0,0,0,0,0,0,0,0
