requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200207,A13983803,0,0,0,0,0,0,0,0,0,0
200208,A13983803,0,0,0,0,0,0,0,0,0,0
200209,A13983803,0,0,0,0,0,0,0,0,0,0
200210,A13983803,0,0,0,0,0,0,0,0,0,0
200211,A13983803,0,0,0,0,0,0,0,0,0,0
200212,A13983803,0,0,0,0,0,0,0,0,0,0
200301,A13983803,0,0,0,0,0,0,0,0,0,0
200302,A13983803,0,0,0,0,0,0,0,0,0,0
200303,A13983803,0,0,0,0,0,0,0,0,0,0
200304,A13983803,0,0,0,0,0,0,0,0,0,0
200305,A13983803,0,0,0,0,0,0,0,0,0,0
200306,A13983803,0,0,0,0,0,0,0,0,0,0
200307,A13983803,0,0,0,0,0,0,0,0,0,0
200308,A13983803,0,0,0,0,0,0,0,0,0,0
200309,A13983803,0,0,0,0,0,0,0,0,0,0
200310,A13983803,0,0,0,0,0,0,0,0,0,0
200311,A13983803,0,0,0,0,0,0,0,0,0,0
200312,A13983803,0,0,0,0,0,0,0,0,0,0
200401,A13983803,0,0,0,0,0,0,0,0,0,0
200402,A13983803,0,0,0,0,0,0,0,0,0,0
200403,A13983803,0,0,0,0,0,0,0,0,0,0
200404,A13983803,0,0,0,0,0,0,0,0,0,0
200405,A13983803,0,0,0,0,0,0,0,0,0,0
200406,A13983803,0,0,0,0,0,0,0,0,0,0
200407,A13983803,0,0,0,0,0,0,0,0,0,0
200408,A13983803,0,0,0,0,0,0,0,0,0,0
200409,A13983803,0,0,0,0,0,0,0,0,0,0
200410,A13983803,0,0,0,0,0,0,0,0,0,0
200411,A13983803,0,0,0,0,0,0,0,0,0,0
200412,A13983803,0,0,0,0,0,0,0,0,0,0
200501,A13983803,0,0,0,0,0,0,0,0,0,0
200502,A13983803,0,0,0,0,0,0,0,0,0,0
200503,A13983803,0,0,0,0,0,0,0,0,0,0
200504,A13983803,0,0,0,0,0,0,0,0,0,0
200505,A13983803,0,0,0,0,0,0,0,0,0,0
200506,A13983803,0,0,0,0,0,0,0,0,0,0
200507,A13983803,0,0,0,0,0,0,0,0,0,0
200508,A13983803,0,0,0,0,0,0,0,0,0,0
200509,A13983803,0,0,0,0,0,0,0,0,0,0
200510,A13983803,0,0,0,0,0,0,0,0,0,0
200511,A13983803,0,0,0,0,0,0,0,0,0,0
200512,A13983803,0,0,0,0,0,0,0,0,0,0
200601,A13983803,0,0,0,0,0,0,0,0,0,0
200602,A13983803,0,0,0,0,0,0,0,0,0,0
200603,A13983803,0,0,0,0,0,0,0,0,0,0
200604,A13983803,0,0,0,0,0,0,0,0,0,0
200605,A13983803,0,0,0,0,0,0,0,0,0,0
200606,A13983803,0,0,0,0,0,0,0,0,0,0
200607,A13983803,0,0,0,0,0,0,0,0,0,0
200608,A13983803,0,0,0,0,0,0,0,0,0,0
200609,A13983803,0,0,0,0,0,0,0,0,0,0
200610,A13983803,0,0,0,0,0,0,0,0,0,0
200611,A13983803,0,0,0,0,0,0,0,0,0,0
200612,A13983803,0,0,0,0,0,0,0,0,0,0
200701,A13983803,0,0,0,0,0,0,0,0,0,0
200702,A13983803,0,0,0,0,0,0,0,0,0,0
200703,A13983803,0,0,0,0,0,0,0,0,0,0
200704,A13983803,0,0,0,0,0,0,0,0,0,0
200705,A13983803,0,0,0,0,0,0,0,0,0,0
200706,A13983803,0,0,0,0,0,0,0,0,0,0
200707,A13983803,0,0,0,0,0,0,0,0,0,0
200708,A13983803,0,0,0,0,0,0,0,0,0,0
200709,A13983803,0,0,0,0,0,0,0,0,0,0
200710,A13983803,0,0,0,0,0,0,0,0,0,0
