requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
199807,A13985106,0,0,0,0,0,0,0,0,0,0
199808,A13985106,0,0,0,0,0,0,0,0,0,0
199809,A13985106,0,0,0,0,0,0,0,0,0,0
199810,A13985106,0,0,0,0,0,0,0,0,0,0
199811,A13985106,0,0,0,0,0,0,0,0,0,0
199812,A13985106,0,0,0,0,0,0,0,0,0,0
199901,A13985106,0,0,0,0,0,0,0,0,0,0
199902,A13985106,0,0,0,0,0,0,0,0,0,0
199903,A13985106,0,0,0,0,0,0,0,0,0,0
199904,A13985106,0,0,0,0,0,0,0,0,0,0
199905,A13985106,0,0,0,0,0,0,0,0,0,0
199906,A13985106,0,0,0,0,0,0,0,0,0,0
199907,A13985106,0,0,0,0,0,0,0,0,0,0
199908,A13985106,0,0,0,0,0,0,0,0,0,0
199909,A13985106,0,0,0,0,0,0,0,0,0,0
199910,A13985106,0,0,0,0,0,0,0,0,0,0
199911,A13985106,0,0,0,0,0,0,0,0,0,0
199912,A13985106,0,0,0,0,0,0,0,0,0,0
200001,A13985106,0,0,0,0,0,0,0,0,0,0
200002,A13985106,0,0,0,0,0,0,0,0,0,0
200003,A13985106,0,0,0,0,0,0,0,0,0,0
200004,A13985106,0,0,0,0,0,0,0,0,0,0
200005,A13985106,0,0,0,0,0,0,0,0,0,0
200006,A13985106,0,0,0,0,0,0,0,0,0,0
200007,A13985106,0,0,0,0,0,0,0,0,0,0
200008,A13985106,0,0,0,0,0,0,0,0,0,0
200009,A13985106,0,0,0,0,0,0,0,0,0,0
200010,A13985106,0,0,0,0,0,0,0,0,0,0
200011,A13985106,0,0,0,0,0,0,0,0,0,0
200012,A13985106,0,0,0,0,0,0,0,0,0,0
200101,A13985106,0,0,0,0,0,0,0,0,0,0
200102,A13985106,0,0,0,0,0,0,0,0,0,0
200103,A13985106,0,0,0,0,0,0,0,0,0,0
200104,A13985106,0,0,0,0,0,0,0,0,0,0
200105,A13985106,0,0,0,0,0,0,0,0,0,0
200106,A13985106,0,0,0,0,0,0,0,0,0,0
200107,A13985106,0,0,0,0,0,0,0,0,0,0
200108,A13985106,0,0,0,0,0,0,0,0,0,0
200109,A13985106,0,0,0,0,0,0,0,0,0,0
200110,A13985106,0,0,0,0,0,0,0,0,0,0
200111,A13985106,0,0,0,0,0,0,0,0,0,0
200112,A13985106,0,0,0,0,0,0,0,0,0,0
200201,A13985106,0,0,0,0,0,0,0,0,0,0
200202,A13985106,0,0,0,0,0,0,0,0,0,0
200203,A13985106,0,0,0,0,0,0,0,0,0,0
200204,A13985106,0,0,0,0,0,0,0,0,0,0
200205,A13985106,0,0,0,0,0,0,0,0,0,0
200206,A13985106,0,0,0,0,0,0,0,0,0,0
200207,A13985106,0,0,0,0,0,0,0,0,0,0
200208,A13985106,0,0,0,0,0,0,0,0,0,0
200209,A13985106,0,0,0,0,0,0,0,0,0,0
200210,A13985106,0,0,0,0,0,0,0,0,0,0
200211,A13985106,0,0,0,0,0,0,0,0,0,0
200212,A13985106,0,0,0,0,0,0,0,0,0,0
200301,A13985106,0,0,0,0,0,0,0,0,0,0
200302,A13985106,0,0,0,0,0,0,0,0,0,0
200303,A13985106,0,0,0,0,0,0,0,0,0,0
200304,A13985106,0,0,0,0,0,0,0,0,0,0
200305,A13985106,0,0,0,0,0,0,0,0,0,0
200306,A13985106,0,0,0,0,0,0,0,0,0,0
200307,A13985106,0,0,0,0,0,0,0,0,0,0
200308,A13985106,0,0,0,0,0,0,0,0,0,0
200309,A13985106,0,0,0,0,0,0,0,0,0,0
200310,A13985106,0,0,0,0,0,0,0,0,0,0
200311,A13985106,0,0,0,0,0,0,0,0,0,0
200312,A13985106,0,0,0,0,0,0,0,0,0,0
200401,A13985106,0,0,0,0,0,0,0,0,0,0
200402,A13985106,0,0,0,0,0,0,0,0,0,0
200403,A13985106,0,0,0,0,0,0,0,0,0,0
200404,A13985106,0,0,0,0,0,0,0,0,0,0
200405,A13985106,0,0,0,0,0,0,0,0,0,0
200406,A13985106,0,0,0,0,0,0,0,0,0,0
200407,A13985106,0,0,0,0,0,0,0,0,0,0
200408,A13985106,0,0,0,0,0,0,0,0,0,0
200409,A13985106,0,0,0,0,0,0,0,0,0,0
200410,A13985106,0,0,0,0,0,0,0,0,0,0
200411,A13985106,0,0,0,0,0,0,0,0,0,0
200412,A13985106,0,0,0,0,0,0,0,0,0,0
200501,A13985106,0,0,0,0,0,0,0,0,0,0
200502,A13985106,0,0,0,0,0,0,0,0,0,0
200503,A13985106,0,0,0,0,0,0,0,0,0,0
200504,A13985106,0,0,0,0,0,0,0,0,0,0
200505,A13985106,0,0,0,0,0,0,0,0,0,0
200506,A13985106,0,0,0,0,0,0,0,0,0,0
200507,A13985106,0,0,0,0,0,0,0,0,0,0
200508,A13985106,0,0,0,0,0,0,0,0,0,0
200509,A13985106,0,0,0,0,0,0,0,0,0,0
200510,A13985106,0,0,0,0,0,0,0,0,0,0
200511,A13985106,0,0,0,0,0,0,0,0,0,0
200512,A13985106,0,0,0,0,0,0,0,0,0,0
200601,A13985106,0,0,0,0,0,0,0,0,0,0
200602,A13985106,0,0,0,0,0,0,0,0,0,0
200603,A13985106,0,0,0,0,0,0,0,0,0,0
200604,A13985106,0,0,0,0,0,0,0,0,0,0
200605,A13985106,0,0,0,0,0,0,0,0,0,0
200606,A13985106,0,0,0,0,0,0,0,0,0,0
200607,A13985106,0,0,0,0,0,0,0,0,0,0
200608,A13985106,0,0,0,0,0,0,0,0,0,0
200609,A13985106,0,0,0,0,0,0,0,0,0,0
200610,A13985106,0,0,0,0,0,0,0,0,0,0
200611,A13985106,0,0,0,0,0,0,0,0,0,0
200612,A13985106,0,0,0,0,0,0,0,0,0,0
200701,A13985106,0,0,0,0,0,0,0,0,0,0
200702,A13985106,0,0,0,0,0,0,0,0,0,0
200703,A13985106,0,0,0,0,0,0,0,0,0,0
200704,A13985106,0,0,0,0,0,0,0,0,0,0
200705,A13985106,0,0,0,0,0,0,0,0,0,0
200706,A13985106,0,0,0,0,0,0,0,0,0,0
200707,A13985106,0,0,0,0,0,0,0,0,0,0
200708,A13985106,0,0,0,0,0,0,0,0,0,0
200709,A13985106,0,0,0,0,0,0,0,0,0,0
200710,A13985106,0,0,0,0,0,0,0,0,0,0
200711,A13985106,0,0,0,0,0,0,0,0,0,0
200712,A13985106,0,0,0,0,0,0,0,0,0,0
200801,A13985106,0,0,0,0,0,0,0,0,0,0
200802,A13985106,0,0,0,0,0,0,0,0,0,0
200803,A13985106,0,0,0,0,0,0,0,0,0,0
200804,A13985106,0,0,0,0,0,0,0,0,0,0
200805,A13985106,0,0,0,0,0,0,0,0,0,0
200806,A13985106,0,0,0,0,0,0,0,0,0,0
200807,A13985106,0,0,0,0,0,0,0,0,0,0
200808,A13985106,0,0,0,0,0,0,0,0,0,0
200809,A13985106,0,0,0,0,0,0,0,0,0,0
200810,A13985106,0,0,0,0,0,0,0,0,0,0
200811,A13985106,0,0,0,0,0,0,0,0,0,0
200812,A13985106,0,0,0,0,0,0,0,0,0,0
200901,A13985106,0,0,0,0,0,0,0,0,0,0
200902,A13985106,0,0,0,0,0,0,0,0,0,0
200903,A13985106,0,0,0,0,0,0,0,0,0,0
200904,A13985106,0,0,0,0,0,0,0,0,0,0
200905,A13985106,0,0,0,0,0,0,0,0,0,0
200906,A13985106,0,0,0,0,0,0,0,0,0,0
200907,A13985106,0,0,0,0,0,0,0,0,0,0
200908,A13985106,0,0,0,0,0,0,0,0,0,0
200909,A13985106,0,0,0,0,0,0,0,0,0,0
200910,A13985106,0,0,0,0,0,0,0,0,0,0
200911,A13985106,0,0,0,0,0,0,0,0,0,0
200912,A13985106,0,0,0,0,0,0,0,0,0,0
201001,A13985106,0,0,0,0,0,0,0,0,0,0
201002,A13985106,0,0,0,0,0,0,0,0,0,0
201003,A13985106,0,0,0,0,0,0,0,0,0,0
201004,A13985106,0,0,0,0,0,0,0,0,0,0
201005,A13985106,0,0,0,0,0,0,0,0,0,0
201006,A13985106,0,0,0,0,0,0,0,0,0,0
201007,A13985106,0,0,0,0,0,0,0,0,0,0
201008,A13985106,0,0,0,0,0,0,0,0,0,0
201009,A13985106,4860570,0,6003000,0,0,0,2285040,0,8122750,0
201010,A13985106,19759740,0,11712000,0,0,0,3374710,0,8087320,0
201011,A13985106,0,0,0,0,0,0,0,0,0,0
201012,A13985106,9788860,0,17928000,0,0,0,4494080,0,1132450,0
201101,A13985106,80274970,0,20457000,0,0,0,5475820,0,6593210,0
201102,A13985106,49375400,0,16267500,0,0,0,5395820,0,6337750,0
201103,A13985106,44425780,0,15722100,0,0,0,0,0,6205260,0
201104,A13985106,23432960,0,14048470,0,0,0,3661690,0,6624620,0
201105,A13985106,11266130,0,12540060,0,0,0,3527720,0,6873370,0
201106,A13985106,5144940,0,9629430,0,0,0,3495380,0,7712700,0
201107,A13985106,2910500,0,8451960,0,0,0,5018970,0,8576310,0
201108,A13985106,1169400,0,7434130,0,0,0,4877160,0,8678320,0
201109,A13985106,5016700,0,7760580,0,0,0,3607270,0,7945380,0
201110,A13985106,16258410,0,11611200,0,0,0,4126580,0,7430210,0
201111,A13985106,25658480,0,12252160,0,0,0,4952250,0,7146480,0
201112,A13985106,54499060,0,15980940,0,0,0,7385990,0,5855240,0
201201,A13985106,61833630,0,17571620,0,0,0,7579080,0,6160920,0
201202,A13985106,57257570,0,15856500,0,0,0,6188880,0,5191710,0
201203,A13985106,42976740,0,15540250,0,0,0,4356420,0,6156260,0
201204,A13985106,22951890,0,14078960,0,0,0,3947740,0,6408760,0
201205,A13985106,8588730,0,10680000,0,0,0,3737240,0,6777980,0
201206,A13985106,3412660,0,8617620,0,0,0,3665050,0,4192220,0
201207,A13985106,2310890,0,7581300,0,0,0,4583850,0,9103160,0
201208,A13985106,1625750,0,5987080,0,0,0,4584860,0,8843620,0
201209,A13985106,7147390,0,7664140,0,0,0,3900050,0,7331270,0
201210,A13985106,16160640,0,10400600,0,0,0,4265490,0,7295580,0
201211,A13985106,38540690,0,12552540,0,0,0,5720790,0,6672430,0
201212,A13985106,72147830,0,15170820,0,0,0,7170270,0,5860930,0
201301,A13985106,76089380,0,15438800,0,0,0,7554600,0,5234050,0
201302,A13985106,58609240,0,14491300,0,0,0,6417640,0,5043680,0
201303,A13985106,46329860,0,15481800,0,0,0,4100820,0,5895150,0
201304,A13985106,31278410,0,13066300,0,0,0,3784170,0,6410940,0
201305,A13985106,14020300,0,10849100,0,0,0,3416150,0,7042220,0
201306,A13985106,3516920,0,8730800,0,0,0,3234910,0,8474660,0
201307,A13985106,3649180,0,7086300,0,0,0,4247000,0,8804100,0
201308,A13985106,925820,0,6285900,0,0,0,3549410,0,9808640,0
201309,A13985106,5326170,0,7864740,0,0,0,3289750,0,8501390,0
201310,A13985106,14757560,0,10088190,0,0,0,3817920,0,7863140,0
201311,A13985106,61405280,0,14395000,0,0,0,6532670,0,6223070,0
201312,A13985106,0,0,0,0,0,0,0,0,0,0
201401,A13985106,62877090,59514,16141500,387088,0,0,6348380,0,5698010,8389
201402,A13985106,52781290,55539,20920000,5440,0,0,6529990,0,5707830,7448
201403,A13985106,41245630,45510,12351330,5301,0,0,5307700,0,6163190,7730
