requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200304,A14003007,0,0,0,0,0,0,0,0,0,0
200305,A14003007,0,0,0,0,0,0,0,0,0,0
200306,A14003007,0,0,0,0,0,0,0,0,0,0
200307,A14003007,0,0,0,0,0,0,0,0,0,0
200308,A14003007,0,0,0,0,0,0,0,0,0,0
200309,A14003007,0,0,0,0,0,0,0,0,0,0
200310,A14003007,0,0,0,0,0,0,0,0,0,0
200311,A14003007,0,0,0,0,0,0,0,0,0,0
200312,A14003007,0,0,0,0,0,0,0,0,0,0
200401,A14003007,0,0,0,0,0,0,0,0,0,0
200402,A14003007,0,0,0,0,0,0,0,0,0,0
200403,A14003007,0,0,0,0,0,0,0,0,0,0
200404,A14003007,0,0,0,0,0,0,0,0,0,0
200405,A14003007,0,0,0,0,0,0,0,0,0,0
200406,A14003007,0,0,0,0,0,0,0,0,0,0
200407,A14003007,0,0,0,0,0,0,0,0,0,0
200408,A14003007,0,0,0,0,0,0,0,0,0,0
200409,A14003007,0,0,0,0,0,0,0,0,0,0
200410,A14003007,0,0,0,0,0,0,0,0,0,0
200411,A14003007,0,0,0,0,0,0,0,0,0,0
200412,A14003007,0,0,0,0,0,0,0,0,0,0
200501,A14003007,0,0,0,0,0,0,0,0,0,0
200502,A14003007,0,0,0,0,0,0,0,0,0,0
200503,A14003007,0,0,0,0,0,0,0,0,0,0
200504,A14003007,0,0,0,0,0,0,0,0,0,0
200505,A14003007,0,0,0,0,0,0,0,0,0,0
200506,A14003007,0,0,0,0,0,0,0,0,0,0
200507,A14003007,0,0,0,0,0,0,0,0,0,0
200508,A14003007,0,0,0,0,0,0,0,0,0,0
200509,A14003007,0,0,0,0,0,0,0,0,0,0
200510,A14003007,0,0,0,0,0,0,0,0,0,0
200511,A14003007,0,0,0,0,0,0,0,0,0,0
200512,A14003007,0,0,0,0,0,0,0,0,0,0
200601,A14003007,0,0,0,0,0,0,0,0,0,0
200602,A14003007,0,0,0,0,0,0,0,0,0,0
200603,A14003007,0,0,0,0,0,0,0,0,0,0
200604,A14003007,0,0,0,0,0,0,0,0,0,0
200605,A14003007,0,0,0,0,0,0,0,0,0,0
200606,A14003007,0,0,0,0,0,0,0,0,0,0
200607,A14003007,0,0,0,0,0,0,0,0,0,0
200608,A14003007,0,0,0,0,0,0,0,0,0,0
200609,A14003007,0,0,0,0,0,0,0,0,0,0
200610,A14003007,0,0,0,0,0,0,0,0,0,0
200611,A14003007,0,0,0,0,0,0,0,0,0,0
200612,A14003007,0,0,0,0,0,0,0,0,0,0
200701,A14003007,0,0,0,0,0,0,0,0,0,0
200702,A14003007,0,0,0,0,0,0,0,0,0,0
200703,A14003007,0,0,0,0,0,0,0,0,0,0
200704,A14003007,0,0,0,0,0,0,0,0,0,0
200705,A14003007,0,0,0,0,0,0,0,0,0,0
200706,A14003007,0,0,0,0,0,0,0,0,0,0
200707,A14003007,0,0,0,0,0,0,0,0,0,0
200708,A14003007,0,0,0,0,0,0,0,0,0,0
200709,A14003007,0,0,0,0,0,0,0,0,0,0
200710,A14003007,0,0,0,0,0,0,0,0,0,0
200711,A14003007,0,0,0,0,0,0,0,0,0,0
200712,A14003007,0,0,0,0,0,0,0,0,0,0
200801,A14003007,0,0,0,0,0,0,0,0,0,0
200802,A14003007,0,0,0,0,0,0,0,0,0,0
200803,A14003007,0,0,0,0,0,0,0,0,0,0
200804,A14003007,0,0,0,0,0,0,0,0,0,0
200805,A14003007,0,0,0,0,0,0,0,0,0,0
200806,A14003007,0,0,0,0,0,0,0,0,0,0
200807,A14003007,0,0,0,0,0,0,0,0,0,0
200808,A14003007,0,0,0,0,0,0,0,0,0,0
200809,A14003007,0,0,0,0,0,0,0,0,0,0
200810,A14003007,0,0,0,0,0,0,0,0,0,0
200811,A14003007,0,0,0,0,0,0,0,0,0,0
200812,A14003007,0,0,0,0,0,0,0,0,0,0
200901,A14003007,0,0,0,0,0,0,0,0,0,0
200902,A14003007,0,0,0,0,0,0,0,0,0,0
200903,A14003007,0,0,0,0,0,0,0,0,0,0
200904,A14003007,0,0,0,0,0,0,0,0,0,0
200905,A14003007,0,0,0,0,0,0,0,0,0,0
200906,A14003007,0,0,0,0,0,0,0,0,0,0
200907,A14003007,0,0,0,0,0,0,0,0,0,0
200908,A14003007,0,0,0,0,0,0,0,0,0,0
200909,A14003007,0,0,0,0,0,0,0,0,0,0
200910,A14003007,0,0,0,0,0,0,0,0,0,0
200911,A14003007,0,0,0,0,0,0,0,0,0,0
200912,A14003007,0,0,0,0,0,0,0,0,0,0
201001,A14003007,0,0,0,0,0,0,0,0,0,0
201002,A14003007,91952720,0,22027200,0,0,0,148547482,0,10854350,0
201003,A14003007,83894730,0,23743200,0,0,0,112367075,0,12460860,0
201004,A14003007,53076130,0,21297900,0,0,0,137660585,0,11858820,0
201005,A14003007,23144130,0,19055400,0,0,0,121958901,0,12558600,0
201006,A14003007,10382710,0,14597700,0,0,0,114053122,0,12482770,0
201007,A14003007,7910720,0,11399700,0,0,0,232728020,0,12542830,0
201008,A14003007,7459290,0,10159500,0,0,0,311037569,0,12486010,0
201009,A14003007,23554010,0,15678000,0,0,0,116570001,0,11703620,0
201010,A14003007,23554010,0,15678000,0,0,0,116570001,0,1170360,0
201011,A14003007,57970060,0,19667700,0,0,0,134050915,0,0,0
201012,A14003007,106970610,0,23271300,0,0,0,136707217,0,12271640,0
201101,A14003007,128820260,0,24862500,0,0,0,142645899,0,12265710,0
201102,A14003007,84035870,0,21290100,0,0,0,134419164,0,10697500,0
201103,A14003007,74151360,0,23450700,0,0,0,104831568,0,12507870,0
201104,A14003007,40297520,0,20607600,0,0,0,123623007,0,11856470,0
201105,A14003007,19126160,0,18462600,0,0,0,121610266,0,12518240,0
201106,A14003007,8996420,0,14734200,0,0,0,155494259,0,12165660,0
201107,A14003007,8071990,0,13221000,0,0,0,183394378,0,12650380,0
201108,A14003007,7484570,0,11961300,0,0,0,247207026,0,12667180,0
201109,A14003007,9384770,0,12136800,0,0,0,202270169,0,12107930,0
201110,A14003007,26212200,0,16337100,0,0,0,118026943,0,12301260,0
201111,A14003007,45916230,0,17955600,0,0,0,129373035,0,11983880,0
201112,A14003007,98273450,0,28560000,0,0,0,132027910,0,11076120,0
201201,A14003007,116679440,0,30640000,0,0,0,130610334,0,11074580,0
201202,A14003007,105231640,0,28820000,0,0,0,132479912,0,10381710,0
201203,A14003007,76417000,0,29565000,0,0,0,113417319,0,14689360,0
201204,A14003007,40605280,0,26740000,0,0,0,113101404,0,14164720,0
201205,A14003007,11298580,0,22595000,0,0,0,115981683,0,15164680,0
201206,A14003007,9020660,0,16015500,0,0,0,149536667,0,15147260,0
201207,A14003007,8419755,0,14337000,0,0,0,177545114,0,13712830,0
201208,A14003007,7759030,0,11380500,0,0,0,315101950,0,13558230,0
201209,A14003007,9963500,0,15075000,0,0,0,160726122,0,13030250,0
201210,A14003007,24309160,0,18828000,0,0,0,115999260,0,13273340,0
201211,A14003007,72765800,0,26320000,0,0,0,129475696,0,13195750,0
201212,A14003007,131699520,0,30945000,0,0,0,117096511,0,13369370,0
201301,A14003007,135450470,0,32070000,0,0,0,129523059,0,13522790,0
201302,A14003007,108089150,0,28800000,0,0,0,126546645,0,12781500,0
201303,A14003007,77846250,0,29970000,0,0,0,96602337,0,13863990,0
201304,A14003007,56982120,0,24732000,0,0,0,114921577,0,13491330,0
201305,A14003007,22580820,0,21955500,0,0,0,115755578,0,14117440,0
201306,A14003007,9105890,0,16461000,0,0,0,142419979,0,13936950,0
201307,A14003007,7735960,0,14377500,0,0,0,185303124,0,13177470,0
201308,A14003007,7332388,0,12415500,0,0,0,282013133,0,13458000,0
201309,A14003007,8795240,0,15690000,0,0,0,152371923,0,12783360,0
201310,A14003007,21808760,0,20550000,0,0,0,107087655,0,13156680,0
201311,A14003007,73820270,0,25155000,0,0,0,112147762,0,12847470,0
201312,A14003007,119371850,0,30215000,0,0,0,117126308,0,13941820,0
201401,A14003007,125350500,116012,31250000,6250,0,0,124863208,326345,13941040,17306
201402,A14003007,99448290,94960,28200000,5640,0,0,123116818,324309,14521410,15395
201403,A14003007,73236770,76487,29680000,5936,0,0,93179540,288288,14987720,17168
201404,A14003007,34473710,33677,25455000,5091,0,0,112192270,318443,14545600,16633
201405,A14003007,19019770,16386,22885000,4577,0,0,102207036,302205,15151340,17249
201406,A14003007,9983890,2656,17150000,3430,0,0,146534012,359719,14565380,16586
201407,A14003007,7490320,72,13963500,3103,0,0,188217100,413586,15440580,17526
201408,A14003007,7465070,44,13297500,2955,0,0,200743130,429393,14555040,17442
201409,A14003007,7982750,471,16410000,3282,0,0,146657716,368926,14094000,16872
201410,A14003007,21641280,17271,21220000,4244,0,0,103069543,309780,15260150,17285
201411,A14003007,61495800,65500,24675000,4935,0,0,113415407,318443,15249670,16795
201412,A14003007,139093810,120665,30145000,6029,0,0,107927197,302927,14233230,17310
201501,A14003007,130710750,111383,30250000,6050,0,0,116430953,318006,14699050,16849
201502,A14003007,107650020,95153,26960000,5392,0,0,109296108,308833,12829250,14909
201503,A14003007,83798950,78510,29275000,5855,0,0,81273433,271777,14678130,16816
201504,A14003007,43406810,43808,25830000,5166,0,0,104022462,312167,14371880,16534
201505,A14003007,15973150,10630,22210000,4442,0,0,97564223,300018,14971190,17014
201506,A14003007,9351120,1721,18180000,3636,0,0,129790313,337305,16294060,17646
201507,A14003007,8936628,1537,15005000,3001,0,0,162203419,383921,15413550,17354
201508,A14003007,7402338,64,13090000,2618,0,0,271049975,523504,15269970,17152
201509,A14003007,8878350,1463,15675000,3135,0,0,134193847,353553,15563380,16947
201510,A14003007,21048300,16125,20030000,4006,0,0,102386783,306164,15856540,17305
201511,A14003007,65645590,66528,23655000,4731,0,0,109543365,309900,14567800,16446
201512,A14003007,114305290,98584,29340000,5868,0,0,106696500,299428,15143410,17441
201601,A14003007,133195400,107361,31175000,6235,0,0,115519619,312422,14952870,17259
201602,A14003007,107868140,93646,28010000,5602,0,0,110748714,303914,13666270,15620
201603,A14003007,66040350,76479,29200000,5840,0,0,91073029,283358,15470080,17061
201604,A14003007,28136540,31141,24790000,4958,0,0,102741380,305878,14165160,16195
201605,A14003007,13447150,10488,21200000,4240,0,0,96022533,294836,14348860,16331
201606,A14003007,8048080,1581,16800000,3360,0,0,135609617,346545,14569610,16249
201607,A14003007,7522630,572,13900500,3089,0,0,179512500,407096,14825830,16519
201608,A14003007,6998810,0,10282630,2285,0,0,318368728,633389,15179100,16284
201609,A14003007,7692640,915,12550500,2789,0,0,118344350,351738,14582890,15869
201610,A14003007,15698860,13198,18990000,3798,0,0,93766438,295494,14531230,16356
201611,A14003007,52727900,70375,24230000,4846,0,0,97787806,295170,14511210,16216
201612,A14003007,79125020,98986,28075000,5615,0,0,79776862,290930,14464160,16388
201701,A14003007,92138900,107167,29200000,5840,0,0,78685213,296603,14609590,16317
201702,A14003007,80385450,96287,25770000,5154,0,0,76243616,292579,13591410,14515
201703,A14003007,55434400,77167,28265000,5653,0,0,61207490,261188,15096020,16509
201704,A14003007,25833020,36826,24495000,4899,0,0,69537936,289003,14802580,15799
201705,A14003007,11561930,9797,20675000,4135,0,0,68455045,288223,14868360,15982
201706,A14003007,8831590,3815,16955000,3391,0,0,85222300,332165,15341600,15693
201707,A14003007,7192540,0,12006000,2668,0,0,130548663,437050,15089840,15807
201708,A14003007,7290070,213,12519000,2782,0,0,149431865,488802,15027170,16321
201709,A14003007,8307780,1691,14404500,3201,0,0,83486795,338537,14548150,15649
201710,A14003007,16259130,15010,19145000,3829,0,0,65849380,287677,14712410,15642
201711,A14003007,53826280,73654,24360000,4872,0,0,71039687,287581,14581370,15762
201712,A14003007,94229840,113397,29740000,5948,0,0,71282722,283525,14652050,16439
201801,A14003007,103987560,113184,29845000,5969,0,0,75472988,293807,15121180,16081
201802,A14003007,87927000,97606,26885000,5377,0,0,75844464,296124,13858280,14445
201803,A14003007,50588260,75416,28365000,5673,0,0,58981082,260460,15159690,16164
201804,A14003007,27406320,39658,24185000,4837,0,0,66159814,283067,14795540,15049
201805,A14003007,13281150,15073,22535000,4507,0,0,62768083,274119,15228340,15985
201806,A14003007,8382270,2724,18060000,3612,0,0,85554357,342309,15137590,15679
201807,A14003007,7203290,0,13608000,3024,0,0,128818010,444485,16174370,16159
201808,A14003007,6982420,0,9580500,2129,0,0,230802913,662154,16235150,15644
201809,A14003007,8963940,3108,14860000,2972,0,0,88175557,359341,16210290,15056
201810,A14003007,20622190,28165,21020000,4204,0,0,63282152,277120,13712290,15834
201811,A14003007,42767630,64720,24485000,4897,0,0,72779676,297639,14906890,15671
201812,A14003007,85729200,103764,29430000,5886,0,0,71429826,284436,15649990,16542
201901,A14003007,90065240,103489,30380000,6076,0,0,74111223,283701,15626840,16309
201902,A14003007,75747750,91762,26425000,5285,0,0,73122959,286645,13943500,14239
201903,A14003007,49385190,76664,28915000,5783,0,0,59438268,261602,15350860,15705
201904,A14003007,32112550,46555,25145000,5029,0,0,67833895,287956,16052550,15146
201905,A14003007,11321100,9968,22225000,4445,0,0,66002874,287115,16380580,16183
201906,A14003007,8468140,2959,17655000,3531,0,0,80058331,317188,15785580,15491
201907,A14003007,7239770,1,13482000,2996,0,0,102040085,396809,16593090,15913
201908,A14003007,7142140,1,11794500,2621,0,0,177685852,558457,16490010,15251
201909,A14003007,7268150,2,15625000,3125,0,0,88099496,364921,15107560,15193
201910,A14003007,13814950,14591,20075000,4015,0,0,66758107,293037,16373420,16004
201911,A14003007,46609090,62888,24295000,4859,0,0,68389460,283418,15472880,15823
201912,A14003007,84768160,89826,27795000,5559,0,0,69621029,286935,15786840,15813
202001,A14003007,85904240,89896,28770000,5754,0,0,69164476,260992,15541480,15997
202002,A14003007,74292380,82626,28780000,5756,0,0,75011731,300575,15212700,15703
202003,A14003007,52446430,68787,29400000,5880,0,0,66806572,292077,16949690,16903
202004,A14003007,31204640,43550,28690000,5738,0,0,70182085,300607,16803850,17192
202005,A14003007,12683250,19239,25605000,5121,0,0,66867860,291926,17082290,17761
202006,A14003007,8896100,6211,18340000,3668,0,0,96944260,373984,17245250,16717
202007,A14003007,8107400,3168,16060500,3569,0,0,95363277,375666,17171620,17354
202008,A14003007,7724320,1794,15556500,3457,0,0,140413389,487197,17005370,17234
202009,A14003007,7925400,2026,17210000,3442,0,0,107996119,425962,16612770,16319
202010,A14003007,18607320,28703,23550000,4710,0,0,67656983,293461,16735450,17434
202011,A14003007,45890170,63677,24870000,4974,0,0,74534382,299232,16105540,16063
202012,A14003007,86319580,99638,31665000,6333,0,0,78533550,301493,17202260,17860
202101,A14003007,104109340,102921,33580000,6716,0,0,81840721,314680,17052890,17803
202102,A14003007,73345170,78880,28500000,5700,0,0,77604364,304137,15203100,15760
202103,A14003007,46797540,61721,28680000,5736,0,0,60595857,269682,16782950,16768
202104,A14003007,23048610,36919,25670000,5134,0,0,68957421,296134,16329930,16382
202105,A14003007,14790820,24016,23970000,4794,0,0,66212220,289639,16496540,16745
