requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201104,A14009001,22123110,0,11196000,0,0,0,17724090,0,4775270,0
201105,A14009001,4558660,0,12792000,0,0,0,43569340,0,6617000,0
201106,A14009001,438430,0,11508000,0,0,0,56209900,0,8257800,0
201107,A14009001,390510,0,10956000,0,0,0,55945040,0,8222110,0
201108,A14009001,41010,0,9012000,0,0,0,83205080,0,8862690,0
201109,A14009001,760750,0,9744000,0,0,0,73419150,0,7926230,0
201110,A14009001,9505460,0,14336000,0,0,0,52515350,0,9688970,0
201111,A14009001,23642650,0,16298670,0,0,0,56031520,0,7609980,0
201112,A14009001,99604210,0,28668000,0,0,0,54825610,0,10690250,0
201201,A14009001,79392720,0,31296000,0,0,0,62862520,0,8086080,0
201202,A14009001,75054980,0,29598000,0,0,0,62651230,0,9931210,0
201203,A14009001,57511500,0,30942000,0,0,0,53582980,0,8140370,0
201204,A14009001,18729600,0,23370000,0,0,0,56973600,0,12696630,0
201205,A14009001,783780,0,19960000,0,0,0,53760510,0,11911340,0
201206,A14009001,136040,0,15430000,0,0,0,58689230,0,9862470,0
201207,A14009001,270400,0,13605000,0,0,0,68770390,0,12090710,0
201208,A14009001,124800,0,10785000,0,0,0,125215430,0,11995290,0
201209,A14009001,674400,0,15245000,0,0,0,81179150,0,11740310,0
201210,A14009001,7092900,0,19115000,0,0,0,58198000,0,10111880,0
201211,A14009001,36496400,0,22525000,0,0,0,60589050,0,11288090,0
201212,A14009001,93475300,0,30456000,0,0,0,61949610,0,9799590,0
201301,A14009001,93970530,0,30792000,0,0,0,71753720,0,10719160,0
201302,A14009001,71351730,0,28260000,0,0,0,68574010,0,11488540,0
201303,A14009001,47300520,0,31038000,0,0,0,54109920,0,12045800,0
201304,A14009001,26831910,0,28500000,0,0,0,60283070,0,9978180,0
201305,A14009001,4321540,0,25830000,0,0,0,56147000,0,12286190,0
201306,A14009001,237600,0,21284650,0,0,0,63640170,0,10939050,0
201307,A14009001,355300,0,18869500,0,0,0,75980950,0,13014940,0
201308,A14009001,154800,0,15886000,0,0,0,114095940,0,13138480,0
201309,A14009001,628800,0,18640400,0,0,0,95016490,0,12349650,0
201310,A14009001,6316470,0,25319200,0,0,0,63724930,0,11892500,0
201311,A14009001,42877700,0,30741250,0,0,0,49190960,0,10318210,0
201312,A14009001,84268220,0,35098000,0,0,0,64427070,0,12045110,0
201401,A14009001,93469610,657,37886000,5634,0,0,67990120,300233,12306370,13654
201402,A14009001,70020620,490,33748800,5054,0,0,66988500,298147,11260590,12356
201403,A14009001,43225920,305,37887420,5660,0,0,54593590,262537,13881480,14198
201404,A14009001,0,0,0,0,0,0,0,0,0,0
201405,A14009001,3192030,21,30776200,4556,0,0,57161540,270919,14044890,14522
201406,A14009001,251700,2,23364200,3466,0,0,65128460,292832,11805090,14250
201407,A14009001,233100,1,19824760,2932,0,0,73868060,313019,14402070,14881
201408,A14009001,422100,3,19835600,2917,0,0,95078590,359685,12683140,15009
201409,A14009001,661980,5,21549500,3178,0,0,82602140,331732,13660430,14045
201410,A14009001,6448370,46,26798400,3972,0,0,58310480,271005,12117760,13794
201411,A14009001,36313650,257,32840900,4862,0,0,64562340,293504,13324060,13687
201412,A14009001,99434220,758,38506560,5773,0,0,62822090,287579,11497160,13923
201501,A14009001,81018000,675,34524000,5879,0,0,67481890,300649,12490810,13895
201502,A14009001,58196800,530,31302000,5342,0,0,61722190,297441,11602820,12756
201503,A14009001,34931000,350,34464000,5884,0,0,51643320,259973,12671590,14129
201504,A14009001,9065450,106,25580350,5161,0,0,56087210,278730,11369750,13736
201505,A14009001,1246100,14,22588600,4562,0,0,51796440,266855,12894700,14371
201506,A14009001,181900,2,17216900,3486,0,0,54413960,286824,12311960,14356
201507,A14009001,170850,2,15076750,3060,0,0,62600220,306815,13402970,14885
201508,A14009001,114750,1,12699880,2557,0,0,106644010,401892,13969160,14674
201509,A14009001,192100,2,12025650,3047,0,0,75779270,330831,12349300,13672
201510,A14009001,3176600,37,15753100,3987,0,0,54525820,279509,12573660,14299
201511,A14009001,22162250,260,19346900,4895,0,0,56250580,288334,12922660,14249
201512,A14009001,55126960,571,21825600,5593,0,0,53345210,285741,12150860,14145
201601,A14009001,75689120,783,23372000,6008,0,0,59957320,297779,13007480,14371
201602,A14009001,62207910,587,26726000,5488,0,0,61103480,301995,12080150,13110
201603,A14009001,35291930,352,28918000,5933,0,0,50985450,270600,12977230,14419
201604,A14009001,6969100,77,24088850,4865,0,0,54487170,281945,12237480,13717
201605,A14009001,1365900,15,23015450,4649,0,0,53216680,276000,13785420,15001
201606,A14009001,149400,1,15984760,3202,0,0,63437070,299476,11751400,13921
201607,A14009001,203400,2,15781900,3203,0,0,73643070,324122,13345470,14735
