requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200701,A14010001,0,0,0,0,0,0,0,0,0,0
200702,A14010001,0,0,0,0,0,0,0,0,0,0
200703,A14010001,0,0,0,0,0,0,0,0,0,0
200704,A14010001,0,0,0,0,0,0,0,0,0,0
200705,A14010001,0,0,0,0,0,0,0,0,0,0
200706,A14010001,0,0,0,0,0,0,0,0,0,0
200707,A14010001,0,0,0,0,0,0,0,0,0,0
200708,A14010001,0,0,0,0,0,0,0,0,0,0
200709,A14010001,0,0,0,0,0,0,0,0,0,0
200710,A14010001,0,0,0,0,0,0,0,0,0,0
200711,A14010001,0,0,0,0,0,0,0,0,0,0
200712,A14010001,0,0,0,0,0,0,0,0,0,0
200801,A14010001,0,0,0,0,0,0,0,0,0,0
200802,A14010001,0,0,0,0,0,0,0,0,0,0
200803,A14010001,0,0,0,0,0,0,0,0,0,0
200804,A14010001,0,0,0,0,0,0,0,0,0,0
200805,A14010001,0,0,0,0,0,0,0,0,0,0
200806,A14010001,0,0,0,0,0,0,0,0,0,0
200807,A14010001,0,0,0,0,0,0,0,0,0,0
200808,A14010001,0,0,0,0,0,0,0,0,0,0
200809,A14010001,0,0,0,0,0,0,0,0,0,0
200810,A14010001,0,0,0,0,0,0,0,0,0,0
200811,A14010001,0,0,0,0,0,0,0,0,0,0
200812,A14010001,0,0,0,0,0,0,0,0,0,0
200901,A14010001,0,0,0,0,0,0,0,0,0,0
200902,A14010001,0,0,0,0,0,0,0,0,0,0
200903,A14010001,0,0,0,0,0,0,0,0,0,0
200904,A14010001,0,0,0,0,0,0,0,0,0,0
200905,A14010001,0,0,0,0,0,0,0,0,0,0
200906,A14010001,0,0,0,0,0,0,0,0,0,0
200907,A14010001,0,0,0,0,0,0,0,0,0,0
200908,A14010001,0,0,0,0,0,0,0,0,0,0
200909,A14010001,0,0,0,0,0,0,0,0,0,0
200910,A14010001,0,0,0,0,0,0,0,0,0,0
200911,A14010001,0,0,0,0,0,0,0,0,0,0
200912,A14010001,0,0,0,0,0,0,0,0,0,0
201001,A14010001,0,0,0,0,0,0,0,0,0,0
201002,A14010001,3676020,0,1739220,0,0,0,33248380,0,3786860,0
201003,A14010001,3216430,0,1514870,0,0,0,36453460,0,34579370,0
201004,A14010001,2073280,0,1389960,0,0,0,26781025,0,3770880,0
201005,A14010001,271000,0,1330090,0,0,0,31902880,0,4059110,0
201006,A14010001,0,0,1078620,0,0,0,39278030,0,4292120,0
201007,A14010001,0,0,1046730,0,0,0,51022670,0,3761110,0
201008,A14010001,0,0,923050,0,0,0,73406870,0,4036910,0
201009,A14010001,0,0,1195630,0,0,0,62455490,0,3675180,0
201010,A14010001,1361450,0,1074770,0,0,0,35771360,0,4042680,0
201011,A14010001,3420450,0,1570380,0,0,0,32946590,0,4302890,0
201012,A14010001,4189920,0,2553800,0,0,0,34775930,0,3489490,0
201101,A14010001,6451860,0,1697080,0,0,0,40543710,0,3892370,0
201102,A14010001,5021490,0,1294650,0,0,0,38355220,0,3891100,0
