requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201004,A14070301,0,0,0,0,0,0,0,0,0,0
201005,A14070301,0,0,0,0,0,0,2367060,0,984330,0
201006,A14070301,0,0,0,0,329230,0,38020310,0,1756920,0
201007,A14070301,0,0,0,0,362880,0,71112235,0,2144180,0
201008,A14070301,0,0,0,0,0,0,85847200,0,2528370,0
201009,A14070301,0,0,0,0,0,0,46639202,0,2570780,0
201010,A14070301,0,0,0,0,0,0,42847613,0,2419380,0
201011,A14070301,0,0,0,0,0,0,30553574,0,2729170,0
201012,A14070301,0,0,0,0,0,0,43405298,0,2621720,0
201101,A14070301,0,0,0,0,0,0,42339086,0,2768380,0
201102,A14070301,0,0,0,0,0,0,41195087,0,2647730,0
201103,A14070301,0,0,0,0,0,0,38074596,0,2454420,0
201104,A14070301,0,0,0,0,0,0,2,0,2742250,0
201105,A14070301,0,0,0,0,0,0,72697214,0,2676590,0
201106,A14070301,0,0,0,0,0,0,54451457,0,2839420,0
201107,A14070301,0,0,0,0,0,0,76885333,0,2907200,0
201108,A14070301,0,0,0,0,0,0,78120310,0,2830500,0
201109,A14070301,0,0,0,0,0,0,67993386,0,2731250,0
201110,A14070301,0,0,0,0,0,0,55051756,0,2717080,0
201111,A14070301,0,0,0,0,0,0,53661300,0,2783760,0
201112,A14070301,0,0,0,0,0,0,44961393,0,2673460,0
201201,A14070301,0,0,0,0,0,0,46069637,0,2784290,0
201202,A14070301,0,0,0,0,0,0,40144313,0,3288310,0
201203,A14070301,0,0,0,0,0,0,39081680,0,2999780,0
201204,A14070301,0,0,0,0,0,0,34375199,0,3218560,0
201205,A14070301,0,0,0,0,0,0,42476593,0,3698810,0
201206,A14070301,0,0,0,0,0,0,53506199,0,3199810,0
201207,A14070301,0,0,0,0,0,0,80596628,0,3098560,0
201208,A14070301,0,0,0,0,0,0,108479194,0,3255530,0
201209,A14070301,0,0,0,0,0,0,47020266,0,3299190,0
201210,A14070301,0,0,0,0,0,0,38244421,0,3105250,0
201211,A14070301,0,0,0,0,0,0,37014262,0,3225250,0
201212,A14070301,0,0,0,0,0,0,44389993,0,3138010,0
201301,A14070301,0,0,0,0,0,0,44411473,0,3135530,0
201302,A14070301,0,0,0,0,0,0,36006881,0,3300290,0
201303,A14070301,0,0,0,0,0,0,37057644,0,3038580,0
201304,A14070301,0,0,0,0,0,0,33481773,0,3276040,0
201305,A14070301,0,0,0,0,0,0,37357354,0,3283090,0
201306,A14070301,0,0,0,0,0,0,60268096,0,3478440,0
201307,A14070301,0,0,0,0,0,0,84307174,0,3392900,0
201308,A14070301,0,0,0,0,0,0,110215522,0,3332860,0
201309,A14070301,0,0,0,0,0,0,49894580,0,3412650,0
201310,A14070301,0,0,0,0,0,0,37389086,0,3344320,0
201311,A14070301,0,0,0,0,0,0,37747486,0,3535890,0
201312,A14070301,0,0,0,0,0,0,43371667,0,3336020,0
201401,A14070301,0,0,0,0,0,0,43597409,183549,3454740,4161
201402,A14070301,0,0,0,0,0,0,35549854,162527,3605890,4132
201403,A14070301,0,0,0,0,0,0,35990107,168502,3346350,3826
201404,A14070301,0,0,0,0,0,0,32679604,156702,3696440,4245
201405,A14070301,0,0,0,0,0,0,37292494,167545,3461060,3961
201406,A14070301,0,0,0,0,0,0,55576270,188309,3565640,4085
201407,A14070301,0,0,0,0,0,0,84746752,233946,3495920,4003
201408,A14070301,0,0,0,0,0,0,79099031,227621,3553150,4084
201409,A14070301,0,0,0,0,0,0,54959842,192834,3428190,3932
201410,A14070301,0,0,0,0,0,0,41967925,176519,3650880,4186
201411,A14070301,0,0,0,0,0,0,41671943,173003,3882940,4481
201412,A14070301,0,0,0,0,0,0,46798251,188724,3736030,4305
201501,A14070301,0,0,0,0,0,0,46162565,188270,3962700,4576
201502,A14070301,0,0,0,0,0,0,36559619,164466,3809820,4381
201503,A14070301,0,0,0,0,0,0,37869166,175233,3567630,4085
201504,A14070301,0,0,0,0,0,0,34778147,165894,3873480,4463
201505,A14070301,0,0,0,0,0,0,41148006,177429,3732710,4288
201506,A14070301,0,0,0,0,0,0,57851320,195739,3819200,4399
201507,A14070301,0,0,0,0,0,0,78847586,230601,3617340,4153
201508,A14070301,0,0,0,0,0,0,96209758,257152,3564300,4094
201509,A14070301,0,0,0,0,0,0,48100897,185012,3618670,4151
201510,A14070301,0,0,0,0,0,0,38328133,172448,3567720,4094
201511,A14070301,0,0,0,0,0,0,39277598,170920,3611290,4141
201512,A14070301,0,0,0,0,0,0,42758612,179365,3474500,3984
201601,A14070301,0,0,0,0,0,0,43870959,183956,3641500,4183
201602,A14070301,0,0,0,0,0,0,37403280,166779,3688480,4235
201603,A14070301,0,0,0,0,0,0,35467805,169660,3457740,3958
201604,A14070301,0,0,0,0,0,0,32767569,159023,3770310,4336
201605,A14070301,0,0,0,0,0,0,39924093,170876,3607970,4230
201606,A14070301,0,0,0,0,0,0,55596990,189899,3766250,4336
201607,A14070301,0,0,0,0,0,0,85864146,238884,3555070,4076
201608,A14070301,0,0,0,0,0,0,104941217,289589,3498650,4009
201609,A14070301,0,0,0,0,0,0,49064017,191188,3449020,3955
201610,A14070301,0,0,0,0,0,0,39188011,169975,3465120,3973
201611,A14070301,0,0,0,0,0,0,37272039,163962,3750780,4457
201612,A14070301,0,0,0,0,0,0,32961424,172927,3526130,4130
201701,A14070301,0,0,0,0,0,0,34253174,176969,3706390,4145
201702,A14070301,0,0,0,0,0,0,29853074,158319,3825070,4244
201703,A14070301,0,0,0,0,0,0,29719302,168782,3252400,3591
201704,A14070301,0,0,0,0,0,0,27300110,157532,3723590,4130
201705,A14070301,0,0,0,0,0,0,30105839,165528,3725650,4131
201706,A14070301,0,0,0,0,0,0,36827151,178718,3815950,4241
201707,A14070301,0,0,0,0,0,0,61877215,243916,3430940,3791
201708,A14070301,0,0,0,0,0,0,63240899,254759,3610240,3996
201709,A14070301,0,0,0,0,0,0,34799264,194252,3734600,4137
201710,A14070301,0,0,0,0,0,0,29385429,164579,3791010,4211
201711,A14070301,0,0,0,0,0,0,30429182,160050,3617120,4013
201712,A14070301,0,0,0,0,0,0,33363595,175385,3582370,3965
201801,A14070301,0,0,0,0,0,0,34803697,179987,3737760,4040
201802,A14070301,0,0,0,0,0,0,30897200,171646,3888930,4175
