requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200405,A14272304,0,0,0,0,0,0,0,0,0,0
200406,A14272304,0,0,0,0,0,0,0,0,0,0
200407,A14272304,0,0,0,0,0,0,0,0,0,0
200408,A14272304,0,0,0,0,0,0,0,0,0,0
200409,A14272304,0,0,0,0,0,0,0,0,0,0
200410,A14272304,0,0,0,0,0,0,0,0,0,0
200411,A14272304,0,0,0,0,0,0,0,0,0,0
200412,A14272304,0,0,0,0,0,0,0,0,0,0
200501,A14272304,0,0,0,0,0,0,0,0,0,0
200502,A14272304,0,0,0,0,0,0,0,0,0,0
200503,A14272304,0,0,0,0,0,0,0,0,0,0
200504,A14272304,0,0,0,0,0,0,0,0,0,0
200505,A14272304,0,0,0,0,0,0,0,0,0,0
200506,A14272304,0,0,0,0,0,0,0,0,0,0
200507,A14272304,0,0,0,0,0,0,0,0,0,0
200508,A14272304,0,0,0,0,0,0,0,0,0,0
200509,A14272304,0,0,0,0,0,0,0,0,0,0
200510,A14272304,0,0,0,0,0,0,0,0,0,0
200511,A14272304,0,0,0,0,0,0,0,0,0,0
200512,A14272304,0,0,0,0,0,0,0,0,0,0
200601,A14272304,0,0,0,0,0,0,0,0,0,0
200602,A14272304,0,0,0,0,0,0,0,0,0,0
200603,A14272304,0,0,0,0,0,0,0,0,0,0
200604,A14272304,0,0,0,0,0,0,0,0,0,0
200605,A14272304,0,0,0,0,0,0,0,0,0,0
200606,A14272304,0,0,0,0,0,0,0,0,0,0
200607,A14272304,0,0,0,0,0,0,0,0,0,0
200608,A14272304,0,0,0,0,0,0,0,0,0,0
200609,A14272304,0,0,0,0,0,0,0,0,0,0
200610,A14272304,0,0,0,0,0,0,0,0,0,0
200611,A14272304,0,0,0,0,0,0,0,0,0,0
200612,A14272304,0,0,0,0,0,0,0,0,0,0
200701,A14272304,0,0,0,0,0,0,0,0,0,0
200702,A14272304,0,0,0,0,0,0,0,0,0,0
200703,A14272304,0,0,0,0,0,0,0,0,0,0
200704,A14272304,0,0,0,0,0,0,0,0,0,0
200705,A14272304,0,0,0,0,0,0,0,0,0,0
200706,A14272304,0,0,0,0,0,0,0,0,0,0
200707,A14272304,0,0,0,0,0,0,0,0,0,0
200708,A14272304,0,0,0,0,0,0,0,0,0,0
200709,A14272304,0,0,0,0,0,0,0,0,0,0
200710,A14272304,0,0,0,0,0,0,0,0,0,0
200711,A14272304,0,0,0,0,0,0,0,0,0,0
200712,A14272304,0,0,0,0,0,0,0,0,0,0
200801,A14272304,0,0,0,0,0,0,0,0,0,0
200802,A14272304,0,0,0,0,0,0,0,0,0,0
200803,A14272304,0,0,0,0,0,0,0,0,0,0
200804,A14272304,0,0,0,0,0,0,0,0,0,0
200805,A14272304,0,0,0,0,0,0,0,0,0,0
200806,A14272304,0,0,0,0,0,0,0,0,0,0
200807,A14272304,0,0,0,0,0,0,0,0,0,0
200808,A14272304,0,0,0,0,0,0,0,0,0,0
200809,A14272304,0,0,0,0,0,0,0,0,0,0
200810,A14272304,0,0,0,0,0,0,0,0,0,0
200811,A14272304,0,0,0,0,0,0,0,0,0,0
200812,A14272304,0,0,0,0,0,0,0,0,0,0
200901,A14272304,0,0,0,0,0,0,0,0,0,0
200902,A14272304,0,0,0,0,0,0,0,0,0,0
200903,A14272304,0,0,0,0,0,0,0,0,0,0
200904,A14272304,0,0,0,0,0,0,0,0,0,0
200905,A14272304,0,0,0,0,0,0,0,0,0,0
200906,A14272304,0,0,0,0,0,0,0,0,0,0
200907,A14272304,0,0,0,0,0,0,0,0,0,0
200908,A14272304,0,0,0,0,0,0,0,0,0,0
200909,A14272304,0,0,0,0,0,0,0,0,0,0
200910,A14272304,0,0,0,0,0,0,0,0,0,0
200911,A14272304,0,0,0,0,0,0,0,0,0,0
200912,A14272304,0,0,0,0,0,0,0,0,0,0
201001,A14272304,0,0,0,0,0,0,238900360,0,50396020,0
201002,A14272304,0,0,0,0,0,0,188179600,0,44112260,0
201003,A14272304,0,0,0,0,0,0,171680560,0,77756770,0
201004,A14272304,0,0,0,0,0,0,152606980,0,47683120,0
201005,A14272304,0,0,0,0,0,0,160733780,0,51820570,0
201006,A14272304,0,0,0,0,0,0,186736759,0,53614950,0
201007,A14272304,0,0,0,0,0,0,236318930,0,55964860,0
201008,A14272304,0,0,0,0,0,0,262315180,0,54878430,0
201009,A14272304,0,0,0,0,0,0,184076970,0,51321110,0
201010,A14272304,0,0,0,0,0,0,187921350,0,51542150,0
201011,A14272304,0,0,0,0,0,0,215930250,0,48739370,0
201012,A14272304,0,0,0,0,0,0,243344400,0,0,0
201101,A14272304,0,0,0,0,0,0,238134130,0,49502260,0
201102,A14272304,0,0,0,0,0,0,202459540,0,45134070,0
201103,A14272304,0,0,0,0,0,0,203722190,0,49193320,0
201104,A14272304,0,0,0,0,0,0,196241920,0,42681130,0
201105,A14272304,0,0,0,0,0,0,188861130,0,51547220,0
201106,A14272304,0,0,0,0,0,0,154340124,0,51765950,0
201107,A14272304,0,0,0,0,0,0,249586510,0,54899600,0
201108,A14272304,0,0,0,0,0,0,237311060,0,53788600,0
201109,A14272304,0,0,0,0,0,0,176060130,0,50942920,0
201110,A14272304,0,0,0,0,0,0,207097640,0,51113920,0
201111,A14272304,0,0,0,0,0,0,207614330,0,49016230,0
201112,A14272304,0,0,0,0,0,0,252541550,0,48923980,0
201201,A14272304,0,0,0,0,0,0,262415470,0,48819800,0
201202,A14272304,0,0,0,0,0,0,226989590,0,46254610,0
201203,A14272304,0,0,0,0,0,0,212058990,0,56784810,0
201204,A14272304,0,0,0,0,0,0,199684220,0,56160710,0
201205,A14272304,0,0,0,0,0,0,192864080,0,58362830,0
201206,A14272304,0,0,0,0,0,0,194020930,0,60577070,0
201207,A14272304,0,0,0,0,0,0,259374220,0,63028160,0
201208,A14272304,0,0,0,0,0,0,306398820,0,61855160,0
201209,A14272304,0,0,0,0,0,0,189087640,0,58388270,0
201210,A14272304,0,0,0,0,0,0,207592530,0,59323190,0
201211,A14272304,0,0,0,0,0,0,226415630,0,56296910,0
