requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
199212,A14320302,0,0,0,0,0,0,0,0,0,0
199301,A14320302,0,0,0,0,0,0,0,0,0,0
199302,A14320302,0,0,0,0,0,0,0,0,0,0
199303,A14320302,0,0,0,0,0,0,0,0,0,0
199304,A14320302,0,0,0,0,0,0,0,0,0,0
199305,A14320302,0,0,0,0,0,0,0,0,0,0
199306,A14320302,0,0,0,0,0,0,0,0,0,0
199307,A14320302,0,0,0,0,0,0,0,0,0,0
199308,A14320302,0,0,0,0,0,0,0,0,0,0
199309,A14320302,0,0,0,0,0,0,0,0,0,0
199310,A14320302,0,0,0,0,0,0,0,0,0,0
199311,A14320302,0,0,0,0,0,0,0,0,0,0
199312,A14320302,0,0,0,0,0,0,0,0,0,0
199401,A14320302,0,0,0,0,0,0,0,0,0,0
199402,A14320302,0,0,0,0,0,0,0,0,0,0
199403,A14320302,0,0,0,0,0,0,0,0,0,0
199404,A14320302,0,0,0,0,0,0,0,0,0,0
199405,A14320302,0,0,0,0,0,0,0,0,0,0
199406,A14320302,0,0,0,0,0,0,0,0,0,0
199407,A14320302,0,0,0,0,0,0,0,0,0,0
199408,A14320302,0,0,0,0,0,0,0,0,0,0
199409,A14320302,0,0,0,0,0,0,0,0,0,0
199410,A14320302,0,0,0,0,0,0,0,0,0,0
199411,A14320302,0,0,0,0,0,0,0,0,0,0
199412,A14320302,0,0,0,0,0,0,0,0,0,0
199501,A14320302,0,0,0,0,0,0,0,0,0,0
199502,A14320302,0,0,0,0,0,0,0,0,0,0
199503,A14320302,0,0,0,0,0,0,0,0,0,0
199504,A14320302,0,0,0,0,0,0,0,0,0,0
199505,A14320302,0,0,0,0,0,0,0,0,0,0
199506,A14320302,0,0,0,0,0,0,0,0,0,0
199507,A14320302,0,0,0,0,0,0,0,0,0,0
199508,A14320302,0,0,0,0,0,0,0,0,0,0
199509,A14320302,0,0,0,0,0,0,0,0,0,0
199510,A14320302,0,0,0,0,0,0,0,0,0,0
199511,A14320302,0,0,0,0,0,0,0,0,0,0
199512,A14320302,0,0,0,0,0,0,0,0,0,0
199601,A14320302,0,0,0,0,0,0,0,0,0,0
199602,A14320302,0,0,0,0,0,0,0,0,0,0
199603,A14320302,0,0,0,0,0,0,0,0,0,0
199604,A14320302,0,0,0,0,0,0,0,0,0,0
199605,A14320302,0,0,0,0,0,0,0,0,0,0
199606,A14320302,0,0,0,0,0,0,0,0,0,0
199607,A14320302,0,0,0,0,0,0,0,0,0,0
199608,A14320302,0,0,0,0,0,0,0,0,0,0
199609,A14320302,0,0,0,0,0,0,0,0,0,0
199610,A14320302,0,0,0,0,0,0,0,0,0,0
199611,A14320302,0,0,0,0,0,0,0,0,0,0
199612,A14320302,0,0,0,0,0,0,0,0,0,0
199701,A14320302,0,0,0,0,0,0,0,0,0,0
199702,A14320302,0,0,0,0,0,0,0,0,0,0
199703,A14320302,0,0,0,0,0,0,0,0,0,0
199704,A14320302,0,0,0,0,0,0,0,0,0,0
199705,A14320302,0,0,0,0,0,0,0,0,0,0
199706,A14320302,0,0,0,0,0,0,0,0,0,0
199707,A14320302,0,0,0,0,0,0,0,0,0,0
199708,A14320302,0,0,0,0,0,0,0,0,0,0
199709,A14320302,0,0,0,0,0,0,0,0,0,0
199710,A14320302,0,0,0,0,0,0,0,0,0,0
199711,A14320302,0,0,0,0,0,0,0,0,0,0
199712,A14320302,0,0,0,0,0,0,0,0,0,0
199801,A14320302,0,0,0,0,0,0,0,0,0,0
199802,A14320302,0,0,0,0,0,0,0,0,0,0
199803,A14320302,0,0,0,0,0,0,0,0,0,0
199804,A14320302,0,0,0,0,0,0,0,0,0,0
199805,A14320302,0,0,0,0,0,0,0,0,0,0
199806,A14320302,0,0,0,0,0,0,0,0,0,0
199807,A14320302,0,0,0,0,0,0,0,0,0,0
199808,A14320302,0,0,0,0,0,0,0,0,0,0
199809,A14320302,0,0,0,0,0,0,0,0,0,0
199810,A14320302,0,0,0,0,0,0,0,0,0,0
199811,A14320302,0,0,0,0,0,0,0,0,0,0
199812,A14320302,0,0,0,0,0,0,0,0,0,0
199901,A14320302,0,0,0,0,0,0,0,0,0,0
199902,A14320302,0,0,0,0,0,0,0,0,0,0
199903,A14320302,0,0,0,0,0,0,0,0,0,0
199904,A14320302,0,0,0,0,0,0,0,0,0,0
199905,A14320302,0,0,0,0,0,0,0,0,0,0
199906,A14320302,0,0,0,0,0,0,0,0,0,0
199907,A14320302,0,0,0,0,0,0,0,0,0,0
199908,A14320302,0,0,0,0,0,0,0,0,0,0
199909,A14320302,0,0,0,0,0,0,0,0,0,0
199910,A14320302,0,0,0,0,0,0,0,0,0,0
199911,A14320302,0,0,0,0,0,0,0,0,0,0
199912,A14320302,0,0,0,0,0,0,0,0,0,0
200001,A14320302,0,0,0,0,0,0,0,0,0,0
200002,A14320302,0,0,0,0,0,0,0,0,0,0
200003,A14320302,0,0,0,0,0,0,0,0,0,0
200004,A14320302,0,0,0,0,0,0,0,0,0,0
200005,A14320302,0,0,0,0,0,0,0,0,0,0
200006,A14320302,0,0,0,0,0,0,0,0,0,0
200007,A14320302,0,0,0,0,0,0,0,0,0,0
200008,A14320302,0,0,0,0,0,0,0,0,0,0
200009,A14320302,0,0,0,0,0,0,0,0,0,0
200010,A14320302,0,0,0,0,0,0,0,0,0,0
200011,A14320302,0,0,0,0,0,0,0,0,0,0
200012,A14320302,0,0,0,0,0,0,0,0,0,0
200101,A14320302,0,0,0,0,0,0,0,0,0,0
200102,A14320302,0,0,0,0,0,0,0,0,0,0
200103,A14320302,0,0,0,0,0,0,0,0,0,0
200104,A14320302,0,0,0,0,0,0,0,0,0,0
200105,A14320302,0,0,0,0,0,0,0,0,0,0
200106,A14320302,0,0,0,0,0,0,0,0,0,0
200107,A14320302,0,0,0,0,0,0,0,0,0,0
200108,A14320302,0,0,0,0,0,0,0,0,0,0
200109,A14320302,0,0,0,0,0,0,0,0,0,0
200110,A14320302,0,0,0,0,0,0,0,0,0,0
200111,A14320302,0,0,0,0,0,0,0,0,0,0
200112,A14320302,0,0,0,0,0,0,0,0,0,0
200201,A14320302,0,0,0,0,0,0,0,0,0,0
200202,A14320302,0,0,0,0,0,0,0,0,0,0
200203,A14320302,0,0,0,0,0,0,0,0,0,0
200204,A14320302,0,0,0,0,0,0,0,0,0,0
200205,A14320302,0,0,0,0,0,0,0,0,0,0
200206,A14320302,0,0,0,0,0,0,0,0,0,0
200207,A14320302,0,0,0,0,0,0,0,0,0,0
200208,A14320302,0,0,0,0,0,0,0,0,0,0
200209,A14320302,0,0,0,0,0,0,0,0,0,0
200210,A14320302,0,0,0,0,0,0,0,0,0,0
200211,A14320302,0,0,0,0,0,0,0,0,0,0
200212,A14320302,0,0,0,0,0,0,0,0,0,0
200301,A14320302,0,0,0,0,0,0,0,0,0,0
200302,A14320302,0,0,0,0,0,0,0,0,0,0
200303,A14320302,0,0,0,0,0,0,0,0,0,0
200304,A14320302,0,0,0,0,0,0,0,0,0,0
200305,A14320302,0,0,0,0,0,0,0,0,0,0
200306,A14320302,0,0,0,0,0,0,0,0,0,0
200307,A14320302,0,0,0,0,0,0,0,0,0,0
200308,A14320302,0,0,0,0,0,0,0,0,0,0
