requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200710,A14380605,0,0,0,0,0,0,0,0,0,0
200711,A14380605,0,0,0,0,0,0,0,0,0,0
200712,A14380605,0,0,0,0,0,0,0,0,0,0
200801,A14380605,0,0,0,0,0,0,0,0,0,0
200802,A14380605,0,0,0,0,0,0,0,0,0,0
200803,A14380605,0,0,0,0,0,0,0,0,0,0
200804,A14380605,0,0,0,0,0,0,0,0,0,0
200805,A14380605,0,0,0,0,0,0,0,0,0,0
200806,A14380605,0,0,0,0,0,0,0,0,0,0
200807,A14380605,0,0,0,0,0,0,0,0,0,0
200808,A14380605,0,0,0,0,0,0,0,0,0,0
200809,A14380605,0,0,0,0,0,0,0,0,0,0
200810,A14380605,0,0,0,0,0,0,0,0,0,0
200811,A14380605,0,0,0,0,0,0,0,0,0,0
200812,A14380605,0,0,0,0,0,0,0,0,0,0
200901,A14380605,0,0,0,0,0,0,0,0,0,0
200902,A14380605,0,0,0,0,0,0,0,0,0,0
200903,A14380605,0,0,0,0,0,0,0,0,0,0
200904,A14380605,0,0,0,0,0,0,0,0,0,0
200905,A14380605,0,0,0,0,0,0,0,0,0,0
200906,A14380605,0,0,0,0,0,0,0,0,0,0
200907,A14380605,0,0,0,0,0,0,0,0,0,0
200908,A14380605,0,0,0,0,0,0,0,0,0,0
200909,A14380605,0,0,0,0,0,0,0,0,0,0
200910,A14380605,0,0,0,0,0,0,0,0,0,0
200911,A14380605,0,0,0,0,0,0,0,0,0,0
200912,A14380605,0,0,0,0,0,0,0,0,0,0
201001,A14380605,0,0,0,0,0,0,0,0,0,0
201002,A14380605,0,0,0,0,0,0,27013100,0,3449200,0
201003,A14380605,0,0,0,0,0,0,22968990,0,3139000,0
201004,A14380605,0,0,0,0,0,0,22968990,0,3139000,0
201005,A14380605,0,0,0,0,0,0,0,0,0,0
201006,A14380605,0,0,0,0,0,0,23549110,0,3860020,0
201007,A14380605,0,0,0,0,0,0,27683290,0,3806110,0
201008,A14380605,0,0,0,0,0,0,0,0,0,0
201009,A14380605,0,0,0,0,0,0,29930180,0,3808740,0
201010,A14380605,0,0,0,0,0,0,20776430,0,0,0
201011,A14380605,0,0,0,0,0,0,23961620,0,3588820,0
201012,A14380605,0,0,0,0,0,0,25932210,0,3891130,0
201101,A14380605,0,0,0,0,0,0,30786620,0,4039300,0
201102,A14380605,0,0,0,0,0,0,28920730,0,2953890,0
201103,A14380605,0,0,0,0,0,0,20979730,0,3236600,0
201104,A14380605,0,0,0,0,0,0,148207,0,5266,0
201105,A14380605,0,0,0,0,0,0,21253830,0,3452460,0
201106,A14380605,0,0,0,0,0,0,145325,0,6122,0
201107,A14380605,0,0,0,0,0,0,26266850,0,4036500,0
201108,A14380605,0,0,0,0,0,0,35274990,0,4150460,0
201109,A14380605,0,0,0,0,0,0,27691060,0,4110740,0
201110,A14380605,0,0,0,0,0,0,20917610,0,3769360,0
201111,A14380605,0,0,0,0,0,0,24119390,0,3839220,0
201112,A14380605,0,0,0,0,0,0,25546660,0,3668260,0
201201,A14380605,0,0,0,0,0,0,29629840,0,3718240,0
201202,A14380605,0,0,0,0,0,0,30002890,0,4099900,0
201203,A14380605,0,0,0,0,0,0,22714140,0,3861250,0
201204,A14380605,0,0,0,0,0,0,23201340,0,4109100,0
201205,A14380605,0,0,0,0,0,0,20769870,0,4224450,0
201206,A14380605,0,0,0,0,0,0,22318790,0,4383200,0
201207,A14380605,0,0,0,0,0,0,25387160,0,4385900,0
201208,A14380605,0,0,0,0,0,0,49112230,0,4501500,0
201209,A14380605,0,0,0,0,0,0,28791130,0,4369350,0
201210,A14380605,0,0,0,0,0,0,17467190,0,4105350,0
201211,A14380605,0,0,0,0,0,0,23382170,0,4107200,0
201212,A14380605,0,0,0,0,0,0,25353450,0,3874550,0
201301,A14380605,0,0,0,0,0,0,29556260,0,3958150,0
201302,A14380605,0,0,0,0,0,0,27754310,0,4174150,0
201303,A14380605,0,0,0,0,0,0,19934060,0,4113230,0
