requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200106,A14381504,0,0,0,0,0,0,0,0,0,0
200107,A14381504,0,0,0,0,0,0,0,0,0,0
200108,A14381504,0,0,0,0,0,0,0,0,0,0
200109,A14381504,0,0,0,0,0,0,0,0,0,0
200110,A14381504,0,0,0,0,0,0,0,0,0,0
200111,A14381504,0,0,0,0,0,0,0,0,0,0
200112,A14381504,0,0,0,0,0,0,0,0,0,0
200201,A14381504,0,0,0,0,0,0,0,0,0,0
200202,A14381504,0,0,0,0,0,0,0,0,0,0
200203,A14381504,0,0,0,0,0,0,0,0,0,0
200204,A14381504,0,0,0,0,0,0,0,0,0,0
200205,A14381504,0,0,0,0,0,0,0,0,0,0
200206,A14381504,0,0,0,0,0,0,0,0,0,0
200207,A14381504,0,0,0,0,0,0,0,0,0,0
200208,A14381504,0,0,0,0,0,0,0,0,0,0
200209,A14381504,0,0,0,0,0,0,0,0,0,0
200210,A14381504,0,0,0,0,0,0,0,0,0,0
200211,A14381504,0,0,0,0,0,0,0,0,0,0
200212,A14381504,0,0,0,0,0,0,0,0,0,0
200301,A14381504,0,0,0,0,0,0,0,0,0,0
200302,A14381504,0,0,0,0,0,0,0,0,0,0
200303,A14381504,0,0,0,0,0,0,0,0,0,0
200304,A14381504,0,0,0,0,0,0,0,0,0,0
200305,A14381504,0,0,0,0,0,0,0,0,0,0
200306,A14381504,0,0,0,0,0,0,0,0,0,0
200307,A14381504,0,0,0,0,0,0,0,0,0,0
200308,A14381504,0,0,0,0,0,0,0,0,0,0
200309,A14381504,0,0,0,0,0,0,0,0,0,0
200310,A14381504,0,0,0,0,0,0,0,0,0,0
200311,A14381504,0,0,0,0,0,0,0,0,0,0
200312,A14381504,0,0,0,0,0,0,0,0,0,0
200401,A14381504,0,0,0,0,0,0,0,0,0,0
200402,A14381504,0,0,0,0,0,0,0,0,0,0
200403,A14381504,0,0,0,0,0,0,0,0,0,0
200404,A14381504,0,0,0,0,0,0,0,0,0,0
200405,A14381504,0,0,0,0,0,0,0,0,0,0
200406,A14381504,0,0,0,0,0,0,0,0,0,0
200407,A14381504,0,0,0,0,0,0,0,0,0,0
200408,A14381504,0,0,0,0,0,0,0,0,0,0
200409,A14381504,0,0,0,0,0,0,0,0,0,0
200410,A14381504,0,0,0,0,0,0,0,0,0,0
200411,A14381504,0,0,0,0,0,0,0,0,0,0
200412,A14381504,0,0,0,0,0,0,0,0,0,0
200501,A14381504,0,0,0,0,0,0,0,0,0,0
200502,A14381504,0,0,0,0,0,0,0,0,0,0
200503,A14381504,0,0,0,0,0,0,0,0,0,0
200504,A14381504,0,0,0,0,0,0,0,0,0,0
200505,A14381504,0,0,0,0,0,0,0,0,0,0
200506,A14381504,0,0,0,0,0,0,0,0,0,0
200507,A14381504,0,0,0,0,0,0,0,0,0,0
200508,A14381504,0,0,0,0,0,0,0,0,0,0
200509,A14381504,0,0,0,0,0,0,0,0,0,0
200510,A14381504,0,0,0,0,0,0,0,0,0,0
200511,A14381504,0,0,0,0,0,0,0,0,0,0
200512,A14381504,0,0,0,0,0,0,0,0,0,0
200601,A14381504,0,0,0,0,0,0,0,0,0,0
200602,A14381504,0,0,0,0,0,0,0,0,0,0
200603,A14381504,0,0,0,0,0,0,0,0,0,0
200604,A14381504,0,0,0,0,0,0,0,0,0,0
200605,A14381504,0,0,0,0,0,0,0,0,0,0
200606,A14381504,0,0,0,0,0,0,0,0,0,0
200607,A14381504,0,0,0,0,0,0,0,0,0,0
200608,A14381504,0,0,0,0,0,0,0,0,0,0
200609,A14381504,0,0,0,0,0,0,0,0,0,0
200610,A14381504,0,0,0,0,0,0,0,0,0,0
200611,A14381504,0,0,0,0,0,0,0,0,0,0
200612,A14381504,0,0,0,0,0,0,0,0,0,0
200701,A14381504,0,0,0,0,0,0,0,0,0,0
200702,A14381504,0,0,0,0,0,0,0,0,0,0
200703,A14381504,0,0,0,0,0,0,0,0,0,0
200704,A14381504,0,0,0,0,0,0,0,0,0,0
200705,A14381504,0,0,0,0,0,0,0,0,0,0
200706,A14381504,0,0,0,0,0,0,0,0,0,0
200707,A14381504,0,0,0,0,0,0,0,0,0,0
200708,A14381504,0,0,0,0,0,0,0,0,0,0
200709,A14381504,0,0,0,0,0,0,0,0,0,0
200710,A14381504,0,0,0,0,0,0,0,0,0,0
200711,A14381504,0,0,0,0,0,0,0,0,0,0
200712,A14381504,0,0,0,0,0,0,0,0,0,0
200801,A14381504,0,0,0,0,0,0,0,0,0,0
200802,A14381504,0,0,0,0,0,0,0,0,0,0
200803,A14381504,0,0,0,0,0,0,0,0,0,0
200804,A14381504,0,0,0,0,0,0,0,0,0,0
200805,A14381504,0,0,0,0,0,0,0,0,0,0
200806,A14381504,0,0,0,0,0,0,0,0,0,0
200807,A14381504,0,0,0,0,0,0,0,0,0,0
200808,A14381504,0,0,0,0,0,0,0,0,0,0
200809,A14381504,0,0,0,0,0,0,0,0,0,0
200810,A14381504,0,0,0,0,0,0,0,0,0,0
200811,A14381504,0,0,0,0,0,0,0,0,0,0
200812,A14381504,0,0,0,0,0,0,0,0,0,0
200901,A14381504,0,0,0,0,0,0,0,0,0,0
200902,A14381504,0,0,0,0,0,0,0,0,0,0
200903,A14381504,0,0,0,0,0,0,0,0,0,0
200904,A14381504,0,0,0,0,0,0,0,0,0,0
200905,A14381504,0,0,0,0,0,0,0,0,0,0
200906,A14381504,0,0,0,0,0,0,0,0,0,0
200907,A14381504,0,0,0,0,0,0,0,0,0,0
200908,A14381504,0,0,0,0,0,0,0,0,0,0
200909,A14381504,0,0,0,0,0,0,0,0,0,0
200910,A14381504,0,0,0,0,0,0,0,0,0,0
200911,A14381504,0,0,0,0,0,0,0,0,0,0
200912,A14381504,0,0,0,0,0,0,0,0,0,0
201001,A14381504,0,0,0,0,0,0,0,0,0,0
201002,A14381504,0,0,0,0,0,0,0,0,0,0
201003,A14381504,0,0,0,0,0,0,0,0,0,0
201004,A14381504,0,0,0,0,0,0,0,0,0,0
201005,A14381504,0,0,0,0,0,0,0,0,0,0
201006,A14381504,0,0,0,0,0,0,0,0,0,0
201007,A14381504,0,0,0,0,0,0,0,0,0,0
201008,A14381504,0,0,0,0,0,0,2793390,0,0,0
201009,A14381504,0,0,0,0,0,0,2198990,0,0,0
201010,A14381504,0,0,0,0,0,0,2013150,0,0,0
201011,A14381504,0,0,0,0,0,0,14715950,0,3222560,0
201012,A14381504,0,0,0,0,0,0,15500830,0,3088970,0
201101,A14381504,0,0,0,0,0,0,17797680,0,3141250,0
201102,A14381504,0,0,0,0,0,0,16832060,0,2943130,0
201103,A14381504,0,0,0,0,0,0,12541020,0,3102260,0
201104,A14381504,0,0,0,0,0,0,13736970,0,3128040,0
201105,A14381504,0,0,0,0,0,0,12786390,0,3296070,0
201106,A14381504,0,0,0,0,0,0,13366270,0,3283450,0
201107,A14381504,0,0,0,0,0,0,14932690,0,3376680,0
201108,A14381504,0,0,0,0,0,0,19300100,0,3577780,0
201109,A14381504,0,0,0,0,0,0,15271700,0,3235890,0
201110,A14381504,0,0,0,0,0,0,12415320,0,3310690,0
201111,A14381504,0,0,0,0,0,0,14234290,0,3135020,0
201112,A14381504,0,0,0,0,0,0,14730030,0,3103700,0
201201,A14381504,0,0,0,0,0,0,16532770,0,3116010,0
201202,A14381504,0,0,0,0,0,0,16502440,0,0,0
201203,A14381504,0,0,0,0,0,0,13432360,0,3781550,0
201204,A14381504,0,0,0,0,0,0,13852760,0,3756230,0
201205,A14381504,0,0,0,0,0,0,12365570,0,3863870,0
201206,A14381504,0,0,0,0,0,0,12727190,0,3864770,0
201207,A14381504,0,0,0,0,0,0,14397140,0,4067510,0
201208,A14381504,0,0,0,0,0,0,27474610,0,4129880,0
201209,A14381504,0,0,0,0,0,0,14729850,0,3813140,0
201210,A14381504,0,0,0,0,0,0,12283560,0,3974000,0
201211,A14381504,0,0,0,0,0,0,14919520,0,3722630,0
201212,A14381504,0,0,0,0,0,0,15600530,0,3743870,0
201301,A14381504,0,0,0,0,0,0,17523180,0,3735470,0
201302,A14381504,0,0,0,0,0,0,16954380,0,3458720,0
201303,A14381504,0,0,0,0,0,0,12877130,0,3925670,0
201304,A14381504,0,0,0,0,0,0,14263670,0,3857610,0
201305,A14381504,0,0,0,0,0,0,13039570,0,4132220,0
201306,A14381504,0,0,0,0,0,0,14084330,0,4402330,0
201307,A14381504,0,0,0,0,0,0,16701630,0,4452930,0
201308,A14381504,0,0,0,0,0,0,24537720,0,4446600,0
201309,A14381504,0,0,0,0,0,0,15749240,0,4068360,0
201310,A14381504,0,0,0,0,0,0,12697400,0,4026870,0
201311,A14381504,0,0,0,0,0,0,14468440,0,3981340,0
201312,A14381504,0,0,0,0,0,0,15720950,0,3956530,0
201401,A14381504,0,0,0,0,0,0,16974020,99893,4098770,4730
201402,A14381504,0,0,0,0,0,0,16256260,98215,3758680,4378
201403,A14381504,0,0,0,0,0,0,12602930,85147,4180270,4834
201404,A14381504,0,0,0,0,0,0,13844230,91303,4056920,4716
201405,A14381504,0,0,0,0,0,0,12467460,85500,4375180,5039
201406,A14381504,0,0,0,0,0,0,14103080,89244,4304400,4990
201407,A14381504,0,0,0,0,0,0,16151420,94025,4573460,5270
201408,A14381504,0,0,0,0,0,0,17568510,97178,4440380,5109
201409,A14381504,0,0,0,0,0,0,13851480,89035,4129840,4774
201410,A14381504,0,0,0,0,0,0,12359130,84197,4281520,4934
201411,A14381504,0,0,0,0,0,0,14357750,91195,4082650,4747
201412,A14381504,0,0,0,0,0,0,16004880,95054,4023880,4657
201501,A14381504,0,0,0,0,0,0,15943600,98798,4045020,4691
201502,A14381504,0,0,0,0,0,0,16112070,96214,3588220,4184
