requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200607,A15805202,0,0,0,0,0,0,0,0,0,0
200608,A15805202,0,0,0,0,0,0,0,0,0,0
200609,A15805202,0,0,0,0,0,0,0,0,0,0
200610,A15805202,0,0,0,0,0,0,0,0,0,0
200611,A15805202,0,0,0,0,0,0,0,0,0,0
200612,A15805202,0,0,0,0,0,0,0,0,0,0
200701,A15805202,0,0,0,0,0,0,0,0,0,0
200702,A15805202,0,0,0,0,0,0,0,0,0,0
200703,A15805202,0,0,0,0,0,0,0,0,0,0
200704,A15805202,0,0,0,0,0,0,0,0,0,0
200705,A15805202,0,0,0,0,0,0,0,0,0,0
200706,A15805202,0,0,0,0,0,0,0,0,0,0
200707,A15805202,0,0,0,0,0,0,0,0,0,0
200708,A15805202,0,0,0,0,0,0,0,0,0,0
200709,A15805202,0,0,0,0,0,0,0,0,0,0
200710,A15805202,0,0,0,0,0,0,0,0,0,0
200711,A15805202,0,0,0,0,0,0,0,0,0,0
200712,A15805202,0,0,0,0,0,0,0,0,0,0
200801,A15805202,0,0,0,0,0,0,0,0,0,0
200802,A15805202,0,0,0,0,0,0,0,0,0,0
200803,A15805202,0,0,0,0,0,0,0,0,0,0
200804,A15805202,0,0,0,0,0,0,0,0,0,0
200805,A15805202,0,0,0,0,0,0,0,0,0,0
200806,A15805202,0,0,0,0,0,0,0,0,0,0
200807,A15805202,0,0,0,0,0,0,0,0,0,0
200808,A15805202,0,0,0,0,0,0,0,0,0,0
200809,A15805202,0,0,0,0,0,0,0,0,0,0
200810,A15805202,0,0,0,0,0,0,0,0,0,0
200811,A15805202,0,0,0,0,0,0,0,0,0,0
200812,A15805202,0,0,0,0,0,0,0,0,0,0
200901,A15805202,0,0,0,0,0,0,0,0,0,0
200902,A15805202,0,0,0,0,0,0,0,0,0,0
200903,A15805202,0,0,0,0,0,0,0,0,0,0
200904,A15805202,0,0,0,0,0,0,0,0,0,0
200905,A15805202,0,0,0,0,0,0,0,0,0,0
200906,A15805202,0,0,0,0,0,0,0,0,0,0
200907,A15805202,0,0,0,0,0,0,0,0,0,0
200908,A15805202,0,0,0,0,0,0,0,0,0,0
200909,A15805202,0,0,0,0,0,0,0,0,0,0
200910,A15805202,0,0,0,0,0,0,0,0,0,0
200911,A15805202,0,0,0,0,0,0,0,0,0,0
200912,A15805202,0,0,0,0,0,0,0,0,0,0
201001,A15805202,0,0,0,0,0,0,0,0,0,0
201002,A15805202,0,0,0,0,0,0,31602890,0,4572690,0
201003,A15805202,0,0,0,0,0,0,25465010,0,3994630,0
201004,A15805202,0,0,0,0,0,0,26923580,0,4349320,0
201005,A15805202,0,0,0,0,0,0,25537740,0,0,0
201006,A15805202,0,0,0,0,0,0,26924060,0,4774260,0
201007,A15805202,0,0,0,0,0,0,30436540,0,4770900,0
201008,A15805202,0,0,0,0,0,0,44097370,0,4995940,0
201009,A15805202,0,0,0,0,0,0,46484090,0,4785650,0
201010,A15805202,0,0,0,0,0,0,26825090,0,4376610,0
201011,A15805202,0,0,0,0,0,0,27090020,0,4469290,0
201012,A15805202,0,0,0,0,0,0,28247780,0,4198350,0
201101,A15805202,0,0,0,0,0,0,32898640,0,4592640,0
201102,A15805202,0,0,0,0,0,0,33915240,0,4621890,0
201103,A15805202,0,0,0,0,191690,0,26991000,0,4414690,0
201104,A15805202,0,0,0,0,0,0,0,0,0,0
201105,A15805202,0,0,0,0,0,0,25411500,0,4387350,0
201106,A15805202,0,0,0,0,0,0,27155380,0,4791920,0
201107,A15805202,0,0,0,0,0,0,40864680,0,4794790,0
