requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200005,A15807316,0,0,0,0,0,0,0,0,0,0
200006,A15807316,0,0,0,0,0,0,0,0,0,0
200007,A15807316,0,0,0,0,0,0,0,0,0,0
200008,A15807316,0,0,0,0,0,0,0,0,0,0
200009,A15807316,0,0,0,0,0,0,0,0,0,0
200010,A15807316,0,0,0,0,0,0,0,0,0,0
200011,A15807316,0,0,0,0,0,0,0,0,0,0
200012,A15807316,0,0,0,0,0,0,0,0,0,0
200101,A15807316,0,0,0,0,0,0,0,0,0,0
200102,A15807316,0,0,0,0,0,0,0,0,0,0
200103,A15807316,0,0,0,0,0,0,0,0,0,0
200104,A15807316,0,0,0,0,0,0,0,0,0,0
200105,A15807316,0,0,0,0,0,0,0,0,0,0
200106,A15807316,0,0,0,0,0,0,0,0,0,0
200107,A15807316,0,0,0,0,0,0,0,0,0,0
200108,A15807316,0,0,0,0,0,0,0,0,0,0
200109,A15807316,0,0,0,0,0,0,0,0,0,0
200110,A15807316,0,0,0,0,0,0,0,0,0,0
200111,A15807316,0,0,0,0,0,0,0,0,0,0
200112,A15807316,0,0,0,0,0,0,0,0,0,0
200201,A15807316,0,0,0,0,0,0,0,0,0,0
200202,A15807316,0,0,0,0,0,0,0,0,0,0
200203,A15807316,0,0,0,0,0,0,0,0,0,0
200204,A15807316,0,0,0,0,0,0,0,0,0,0
200205,A15807316,0,0,0,0,0,0,0,0,0,0
200206,A15807316,0,0,0,0,0,0,0,0,0,0
200207,A15807316,0,0,0,0,0,0,0,0,0,0
200208,A15807316,0,0,0,0,0,0,0,0,0,0
200209,A15807316,0,0,0,0,0,0,0,0,0,0
200210,A15807316,0,0,0,0,0,0,0,0,0,0
200211,A15807316,0,0,0,0,0,0,0,0,0,0
200212,A15807316,0,0,0,0,0,0,0,0,0,0
200301,A15807316,0,0,0,0,0,0,0,0,0,0
200302,A15807316,0,0,0,0,0,0,0,0,0,0
200303,A15807316,0,0,0,0,0,0,0,0,0,0
200304,A15807316,0,0,0,0,0,0,0,0,0,0
200305,A15807316,0,0,0,0,0,0,0,0,0,0
200306,A15807316,0,0,0,0,0,0,0,0,0,0
200307,A15807316,0,0,0,0,0,0,0,0,0,0
200308,A15807316,0,0,0,0,0,0,0,0,0,0
200309,A15807316,0,0,0,0,0,0,0,0,0,0
200310,A15807316,0,0,0,0,0,0,0,0,0,0
200311,A15807316,0,0,0,0,0,0,0,0,0,0
200312,A15807316,0,0,0,0,0,0,0,0,0,0
200401,A15807316,0,0,0,0,0,0,0,0,0,0
200402,A15807316,0,0,0,0,0,0,0,0,0,0
200403,A15807316,0,0,0,0,0,0,0,0,0,0
200404,A15807316,0,0,0,0,0,0,0,0,0,0
200405,A15807316,0,0,0,0,0,0,0,0,0,0
200406,A15807316,0,0,0,0,0,0,0,0,0,0
200407,A15807316,0,0,0,0,0,0,0,0,0,0
200408,A15807316,0,0,0,0,0,0,0,0,0,0
200409,A15807316,0,0,0,0,0,0,0,0,0,0
200410,A15807316,0,0,0,0,0,0,0,0,0,0
200411,A15807316,0,0,0,0,0,0,0,0,0,0
200412,A15807316,0,0,0,0,0,0,0,0,0,0
200501,A15807316,0,0,0,0,0,0,0,0,0,0
200502,A15807316,0,0,0,0,0,0,0,0,0,0
200503,A15807316,0,0,0,0,0,0,0,0,0,0
200504,A15807316,0,0,0,0,0,0,0,0,0,0
200505,A15807316,0,0,0,0,0,0,0,0,0,0
200506,A15807316,0,0,0,0,0,0,0,0,0,0
200507,A15807316,0,0,0,0,0,0,0,0,0,0
200508,A15807316,0,0,0,0,0,0,0,0,0,0
200509,A15807316,0,0,0,0,0,0,0,0,0,0
200510,A15807316,0,0,0,0,0,0,0,0,0,0
200511,A15807316,0,0,0,0,0,0,0,0,0,0
200512,A15807316,0,0,0,0,0,0,0,0,0,0
200601,A15807316,0,0,0,0,0,0,0,0,0,0
200602,A15807316,0,0,0,0,0,0,0,0,0,0
200603,A15807316,0,0,0,0,0,0,0,0,0,0
200604,A15807316,0,0,0,0,0,0,0,0,0,0
200605,A15807316,0,0,0,0,0,0,0,0,0,0
200606,A15807316,0,0,0,0,0,0,0,0,0,0
200607,A15807316,0,0,0,0,0,0,0,0,0,0
200608,A15807316,0,0,0,0,0,0,0,0,0,0
200609,A15807316,0,0,0,0,0,0,0,0,0,0
200610,A15807316,0,0,0,0,0,0,0,0,0,0
200611,A15807316,0,0,0,0,0,0,0,0,0,0
200612,A15807316,0,0,0,0,0,0,0,0,0,0
200701,A15807316,0,0,0,0,0,0,0,0,0,0
200702,A15807316,0,0,0,0,0,0,0,0,0,0
200703,A15807316,0,0,0,0,0,0,0,0,0,0
200704,A15807316,0,0,0,0,0,0,0,0,0,0
200705,A15807316,0,0,0,0,0,0,0,0,0,0
200706,A15807316,0,0,0,0,0,0,0,0,0,0
200707,A15807316,0,0,0,0,0,0,0,0,0,0
200708,A15807316,0,0,0,0,0,0,0,0,0,0
200709,A15807316,0,0,0,0,0,0,0,0,0,0
200710,A15807316,0,0,0,0,0,0,0,0,0,0
200711,A15807316,0,0,0,0,0,0,0,0,0,0
200712,A15807316,0,0,0,0,0,0,0,0,0,0
200801,A15807316,0,0,0,0,0,0,0,0,0,0
200802,A15807316,0,0,0,0,0,0,0,0,0,0
200803,A15807316,0,0,0,0,0,0,0,0,0,0
200804,A15807316,0,0,0,0,0,0,0,0,0,0
200805,A15807316,0,0,0,0,0,0,0,0,0,0
200806,A15807316,0,0,0,0,0,0,0,0,0,0
200807,A15807316,0,0,0,0,0,0,0,0,0,0
200808,A15807316,0,0,0,0,0,0,0,0,0,0
200809,A15807316,0,0,0,0,0,0,0,0,0,0
200810,A15807316,0,0,0,0,0,0,0,0,0,0
200811,A15807316,0,0,0,0,0,0,0,0,0,0
200812,A15807316,0,0,0,0,0,0,0,0,0,0
200901,A15807316,0,0,0,0,0,0,0,0,0,0
200902,A15807316,0,0,0,0,0,0,0,0,0,0
200903,A15807316,0,0,0,0,0,0,0,0,0,0
200904,A15807316,0,0,0,0,0,0,0,0,0,0
200905,A15807316,0,0,0,0,0,0,0,0,0,0
200906,A15807316,0,0,0,0,0,0,0,0,0,0
200907,A15807316,0,0,0,0,0,0,0,0,0,0
200908,A15807316,0,0,0,0,0,0,0,0,0,0
200909,A15807316,0,0,0,0,0,0,0,0,0,0
200910,A15807316,0,0,0,0,0,0,0,0,0,0
200911,A15807316,0,0,0,0,0,0,0,0,0,0
200912,A15807316,0,0,0,0,0,0,0,0,0,0
201001,A15807316,0,0,0,0,0,0,0,0,0,0
201002,A15807316,0,0,0,0,0,0,0,0,0,0
201003,A15807316,0,0,0,0,0,0,0,0,0,0
201004,A15807316,0,0,0,0,0,0,0,0,0,0
201005,A15807316,0,0,0,0,0,0,0,0,0,0
201006,A15807316,0,0,0,0,0,0,0,0,0,0
201007,A15807316,0,0,0,0,0,0,0,0,0,0
201008,A15807316,0,0,0,0,0,0,0,0,0,0
201009,A15807316,4636500,0,5271000,0,0,0,29321900,0,18799240,0
201010,A15807316,18862820,0,8988000,0,0,0,29181350,0,0,0
201011,A15807316,41222690,0,11210400,0,0,0,29071020,0,17152210,0
201012,A15807316,71526830,0,18630000,0,0,0,33582160,0,0,0
201101,A15807316,89937130,0,22260000,0,0,0,34134610,0,15352850,0
201102,A15807316,58133766,0,18414800,0,0,0,27095406,0,0,0
201103,A15807316,53013503,0,19652000,0,0,0,29783582,0,15420539,0
201104,A15807316,25485742,0,13417600,0,0,0,28258145,0,0,0
201105,A15807316,10270860,0,0,0,0,0,28798410,0,16598640,0
201106,A15807316,3570047,0,0,0,0,0,28703687,0,0,0
201107,A15807316,3193248,0,0,0,0,0,37081368,0,17586640,0
201108,A15807316,2766414,0,0,0,0,0,39325088,0,0,0
201109,A15807316,3625887,0,0,0,0,0,29250270,0,0,0
201110,A15807316,15802580,0,0,0,0,0,30025426,0,0,0
201111,A15807316,69439682,0,0,0,0,0,34117416,0,0,0
201112,A15807316,69439682,0,0,0,0,0,34117416,0,0,0
201201,A15807316,69439682,0,0,0,0,0,34117416,0,0,0
201202,A15807316,70097380,0,0,0,0,0,29065243,0,0,0
201203,A15807316,51700783,0,0,0,0,0,30646893,0,0,0
201204,A15807316,24770255,0,0,0,0,0,28661730,0,0,0
201205,A15807316,6048840,0,0,0,0,0,28747910,0,0,0
201206,A15807316,2769640,0,0,0,0,0,29804760,0,0,0
201207,A15807316,2802553,0,0,0,0,0,38450928,0,0,0
201208,A15807316,2632590,0,0,0,0,0,46520990,0,0,0
