requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201002,A15873902,0,0,0,0,0,0,0,0,0,0
201003,A15873902,0,0,0,0,0,0,0,0,0,0
201004,A15873902,0,0,0,0,0,0,7950190,0,207300,0
201005,A15873902,0,0,0,0,0,0,9273640,0,0,0
201006,A15873902,0,0,0,0,0,0,5486430,0,452130,0
201007,A15873902,0,0,0,0,0,0,8720760,0,0,0
201008,A15873902,0,0,0,0,0,0,43403020,0,0,0
201009,A15873902,0,0,0,0,0,0,22618520,0,0,0
201010,A15873902,0,0,0,0,0,0,0,0,0,0
201011,A15873902,0,0,0,0,0,0,27419260,0,0,0
201012,A15873902,0,0,0,0,0,0,37146640,0,5728150,0
201101,A15873902,0,0,0,0,0,0,36728290,0,0,0
201102,A15873902,0,0,0,0,0,0,22115730,0,0,0
201103,A15873902,0,0,0,0,0,0,27233730,0,0,0
201104,A15873902,0,0,0,0,0,0,21312760,0,5545830,0
201105,A15873902,0,0,0,0,0,0,22234270,0,0,0
201106,A15873902,0,0,0,0,0,0,22453460,0,6034630,0
201107,A15873902,0,0,0,0,0,0,33769510,0,0,0
201108,A15873902,0,0,0,0,0,0,35092980,0,5961300,0
201109,A15873902,0,0,0,0,0,0,24397290,0,0,0
201110,A15873902,0,0,0,0,0,0,24542440,0,5833520,0
201111,A15873902,0,0,0,0,0,0,25491130,0,0,0
201112,A15873902,0,0,0,0,0,0,30229330,0,5783350,0
201201,A15873902,0,0,0,0,0,0,31464540,0,0,0
201202,A15873902,0,0,0,0,0,0,25920440,0,6294780,0
201203,A15873902,0,0,0,0,0,0,25006190,0,0,0
201204,A15873902,0,0,0,0,0,0,22365660,0,6410580,0
201205,A15873902,0,0,0,0,0,0,21946370,0,0,0
201206,A15873902,0,0,0,0,0,0,19969100,0,7105390,0
201207,A15873902,0,0,0,0,0,0,36693830,0,0,0
201208,A15873902,0,0,0,0,0,0,50897070,0,7134330,0
201209,A15873902,0,0,0,0,0,0,22714400,0,0,0
201210,A15873902,0,0,0,0,0,0,23992900,0,6758000,0
201211,A15873902,0,0,0,0,0,0,25978270,0,0,0
