requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
198804,A15884703,0,0,0,0,0,0,0,0,0,0
198805,A15884703,0,0,0,0,0,0,0,0,0,0
198806,A15884703,0,0,0,0,0,0,0,0,0,0
198807,A15884703,0,0,0,0,0,0,0,0,0,0
198808,A15884703,0,0,0,0,0,0,0,0,0,0
198809,A15884703,0,0,0,0,0,0,0,0,0,0
198810,A15884703,0,0,0,0,0,0,0,0,0,0
198811,A15884703,0,0,0,0,0,0,0,0,0,0
198812,A15884703,0,0,0,0,0,0,0,0,0,0
198901,A15884703,0,0,0,0,0,0,0,0,0,0
198902,A15884703,0,0,0,0,0,0,0,0,0,0
198903,A15884703,0,0,0,0,0,0,0,0,0,0
198904,A15884703,0,0,0,0,0,0,0,0,0,0
198905,A15884703,0,0,0,0,0,0,0,0,0,0
198906,A15884703,0,0,0,0,0,0,0,0,0,0
198907,A15884703,0,0,0,0,0,0,0,0,0,0
198908,A15884703,0,0,0,0,0,0,0,0,0,0
198909,A15884703,0,0,0,0,0,0,0,0,0,0
198910,A15884703,0,0,0,0,0,0,0,0,0,0
198911,A15884703,0,0,0,0,0,0,0,0,0,0
198912,A15884703,0,0,0,0,0,0,0,0,0,0
199001,A15884703,0,0,0,0,0,0,0,0,0,0
199002,A15884703,0,0,0,0,0,0,0,0,0,0
199003,A15884703,0,0,0,0,0,0,0,0,0,0
199004,A15884703,0,0,0,0,0,0,0,0,0,0
199005,A15884703,0,0,0,0,0,0,0,0,0,0
199006,A15884703,0,0,0,0,0,0,0,0,0,0
199007,A15884703,0,0,0,0,0,0,0,0,0,0
199008,A15884703,0,0,0,0,0,0,0,0,0,0
199009,A15884703,0,0,0,0,0,0,0,0,0,0
199010,A15884703,0,0,0,0,0,0,0,0,0,0
199011,A15884703,0,0,0,0,0,0,0,0,0,0
199012,A15884703,0,0,0,0,0,0,0,0,0,0
199101,A15884703,0,0,0,0,0,0,0,0,0,0
199102,A15884703,0,0,0,0,0,0,0,0,0,0
199103,A15884703,0,0,0,0,0,0,0,0,0,0
199104,A15884703,0,0,0,0,0,0,0,0,0,0
199105,A15884703,0,0,0,0,0,0,0,0,0,0
199106,A15884703,0,0,0,0,0,0,0,0,0,0
199107,A15884703,0,0,0,0,0,0,0,0,0,0
199108,A15884703,0,0,0,0,0,0,0,0,0,0
199109,A15884703,0,0,0,0,0,0,0,0,0,0
199110,A15884703,0,0,0,0,0,0,0,0,0,0
199111,A15884703,0,0,0,0,0,0,0,0,0,0
199112,A15884703,0,0,0,0,0,0,0,0,0,0
199201,A15884703,0,0,0,0,0,0,0,0,0,0
199202,A15884703,0,0,0,0,0,0,0,0,0,0
199203,A15884703,0,0,0,0,0,0,0,0,0,0
199204,A15884703,0,0,0,0,0,0,0,0,0,0
199205,A15884703,0,0,0,0,0,0,0,0,0,0
199206,A15884703,0,0,0,0,0,0,0,0,0,0
199207,A15884703,0,0,0,0,0,0,0,0,0,0
199208,A15884703,0,0,0,0,0,0,0,0,0,0
199209,A15884703,0,0,0,0,0,0,0,0,0,0
199210,A15884703,0,0,0,0,0,0,0,0,0,0
199211,A15884703,0,0,0,0,0,0,0,0,0,0
199212,A15884703,0,0,0,0,0,0,0,0,0,0
199301,A15884703,0,0,0,0,0,0,0,0,0,0
199302,A15884703,0,0,0,0,0,0,0,0,0,0
199303,A15884703,0,0,0,0,0,0,0,0,0,0
199304,A15884703,0,0,0,0,0,0,0,0,0,0
199305,A15884703,0,0,0,0,0,0,0,0,0,0
199306,A15884703,0,0,0,0,0,0,0,0,0,0
199307,A15884703,0,0,0,0,0,0,0,0,0,0
199308,A15884703,0,0,0,0,0,0,0,0,0,0
199309,A15884703,0,0,0,0,0,0,0,0,0,0
199310,A15884703,0,0,0,0,0,0,0,0,0,0
199311,A15884703,0,0,0,0,0,0,0,0,0,0
199312,A15884703,0,0,0,0,0,0,0,0,0,0
199401,A15884703,0,0,0,0,0,0,0,0,0,0
199402,A15884703,0,0,0,0,0,0,0,0,0,0
199403,A15884703,0,0,0,0,0,0,0,0,0,0
199404,A15884703,0,0,0,0,0,0,0,0,0,0
199405,A15884703,0,0,0,0,0,0,0,0,0,0
199406,A15884703,0,0,0,0,0,0,0,0,0,0
199407,A15884703,0,0,0,0,0,0,0,0,0,0
199408,A15884703,0,0,0,0,0,0,0,0,0,0
199409,A15884703,0,0,0,0,0,0,0,0,0,0
199410,A15884703,0,0,0,0,0,0,0,0,0,0
199411,A15884703,0,0,0,0,0,0,0,0,0,0
199412,A15884703,0,0,0,0,0,0,0,0,0,0
199501,A15884703,0,0,0,0,0,0,0,0,0,0
199502,A15884703,0,0,0,0,0,0,0,0,0,0
199503,A15884703,0,0,0,0,0,0,0,0,0,0
199504,A15884703,0,0,0,0,0,0,0,0,0,0
199505,A15884703,0,0,0,0,0,0,0,0,0,0
