requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200901,A41279910,0,0,0,0,0,0,0,0,0,0
200902,A41279910,0,0,0,0,0,0,0,0,0,0
200903,A41279910,0,0,0,0,0,0,0,0,0,0
200904,A41279910,0,0,0,0,0,0,0,0,0,0
200905,A41279910,0,0,0,0,0,0,0,0,0,0
200906,A41279910,0,0,0,0,0,0,0,0,0,0
200907,A41279910,0,0,0,0,0,0,0,0,0,0
200908,A41279910,0,0,0,0,0,0,0,0,0,0
200909,A41279910,0,0,0,0,0,0,0,0,0,0
200910,A41279910,0,0,0,0,0,0,0,0,0,0
200911,A41279910,0,0,0,0,0,0,0,0,0,0
200912,A41279910,0,0,0,0,0,0,0,0,0,0
201001,A41279910,0,0,0,0,0,0,0,0,0,0
201002,A41279910,0,0,0,0,0,0,0,0,0,0
201003,A41279910,0,0,0,0,0,0,0,0,0,0
201004,A41279910,32775332,0,17710560,0,0,0,48242950,0,10358580,0
201005,A41279910,9518602,0,16027110,0,0,0,44584750,0,9934320,0
201006,A41279910,939922,0,13168880,0,0,0,45995260,0,10879730,0
201007,A41279910,132832,0,10342800,0,0,0,49820940,0,11768540,0
201008,A41279910,135287,0,8625445,0,0,0,66264190,0,12479860,0
201009,A41279910,2076826,0,10632816,0,0,0,70632540,0,11033890,0
201010,A41279910,19578950,0,14554160,0,0,0,49709550,0,10843440,0
201011,A41279910,19578950,0,14554160,0,0,0,49709550,0,10843440,0
201012,A41279910,70092140,0,27830520,0,0,0,51567040,0,10521780,0
201101,A41279910,96198510,0,29322660,0,0,0,72576795,0,10927720,0
201102,A41279910,60485000,0,26080880,0,0,0,69445627,0,10822610,0
201103,A41279910,49872060,0,25828270,0,0,0,51065743,0,10592510,0
201104,A41279910,28924550,0,18104660,0,0,0,51077611,0,10822610,0
201105,A41279910,6987172,0,20754328,0,0,0,47421683,0,11310270,0
201106,A41279910,978400,0,13717060,0,0,0,48662150,0,11130380,0
201107,A41279910,497852,0,12560780,0,0,0,49318163,0,11992150,0
201108,A41279910,4156085,0,10946395,0,0,0,66353663,0,12238370,0
201109,A41279910,4471450,0,12548200,0,0,0,60422365,0,11684370,0
201110,A41279910,19450140,0,16107120,0,0,0,51362359,0,11068620,0
201111,A41279910,23484892,0,21649500,0,0,0,53100412,0,11437770,0
201112,A41279910,72606930,0,29523200,0,0,0,50450293,0,11095050,0
201201,A41279910,88094522,0,32306400,0,0,0,71273410,0,11344760,0
201202,A41279910,77908190,0,29917610,0,0,0,76644782,0,12314250,0
201203,A41279910,54361630,0,28075500,0,0,0,56241511,0,12953460,0
201204,A41279910,29904900,0,20875360,0,0,0,54609904,0,13521660,0
201205,A41279910,6779320,0,17367800,0,0,0,49131493,0,13024500,0
201206,A41279910,303530,0,13963040,0,0,0,49629223,0,14160890,0
201207,A41279910,4209130,0,12471420,0,0,0,50722585,0,13876780,0
201208,A41279910,4566630,0,14470650,0,0,0,69184418,0,13592690,0
201209,A41279910,4564520,0,14470650,0,0,0,69184418,0,13592690,0
201210,A41279910,16316390,0,17971460,0,0,0,49451946,0,13592690,0
201211,A41279910,49228380,0,25785600,0,0,0,54590427,0,13024500,0
201212,A41279910,95547870,0,33168800,0,0,0,57848788,0,12882440,0
201301,A41279910,97200780,0,33566400,0,0,0,70211081,0,12243210,0
201302,A41279910,74602240,0,30245600,0,0,0,67450471,0,12651750,0
201303,A41279910,53035030,0,29768700,0,0,0,54729841,0,12951010,0
201304,A41279910,34726510,0,24372000,0,0,0,54383883,0,13848750,0
201305,A41279910,10360430,0,20273400,0,0,0,49914189,0,13923560,0
201306,A41279910,292180,0,13807950,0,0,0,51453718,0,14588980,0
201307,A41279910,4986330,0,12472700,0,0,0,55296048,0,14588980,0
201308,A41279910,4417180,0,10066470,0,0,0,76829161,0,15104770,0
201309,A41279910,1204800,0,12141000,0,0,0,82002067,0,14506270,0
201310,A41279910,14353520,0,17627400,0,0,0,49461683,0,13541600,0
201311,A41279910,43715080,0,27816600,0,0,0,50865457,0,13766040,0
201312,A41279910,76592880,0,35352800,0,0,0,54312858,0,13242340,0
201401,A41279910,83352880,64263,33997600,6071,0,0,59104554,270900,13395720,15678
201402,A41279910,66622690,51480,28749600,5324,0,0,54329058,270700,13627780,13877
201403,A41279910,43982460,36749,31239000,5785,0,0,43729730,238817,13763920,15631
201404,A41279910,18179740,13878,24969600,5202,0,0,48066619,255611,13842520,15008
201405,A41279910,8135230,6129,19820000,4955,0,0,43146857,242849,14787420,16096
201406,A41279910,4494510,363,12564160,3976,0,0,45931587,252734,15338390,16385
201407,A41279910,4300450,0,10376080,3628,0,0,46679268,254283,15256950,17343
201408,A41279910,4572400,475,9745920,3384,0,0,60317215,301605,15333180,16841
201409,A41279910,4916070,1455,11206430,4261,0,0,51352240,266766,15647590,17165
201410,A41279910,18757700,10867,11365200,4059,0,0,43682920,245919,14153520,15069
201411,A41279910,46126440,31311,15498000,5166,0,0,45338832,250590,15007290,15800
201412,A41279910,105670730,73971,17070000,5690,0,0,46554289,258431,13986340,15673
201501,A41279910,96368570,71843,21408600,5755,0,0,51797078,267875,14383580,15538
201502,A41279910,78178700,0,19989480,0,0,0,50085493,0,13761560,0
201503,A41279910,61201830,46083,20818000,5948,0,0,41487158,238447,14309220,16015
201504,A41279910,27335990,20608,17693000,5444,0,0,46527770,254088,14695400,15580
201505,A41279910,9295250,3890,16009500,4926,0,0,42007298,241161,14382750,16297
201506,A41279910,4635300,221,12006820,4319,0,0,43999894,247741,16503250,16904
201507,A41279910,4311190,18,8298720,3842,0,0,44663169,250759,14453030,17014
201508,A41279910,4307420,0,6883800,3278,0,0,57925014,312049,15710580,16851
201509,A41279910,4640300,222,8217600,3840,0,0,47782586,286747,15160380,16502
201510,A41279910,16490110,9820,10562500,4225,0,0,38746317,238505,14114210,16321
201511,A41279910,45924250,28583,11996800,3749,0,0,45542703,253725,14123450,13255
201512,A41279910,84695230,66645,14920000,5968,0,0,46611813,255021,13952340,15742
201601,A41279910,97754770,71193,20829600,5786,0,0,49997080,264531,14726520,16457
201602,A41279910,77212670,53738,20305600,5488,0,0,54648820,265746,13943150,15580
201603,A41279910,50554290,39247,16980000,5660,0,0,43199930,247354,14404680,14965
201604,A41279910,19621800,14476,15702750,4985,0,0,44408040,253177,14019990,15586
201605,A41279910,7784680,3119,14197050,4507,0,0,40876180,245568,14719100,15966
201606,A41279910,5134170,136,10333260,3717,0,0,43033040,249838,15432120,16813
201607,A41279910,4883310,128,8535000,3414,0,0,45518090,250081,15356170,17045
201608,A41279910,4647410,0,5753000,2615,0,0,78882800,358757,17248230,17812
201609,A41279910,4662060,0,7458900,3174,0,0,45826080,351992,16936500,17137
201610,A41279910,14126570,10495,8467200,4032,0,0,34555780,248491,15676250,16230
201611,A41279910,45037190,44135,9916200,4722,0,0,44427830,253979,14721210,16345
201612,A41279910,71918470,67001,10387300,5467,0,0,44312410,253922,13940500,15671
201701,A41279910,84623910,75858,12054000,5740,0,0,41820230,268054,15288730,16149
201702,A41279910,71621990,63257,11323400,5147,0,0,47965390,268739,13770250,14804
201703,A41279910,54136090,44628,11746810,5590,0,0,36864190,236241,14260620,15267
201704,A41279910,23138680,16466,13154600,4964,0,0,38978580,254361,15565080,15793
201705,A41279910,8267550,2334,14306500,4402,0,0,35412120,240875,15235720,15783
201706,A41279910,5428880,606,11552000,3610,0,0,36406780,245332,15723760,16548
201707,A41279910,4909110,226,8830500,3045,0,0,38844970,258779,16211800,17157
201708,A41279910,4634780,3,8143200,2808,0,0,70118960,372993,15557070,16343
201709,A41279910,4886860,264,9965100,3378,0,0,44156330,284975,15153000,17816
201710,A41279910,16470580,10582,8213100,3911,0,0,35004420,239455,15629550,16455
201711,A41279910,49726070,44048,9571800,4558,0,0,36769100,246198,14244400,15672
201712,A41279910,85265630,73350,10576000,5288,0,0,37885970,249768,15308050,15732
201801,A41279910,92783990,78196,11866800,5394,0,0,45083370,263300,15748750,15419
201802,A41279910,77368330,64326,11458960,5048,0,0,49361760,263308,13227690,14236
201803,A41279910,46818260,35601,12275100,5337,0,0,39700580,237668,16249050,15909
201804,A41279910,23644850,15569,12879000,4770,0,0,38075060,253511,14735980,15637
