requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200911,A41279914,0,0,0,0,0,0,0,0,0,0
200912,A41279914,0,0,0,0,0,0,0,0,775690,0
201001,A41279914,0,0,0,0,0,0,0,0,0,0
201002,A41279914,0,0,0,0,0,0,0,0,0,0
201003,A41279914,0,0,0,0,0,0,0,0,0,0
201004,A41279914,0,0,0,0,0,0,0,0,0,0
201005,A41279914,0,0,0,0,0,0,0,0,0,0
201006,A41279914,0,0,0,0,0,0,0,0,4721800,0
201007,A41279914,0,0,0,0,0,0,0,0,0,0
201008,A41279914,0,0,0,0,0,0,0,0,0,0
201009,A41279914,0,0,0,0,0,0,0,0,0,0
201010,A41279914,13431020,0,0,0,0,0,20019700,0,4440170,0
201011,A41279914,23464150,0,8978840,0,0,0,20121430,0,4211630,0
201012,A41279914,36917760,0,16119960,0,0,0,21535530,0,4386490,0
201101,A41279914,51266430,0,17767009,0,0,0,25353240,0,4932070,0
201102,A41279914,31371632,0,15665769,0,0,0,28072010,0,4397600,0
201103,A41279914,28393459,0,14342400,0,0,0,20442220,0,5154210,0
201104,A41279914,15382370,0,11189640,0,0,0,21140760,0,4870220,0
201105,A41279914,12361219,0,2580760,0,0,0,19776950,0,5209370,0
201106,A41279914,2510389,0,6609120,0,0,0,20856110,0,6244750,0
201107,A41279914,2431189,0,5101300,0,0,0,20661140,0,5053900,0
201108,A41279914,2292169,0,4185600,0,0,0,27044850,0,5300420,0
201109,A41279914,3424292,0,4266000,0,0,0,25441010,0,5229120,0
201110,A41279914,13081812,0,6846480,0,0,0,21331860,0,4980140,0
201111,A41279914,19658423,0,7347000,0,0,0,23734850,0,5116290,0
201112,A41279914,45062680,0,14701500,0,0,0,23809480,0,4972800,0
201201,A41279914,53929130,0,16571500,0,0,0,25622910,0,5225300,0
201202,A41279914,47168196,0,15295800,0,0,0,26337930,0,5460490,0
201203,A41279914,31700122,0,15582000,0,0,0,23080200,0,5782620,0
201204,A41279914,16106106,0,12556800,0,0,0,24045650,0,5650830,0
201205,A41279914,4687436,0,10049600,0,0,0,21972380,0,6025110,0
201206,A41279914,3304897,0,7203000,0,0,0,22468930,0,6271940,0
201207,A41279914,3069919,0,5954480,0,0,0,22437640,0,6233970,0
201208,A41279914,2967299,0,4578560,0,0,0,33851110,0,6218250,0
201209,A41279914,4077612,0,7168800,0,0,0,30401650,0,5922030,0
201210,A41279914,10199094,0,11216100,0,0,0,22416740,0,5934540,0
201211,A41279914,30947399,0,13420000,0,0,0,23878820,0,5698440,0
201212,A41279914,61979215,0,16225000,0,0,0,24080190,0,5860200,0
201301,A41279914,61752766,0,17352500,0,0,0,29119110,0,5952210,0
201302,A41279914,47810373,0,16368000,0,0,0,27491580,0,5549910,0
201303,A41279914,35541701,0,15587900,0,0,0,24253930,0,6651250,0
201304,A41279914,22466523,0,14223820,0,0,0,26892710,0,6448710,0
201305,A41279914,6634874,0,12631920,0,0,0,25401920,0,7347450,0
201306,A41279914,3303758,0,7232120,0,0,0,26480890,0,7249800,0
201307,A41279914,3215934,0,6048150,0,0,0,29287020,0,7281140,0
201308,A41279914,2938103,0,4734800,0,0,0,38147560,0,7295640,0
201309,A41279914,3738411,0,6129900,0,0,0,39014130,0,6933550,0
201310,A41279914,10706400,0,8466500,0,0,0,26045600,0,6905100,0
201311,A41279914,32788361,0,12833100,0,0,0,27672870,0,6427230,0
201312,A41279914,52842596,0,18696000,0,0,0,29219490,0,6837020,0
201401,A41279914,54907260,25553,19337670,3447,0,0,31252659,136943,6976940,8722
201402,A41279914,42227622,19915,17099810,3059,0,0,31658819,137289,6469330,7836
201403,A41279914,30095218,13700,16478550,3329,0,0,24819832,121227,7310920,8775
201404,A41279914,13084582,5943,13867360,2938,0,0,26591613,129822,6834380,8259
201405,A41279914,4835600,2195,23039400,2677,0,0,24170212,122522,7250000,8728
201406,A41279914,3291204,143,7259000,2074,0,0,26086980,127469,7216050,8687
201407,A41279914,3019301,4,5523550,1811,0,0,27497491,127151,7563370,9068
201408,A41279914,3001112,0,5436720,1678,0,0,36685711,149379,7340100,8828
201409,A41279914,3686775,500,6675000,1875,0,0,29512332,133818,7087530,8526
201410,A41279914,10655950,5386,9407520,2256,0,0,24231559,123438,6915960,8331
201411,A41279914,25507204,13596,13204620,2717,0,0,26019036,127299,6952910,8363
201412,A41279914,56150158,25399,18354000,3220,0,0,28094317,129774,6978600,8371
201501,A41279914,52185444,22129,19074440,3388,0,0,31074629,134601,7137090,8545
201502,A41279914,42335304,17432,17340400,3080,0,0,30043582,132375,6468570,7828
201503,A41279914,32679399,14570,16653120,3344,0,0,24354087,118951,7189770,8607
201504,A41279914,13501893,8282,13586040,2903,0,0,26250616,127738,7545320,8164
201505,A41279914,4760103,1438,10930600,2542,0,0,23722110,121008,7174200,8599
201506,A41279914,3280006,146,7374500,2107,0,0,24752049,122880,7737030,8726
201507,A41279914,2997740,0,5392800,1712,0,0,26467846,123472,7424570,8877
