requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201009,A41279923,3755390,0,159000,0,0,0,7796000,0,644920,0
201010,A41279923,9326000,0,1038280,0,0,0,9113090,0,800440,0
201011,A41279923,22224780,0,3320880,0,0,0,14438210,0,2013390,0
201012,A41279923,36779470,0,5454000,0,0,0,19422430,0,2302130,0
201101,A41279923,49828880,0,7008250,0,0,0,21917160,0,2743250,0
201102,A41279923,32299890,0,6460000,0,0,0,17954030,0,2863570,0
201103,A41279923,26881340,0,7081800,0,0,0,18969010,0,3350480,0
201104,A41279923,16204040,0,5561400,0,0,0,17740800,0,3347350,0
201105,A41279923,6822970,0,4857300,0,0,0,18365980,0,3848000,0
201106,A41279923,3316220,0,3184000,0,0,0,18711770,0,3733270,0
201107,A41279923,3132840,0,2600500,0,0,0,25392340,0,4000600,0
201108,A41279923,2900530,0,2037000,0,0,0,24130220,0,3776740,0
201109,A41279923,3592180,0,2799720,0,0,0,19139840,0,3711260,0
201110,A41279923,10815570,0,5619600,0,0,0,21614550,0,3823750,0
201111,A41279923,16827390,0,6491100,0,0,0,22830630,0,3537000,0
201112,A41279923,41555570,0,10570000,0,0,0,26571610,0,3668830,0
201201,A41279923,48637730,0,13365000,0,0,0,28666770,0,4138930,0
201202,A41279923,42116260,0,12501500,0,0,0,24382880,0,4617580,0
201203,A41279923,29494530,0,12055000,0,0,0,23807430,0,4605840,0
201204,A41279923,13499740,0,11285000,0,0,0,21187350,0,4801870,0
201205,A41279923,4008840,0,7154000,0,0,0,21295530,0,4896370,0
201206,A41279923,2995290,0,4557600,0,0,0,21149310,0,5333810,0
201207,A41279923,3047070,0,3825600,0,0,0,33246390,0,5250750,0
201208,A41279923,2683500,0,2776400,0,0,0,29016460,0,5321620,0
201209,A41279923,4396130,0,4055000,0,0,0,21305610,0,5014500,0
201210,A41279923,11435840,0,4942500,0,0,0,23892050,0,4774740,0
201211,A41279923,30686480,0,8182800,0,0,0,25668090,0,4911280,0
201212,A41279923,51668760,0,15909400,0,0,0,31168550,0,4845750,0
201301,A41279923,54334740,0,14830600,0,0,0,30739780,0,4904380,0
201302,A41279923,40969270,0,13867800,0,0,0,24179380,0,4913670,0
201303,A41279923,29956350,0,13596000,0,0,0,24420150,0,5122230,0
201304,A41279923,17980250,0,12534500,0,0,0,21625560,0,5200440,0
201305,A41279923,6603060,0,8066000,0,0,0,23031760,0,5174370,0
201306,A41279923,3225250,0,4816000,0,0,0,23640850,0,5617560,0
201307,A41279923,3778370,0,4383700,0,0,0,32462200,0,5356860,0
201308,A41279923,3171860,0,3217500,0,0,0,35682760,0,5695770,0
201309,A41279923,3758010,0,4440800,0,0,0,21107300,0,5330790,0
201310,A41279923,11570940,0,4876000,0,0,0,22837180,0,5436250,0
201311,A41279923,31110960,0,8498100,0,0,0,25353900,0,5781140,0
201312,A41279923,47104270,0,13108000,0,0,0,31744250,0,5096160,0
201401,A41279923,47076780,27516,13200800,2276,0,0,28255880,106528,4416130,5353
201402,A41279923,36077430,23916,12259500,2229,0,0,22610920,151341,4976060,5774
201403,A41279923,25336020,17995,12516400,2407,0,0,22401670,151565,5202430,6064
201404,A41279923,9382300,7974,11016000,2160,0,0,20661650,97148,5268480,5923
201405,A41279923,4816100,2638,8282000,2020,0,0,22084770,139242,5212150,5941
201406,A41279923,2627740,7,4721200,1628,0,0,23275140,137997,5718540,6669
201407,A41279923,2422680,0,3788200,1457,0,0,29275100,115510,5641150,6506
201408,A41279923,2470510,0,3647800,1403,0,0,24490160,104685,5597730,6426
201409,A41279923,3131500,693,5036800,1574,0,0,20754290,98456,5685710,6550
201410,A41279923,9258540,5628,6513500,1861,0,0,22375190,101253,5126610,6050
201411,A41279923,24364430,16911,8117800,2194,0,0,24197340,102086,5474300,6304
201412,A41279923,50799750,31802,13684000,2488,0,0,29818230,111870,5453660,6262
201501,A41279923,46564800,29540,14234000,2588,0,0,27085000,169369,5683820,6661
201502,A41279923,37319560,24280,12609000,2335,0,0,22168350,143872,5219120,6190
201503,A41279923,27840650,20364,13261250,2575,0,0,21738820,152019,5382010,6350
201504,A41279923,10862230,9336,11535000,2307,0,0,19719100,152136,5321420,6380
201505,A41279923,4524030,1901,8018000,2110,0,0,20455880,152899,5563280,6512
201506,A41279923,2840580,198,5651200,1766,0,0,21866382,152357,5885530,7025
201507,A41279923,2611040,25,4240500,1542,0,0,29317615,151520,5912690,6889
201508,A41279923,2552690,32,3666390,1343,0,0,24386195,152176,5914910,6884
201509,A41279923,3005060,360,4709200,1544,0,0,18222665,153391,5692320,6826
201510,A41279923,7899210,3337,7864250,1895,0,0,21812594,153266,5620190,6585
201511,A41279923,23960530,12259,9195240,2109,0,0,23332048,153287,5451140,6357
201512,A41279923,40797670,22233,13332840,2433,0,0,26486782,153039,5446880,6396
201601,A41279923,48143810,27673,14171200,2605,0,0,27819160,167154,5629830,6750
201602,A41279923,37246300,21224,13076140,2426,0,0,24003716,156451,5386070,6538
201603,A41279923,23262470,13670,11488770,2503,0,0,21839980,147898,5456760,6403
201604,A41279923,8530780,4380,9825760,2264,0,0,19917628,135080,5511800,6610
201605,A41279923,3940500,954,6925770,2043,0,0,20633550,136300,5543320,6468
201606,A41279923,2661640,0,4774750,1775,0,0,22503610,137145,5817220,6813
201607,A41279923,2589580,30,3568500,1586,0,0,37011902,172180,6012080,6949
201608,A41279923,2487770,0,2388750,1225,0,0,23724053,162132,6052110,7165
201609,A41279923,2713080,201,3255200,1565,0,0,16520300,134916,5740940,6841
201610,A41279923,7247640,3313,5353920,1859,0,0,21682217,141301,5775790,6706
201611,A41279923,23121650,14824,6356740,2126,0,0,23571677,144832,5613440,6716
201612,A41279923,36267040,22225,7828260,2454,0,0,23347414,159307,5661310,6586
201701,A41279923,42091580,25673,8665860,2634,0,0,24716530,165928,6079480,6778
201702,A41279923,35900460,21484,7704720,2349,0,0,20064925,144826,5483010,5973
201703,A41279923,25473950,14508,9708840,2682,0,0,19665956,144012,6293290,6995
201704,A41279923,10689100,5053,8569670,2203,0,0,18085807,134536,5973050,6435
201705,A41279923,3836700,724,6844800,1984,0,0,18794769,135363,6031610,6654
201706,A41279923,2801050,120,4909170,1687,0,0,20301848,138056,5848640,6544
201707,A41279923,2517770,0,3179000,1445,0,0,30444965,180894,6310380,7045
201708,A41279923,2495090,0,2853520,1346,0,0,20817706,148473,5685190,6720
201709,A41279923,3469110,617,3988980,1602,0,0,15864456,133252,5962970,6385
201710,A41279923,8443840,4275,4705000,1882,0,0,19041968,139960,6003340,6790
201711,A41279923,26177100,16617,5691840,2156,0,0,20246181,141878,5683450,6419
201712,A41279923,42133850,27163,7830600,2526,0,0,22923462,156922,6310770,7147
201801,A41279923,46020000,29326,8291200,2591,0,0,22941972,159475,5847390,6600
201802,A41279923,38143200,23989,7568000,2365,0,0,19674730,139551,5155670,5975
201803,A41279923,22626360,14166,8001000,2667,0,0,19626973,149470,6663050,7284
201804,A41279923,11886040,6423,7340400,2039,0,0,18261068,135069,5315550,6042
201805,A41279923,5095200,1736,6761600,2113,0,0,19624783,140419,6448230,6743
201806,A41279923,2931250,200,4626900,1746,0,0,21005896,142188,6751560,6815
201807,A41279923,2677080,27,3390200,1474,0,0,39420018,210716,6484100,7267
201808,A41279923,2534110,0,2211000,1005,0,0,17909158,177622,6663490,6840
201809,A41279923,3441320,489,3712800,1547,0,0,18153934,135315,6035080,6716
201810,A41279923,12421970,6840,4827500,1931,0,0,20190276,143023,5782840,6578
201811,A41279923,22714840,14061,5840100,2163,0,0,21695546,144746,5864860,6481
201812,A41279923,39448370,25626,7399300,2426,0,0,24500288,160658,6366060,6384
201901,A41279923,42290190,27404,7849200,2532,0,0,21704758,154288,5812630,6575
201902,A41279923,34340940,22437,6939000,2313,0,0,18083455,134690,6792160,6048
201903,A41279923,24604540,15698,7251000,2417,0,0,20185540,144806,6045150,6496
201904,A41279923,14979920,8660,6783000,2261,0,0,18516149,135219,6003330,6280
201905,A41279923,5610070,1394,5808000,1936,0,0,19257164,136456,6373360,6500
201906,A41279923,3168670,327,4959650,1765,0,0,20272927,137031,6616200,6789
201907,A41279923,2576580,6,3804750,1691,0,0,26556095,177135,6472650,6965
201908,A41279923,2705360,0,3136800,1307,0,0,24756611,170646,6523220,6832
201909,A41279923,3427580,364,3806400,1464,0,0,19002396,137160,6613980,6500
201910,A41279923,8156720,3703,4765500,1765,0,0,19252484,138114,6155050,6483
201911,A41279923,23683360,15056,5321700,1971,0,0,21348666,142304,6037660,6117
201912,A41279923,37698630,25899,6525900,2417,0,0,22970589,152051,6609250,6697
202001,A41279923,39358830,26080,6647400,2462,0,0,22272061,151034,6401210,6574
202002,A41279923,34168910,23491,6277500,2325,0,0,20427522,143584,6494240,6013
202003,A41279923,24693490,18896,7662600,2838,0,0,22066460,150869,6972580,7635
202004,A41279923,16962260,11710,6666300,2469,0,0,20098553,140885,6565160,6995
202005,A41279923,6645020,2693,6252400,2233,0,0,21020157,143091,7598650,7554
202006,A41279923,2899770,252,4510220,1826,0,0,21960730,143044,6454570,7081
