requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
202306,A10023188,0,0,0,0,0,0,1579010,26115,9598370,4923
202307,A10023188,0,0,0,0,0,0,104046827,234512,17562640,11166
202308,A10023188,0,0,0,0,0,0,165456240,455513,17629580,15278
202309,A10023188,0,0,0,0,0,0,176961420,479785,19713430,16522
202310,A10023188,0,0,0,0,0,0,126989160,366548,21954580,18095
202311,A10023188,0,0,0,0,0,0,120391270,348476,12097520,17211
202312,A10023188,0,0,0,0,0,0,125693780,355293,22395680,18427
202401,A10023188,0,0,0,0,0,0,138459830,384531,21217770,18105
202402,A10023188,0,0,0,0,0,0,137392230,386464,21939090,16614
202403,A10023188,0,0,0,0,0,0,114132130,359407,19555240,19516
202404,A10023188,0,0,0,0,0,0,116793160,389706,20443230,18522
202405,A10023188,0,0,0,0,0,0,110999880,345365,20572180,18268
202406,A10023188,0,0,0,0,0,0,95501950,372110,20592950,18056
202407,A10023188,0,0,0,0,0,0,145653934,442550,15048590,18799
202408,A10023188,0,0,0,0,0,0,202393786,613737,21896810,18685
202409,A10023188,0,0,0,0,0,0,217265460,643565,20339500,17743
202410,A10023188,0,0,0,0,0,0,145076860,464140,21067520,18412
202411,A10023188,0,0,0,0,0,0,109595630,368998,20970920,18172
202412,A10023188,0,0,0,0,0,0,112448430,370108,21638410,18647
202501,A10023188,0,0,0,0,0,0,126441560,399846,21494530,18503
202502,A10023188,0,0,0,0,0,0,131193810,405229,19637090,16750
202503,A10023188,0,0,0,0,0,0,0,0,0,0
