requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201504,A10027969,0,0,0,0,0,0,0,0,0,0
201505,A10027969,0,0,0,0,0,0,0,0,0,0
201506,A10027969,0,0,0,0,0,0,0,0,0,0
201507,A10027969,0,0,0,0,0,0,0,0,0,0
201508,A10027969,0,0,0,0,0,0,3377000,0,25720,0
201509,A10027969,0,0,0,0,0,0,8065980,0,777100,0
201510,A10027969,0,0,0,0,0,0,8316270,0,1916910,0
201511,A10027969,0,0,0,0,0,0,9138100,0,2410770,0
201512,A10027969,0,0,0,0,0,0,9948740,0,2132540,0
201601,A10027969,0,0,0,0,0,0,11347800,0,3065810,0
201602,A10027969,0,0,0,0,0,0,12898730,0,2699350,0
201603,A10027969,0,0,0,0,0,0,10989760,51330,2742860,3382
201604,A10027969,0,0,0,0,0,0,11098560,57480,3331980,4023
201605,A10027969,0,0,0,0,0,0,10884860,60028,3264580,4447
201606,A10027969,0,0,0,0,0,0,11596850,65640,3865080,4972
201607,A10027969,0,0,0,0,0,0,13276780,70426,3881700,5143
201608,A10027969,0,0,0,0,0,0,20872270,95752,4224390,5601
201609,A10027969,0,0,0,0,0,0,8424070,89695,4342440,5636
201610,A10027969,0,0,0,0,0,0,8315780,67400,4058560,5328
201611,A10027969,0,0,0,0,0,0,10826180,66854,3853890,4535
201612,A10027969,0,0,0,0,0,0,9300680,53052,3981120,5829
201701,A10027969,0,0,0,0,0,0,12269668,88142,3807690,5213
201702,A10027969,0,0,0,0,0,0,12085270,74612,4025450,5200
201703,A10027969,0,0,0,0,0,0,10573052,65626,3533790,4669
201704,A10027969,0,0,0,0,0,0,11020840,69674,3696550,5178
201705,A10027969,0,0,0,0,0,0,9775770,66790,4697140,5099
201706,A10027969,0,0,0,0,0,0,9509010,69016,4201040,6201
201707,A10027969,0,0,0,0,0,0,10935850,77944,4430150,5267
201708,A10027969,0,0,0,0,0,0,15817960,104424,4315590,5800
201709,A10027969,0,0,0,0,0,0,10991510,79729,4584780,5580
201710,A10027969,0,0,0,0,0,0,9235780,67781,4450180,5315
201711,A10027969,0,0,0,0,0,0,9417050,68101,4106540,5403
201712,A10027969,0,0,0,0,0,0,10946740,70024,4278350,5075
201801,A10027969,0,0,0,0,0,0,12614180,75618,3673420,5145
201802,A10027969,0,0,0,0,0,0,13529140,76524,4103680,5052
201803,A10027969,0,0,0,0,0,0,10095780,66763,3706590,4666
201804,A10027969,0,0,0,0,0,0,10461480,71097,3914030,5206
201805,A10027969,0,0,0,0,0,0,9537980,67631,4091870,5031
201806,A10027969,0,0,0,0,0,0,10429120,72051,3994040,5427
201807,A10027969,0,0,0,0,0,0,10971580,75475,5357370,5506
201808,A10027969,0,0,0,0,0,0,21869970,126907,4684600,5983
201809,A10027969,0,0,0,0,0,0,5731580,96578,4862410,5710
201810,A10027969,0,0,0,0,0,0,9695840,67887,4773500,5368
201811,A10027969,0,0,0,0,0,0,9811520,69530,3863200,5396
201812,A10027969,0,0,0,0,0,0,10115000,69961,4337850,5018
201901,A10027969,0,0,0,0,0,0,12813850,75473,4075400,4956
201902,A10027969,0,0,0,0,0,0,12689140,73181,4409470,5368
201903,A10027969,0,0,0,0,0,0,10247170,69448,5196080,4707
