requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200205,A10045302,0,0,0,0,0,0,0,0,0,0
200206,A10045302,0,0,0,0,0,0,0,0,0,0
200207,A10045302,0,0,0,0,0,0,0,0,0,0
200208,A10045302,0,0,0,0,0,0,0,0,0,0
200209,A10045302,0,0,0,0,0,0,0,0,0,0
200210,A10045302,0,0,0,0,0,0,0,0,0,0
200211,A10045302,0,0,0,0,0,0,0,0,0,0
200212,A10045302,0,0,0,0,0,0,0,0,0,0
200301,A10045302,0,0,0,0,0,0,0,0,0,0
200302,A10045302,0,0,0,0,0,0,0,0,0,0
200303,A10045302,0,0,0,0,0,0,0,0,0,0
200304,A10045302,0,0,0,0,0,0,0,0,0,0
200305,A10045302,0,0,0,0,0,0,0,0,0,0
200306,A10045302,0,0,0,0,0,0,0,0,0,0
200307,A10045302,0,0,0,0,0,0,0,0,0,0
200308,A10045302,0,0,0,0,0,0,0,0,0,0
200309,A10045302,0,0,0,0,0,0,0,0,0,0
200310,A10045302,0,0,0,0,0,0,0,0,0,0
200311,A10045302,0,0,0,0,0,0,0,0,0,0
200312,A10045302,0,0,0,0,0,0,0,0,0,0
200401,A10045302,0,0,0,0,0,0,0,0,0,0
200402,A10045302,0,0,0,0,0,0,0,0,0,0
200403,A10045302,0,0,0,0,0,0,0,0,0,0
200404,A10045302,0,0,0,0,0,0,0,0,0,0
200405,A10045302,0,0,0,0,0,0,0,0,0,0
200406,A10045302,0,0,0,0,0,0,0,0,0,0
200407,A10045302,0,0,0,0,0,0,0,0,0,0
200408,A10045302,0,0,0,0,0,0,0,0,0,0
200409,A10045302,0,0,0,0,0,0,0,0,0,0
200410,A10045302,0,0,0,0,0,0,0,0,0,0
200411,A10045302,0,0,0,0,0,0,0,0,0,0
200412,A10045302,0,0,0,0,0,0,0,0,0,0
200501,A10045302,0,0,0,0,0,0,0,0,0,0
200502,A10045302,0,0,0,0,0,0,0,0,0,0
200503,A10045302,0,0,0,0,0,0,0,0,0,0
200504,A10045302,0,0,0,0,0,0,0,0,0,0
200505,A10045302,0,0,0,0,0,0,0,0,0,0
200506,A10045302,0,0,0,0,0,0,0,0,0,0
200507,A10045302,0,0,0,0,0,0,0,0,0,0
200508,A10045302,0,0,0,0,0,0,0,0,0,0
200509,A10045302,0,0,0,0,0,0,0,0,0,0
200510,A10045302,0,0,0,0,0,0,0,0,0,0
200511,A10045302,0,0,0,0,0,0,0,0,0,0
200512,A10045302,0,0,0,0,0,0,0,0,0,0
200601,A10045302,0,0,0,0,0,0,0,0,0,0
200602,A10045302,0,0,0,0,0,0,0,0,0,0
200603,A10045302,0,0,0,0,0,0,0,0,0,0
200604,A10045302,0,0,0,0,0,0,0,0,0,0
200605,A10045302,0,0,0,0,0,0,0,0,0,0
200606,A10045302,0,0,0,0,0,0,0,0,0,0
200607,A10045302,0,0,0,0,0,0,0,0,0,0
200608,A10045302,0,0,0,0,0,0,0,0,0,0
200609,A10045302,0,0,0,0,0,0,0,0,0,0
200610,A10045302,0,0,0,0,0,0,0,0,0,0
200611,A10045302,0,0,0,0,0,0,0,0,0,0
200612,A10045302,0,0,0,0,0,0,0,0,0,0
200701,A10045302,0,0,0,0,0,0,0,0,0,0
200702,A10045302,0,0,0,0,0,0,0,0,0,0
200703,A10045302,0,0,0,0,0,0,0,0,0,0
200704,A10045302,0,0,0,0,0,0,0,0,0,0
200705,A10045302,0,0,0,0,0,0,0,0,0,0
200706,A10045302,0,0,0,0,0,0,0,0,0,0
200707,A10045302,0,0,0,0,0,0,0,0,0,0
200708,A10045302,0,0,0,0,0,0,0,0,0,0
200709,A10045302,0,0,0,0,0,0,0,0,0,0
200710,A10045302,0,0,0,0,0,0,0,0,0,0
200711,A10045302,0,0,0,0,0,0,0,0,0,0
200712,A10045302,0,0,0,0,0,0,0,0,0,0
200801,A10045302,0,0,0,0,0,0,0,0,0,0
200802,A10045302,0,0,0,0,0,0,0,0,0,0
200803,A10045302,0,0,0,0,0,0,0,0,0,0
200804,A10045302,0,0,0,0,0,0,0,0,0,0
200805,A10045302,0,0,0,0,0,0,0,0,0,0
200806,A10045302,0,0,0,0,0,0,0,0,0,0
200807,A10045302,0,0,0,0,0,0,0,0,0,0
200808,A10045302,0,0,0,0,0,0,0,0,0,0
200809,A10045302,0,0,0,0,0,0,0,0,0,0
200810,A10045302,0,0,0,0,0,0,0,0,0,0
200811,A10045302,0,0,0,0,0,0,0,0,0,0
200812,A10045302,0,0,0,0,0,0,0,0,0,0
200901,A10045302,0,0,0,0,0,0,0,0,0,0
200902,A10045302,0,0,0,0,0,0,0,0,0,0
200903,A10045302,0,0,0,0,0,0,0,0,0,0
200904,A10045302,0,0,0,0,0,0,0,0,0,0
200905,A10045302,0,0,0,0,0,0,0,0,0,0
200906,A10045302,0,0,0,0,0,0,0,0,0,0
200907,A10045302,0,0,0,0,0,0,0,0,0,0
200908,A10045302,0,0,0,0,0,0,0,0,0,0
200909,A10045302,0,0,0,0,0,0,0,0,0,0
200910,A10045302,0,0,0,0,0,0,0,0,0,0
200911,A10045302,0,0,0,0,0,0,174650110,0,32711670,0
200912,A10045302,0,0,0,0,0,0,220893160,0,39003700,0
201001,A10045302,0,0,0,0,0,0,207992500,0,35532060,0
201002,A10045302,0,0,0,0,0,0,162117910,0,39041250,0
201003,A10045302,0,0,0,0,0,0,154638330,0,39041250,0
201004,A10045302,0,0,0,0,0,0,179720610,0,32873900,0
201005,A10045302,0,0,0,0,0,0,0,0,0,0
