requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201003,A10086801,0,0,0,0,0,0,0,0,0,0
201004,A10086801,0,0,0,0,0,0,2857290,0,590420,0
201005,A10086801,2430,0,0,0,0,0,5299990,0,1833090,0
201006,A10086801,2430,0,0,0,0,0,32774350,0,3690290,0
201007,A10086801,2430,0,0,0,0,0,57365340,0,3762310,0
201008,A10086801,0,0,0,0,2430,0,70957650,0,4417960,0
201009,A10086801,2380,0,0,0,0,0,38633770,0,1638270,0
201010,A10086801,2430,0,0,0,0,0,34370040,0,1795910,0
201011,A10086801,798880,0,0,0,0,0,59489350,0,2598550,0
201012,A10086801,1946840,0,0,0,0,0,68023920,0,3133550,0
201101,A10086801,1946840,0,0,0,0,0,69023920,0,3133540,0
201102,A10086801,2894590,0,0,0,0,0,47992490,0,3195040,0
201103,A10086801,1846510,0,0,0,0,0,48369210,0,2976820,0
201104,A10086801,1254620,0,0,0,0,0,46816800,0,3705860,0
201105,A10086801,0,0,2380,0,0,0,43444000,0,3294320,0
201106,A10086801,2380,0,0,0,0,0,52827950,0,770000,0
201107,A10086801,2400,0,0,0,0,0,79300000,0,3976000,0
201108,A10086801,0,0,0,0,0,0,87710000,0,3907000,0
201109,A10086801,0,0,0,0,2380,0,58616160,0,3812300,0
201110,A10086801,0,0,0,0,2380,0,47937940,0,3862650,0
201111,A10086801,0,0,0,0,2380,0,58616160,0,3812300,0
201112,A10086801,0,0,0,0,0,0,74339940,0,4452900,0
201201,A10086801,0,0,0,0,0,0,74718000,0,4193500,0
201202,A10086801,0,0,0,0,1700000,0,68399600,0,4852000,0
201203,A10086801,0,0,0,0,1700000,0,51820000,0,4475000,0
201204,A10086801,0,0,0,0,110000,0,51003530,0,4830100,0
201205,A10086801,0,0,0,0,2380,0,51080600,0,5500350,0
201206,A10086801,0,0,0,0,0,0,61157420,0,0,0
201207,A10086801,0,0,0,0,2380,0,96461760,0,6334130,0
201208,A10086801,0,0,0,0,2380,0,127087910,0,52123950,0
201209,A10086801,0,0,0,0,2380,0,57393800,0,51168560,0
201210,A10086801,2380,0,0,0,0,0,52774450,0,5468070,0
201211,A10086801,2380,0,0,0,0,0,65390320,0,6033280,0
201212,A10086801,0,0,0,0,0,0,45202090,0,3390230,0
201301,A10086801,0,0,0,0,0,0,47328220,0,3544330,0
201302,A10086801,0,0,0,0,0,0,34729370,0,3525280,0
201303,A10086801,0,0,0,0,0,0,34717470,0,3838550,0
201304,A10086801,0,0,0,0,0,0,31089690,0,3933110,0
201305,A10086801,0,0,0,0,0,0,32069850,0,3805290,0
201306,A10086801,0,0,0,0,0,0,40658550,0,4265230,0
201307,A10086801,0,0,0,0,0,0,62936020,0,4179980,0
201308,A10086801,0,0,0,0,0,0,91493690,0,3983950,0
201309,A10086801,0,0,0,0,0,0,35817860,0,4235320,0
201310,A10086801,0,0,0,0,0,0,24557127,0,3941810,0
201311,A10086801,0,0,0,0,0,0,35210910,0,4031200,0
201312,A10086801,0,0,0,0,0,0,41264630,0,3777150,0
201401,A10086801,0,0,0,0,0,0,41201160,194916,4082250,4789
201402,A10086801,0,0,0,0,0,0,39961060,181276,4082250,4789
201403,A10086801,0,0,0,0,0,0,37293140,179713,4082250,4789
201404,A10086801,0,0,0,0,0,0,36785740,173710,4082250,4789
201405,A10086801,0,0,0,0,0,0,37072660,174617,4082250,4789
201406,A10086801,0,0,0,0,0,0,39217540,170946,4082250,4789
201407,A10086801,0,0,0,0,0,0,40267180,175810,4296080,4921
201408,A10086801,0,0,0,0,0,0,55342870,186272,4666170,5192
201409,A10086801,0,0,0,0,0,0,35879260,170406,4181760,4893
201410,A10086801,0,0,0,0,0,0,31793470,164322,3783990,4442
201411,A10086801,0,0,0,0,0,0,32045890,158643,3779340,4405
201412,A10086801,0,0,0,0,0,0,33873710,173918,3256010,3801
201501,A10086801,0,0,0,0,0,0,33239260,166032,3373700,3659
201502,A10086801,0,0,0,0,0,0,26737990,139150,2424290,2855
201503,A10086801,0,0,0,0,0,0,22936340,141909,2770590,3146
201504,A10086801,0,0,0,0,0,0,22696390,126664,2567060,3017
201505,A10086801,0,0,0,0,0,0,23275550,132554,2681250,2845
201506,A10086801,0,0,0,0,0,0,28870920,136080,2832920,3103
201507,A10086801,0,0,0,0,0,0,46017990,172880,3060300,3705
201508,A10086801,0,0,0,0,0,0,60334510,197406,3085060,3603
201509,A10086801,0,0,0,0,0,0,30679220,154603,3367080,3751
201510,A10086801,0,0,0,0,0,0,28090390,142457,3551730,4100
201511,A10086801,0,0,0,0,0,0,30912910,156393,3330350,3846
201512,A10086801,0,0,0,0,0,0,38262860,181838,3824850,4441
201601,A10086801,0,0,0,0,0,0,40664180,195057,3844720,4481
201602,A10086801,0,0,0,0,0,0,35043230,177657,3892720,4600
201603,A10086801,0,0,0,0,0,0,33388130,173792,4136610,4664
201604,A10086801,0,0,0,0,0,0,29633490,157898,4144220,4660
201605,A10086801,0,0,0,0,0,0,34094140,164613,3997100,4468
201606,A10086801,0,0,0,0,0,0,44059180,176365,4261590,4787
201607,A10086801,0,0,0,0,0,0,77515520,230374,4162550,4689
201608,A10086801,0,0,0,0,0,0,98586790,282316,4422930,4915
201609,A10086801,0,0,0,0,0,0,35175310,173439,4090840,4594
201610,A10086801,0,0,0,0,0,0,31755330,162876,4034350,4537
201611,A10086801,0,0,0,0,0,0,32806340,165432,4173790,4675
201612,A10086801,0,0,0,0,0,0,31484790,175796,3856150,4427
201701,A10086801,0,0,0,0,0,0,32042620,184576,4009040,4579
201702,A10086801,0,0,0,0,0,0,27861980,164756,4159770,4575
201703,A10086801,0,0,0,0,0,0,27259210,169447,3813660,4203
201704,A10086801,0,0,0,0,0,0,24345210,153384,4270870,4673
201705,A10086801,0,0,0,0,0,0,26608130,162422,4224450,4760
201706,A10086801,0,0,0,0,0,0,32645220,179221,4302120,4742
201707,A10086801,0,0,0,0,0,0,65471290,267108,4271610,4662
201708,A10086801,0,0,0,0,0,0,60159040,257700,4624920,5005
