requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
201410,A13071302,0,0,0,0,0,0,130728100,889074,39559110,45092
201411,A13071302,0,0,0,0,0,0,141469620,917135,40052820,42624
201412,A13071302,0,0,0,0,0,0,153897450,933545,39239560,44171
201501,A13071302,0,0,0,0,0,0,175811100,1251745,38559230,42524
201502,A13071302,0,0,0,0,0,0,173055340,1270341,38430560,38966
201503,A13071302,0,0,0,0,0,0,141200870,899172,35123030,44650
201504,A13071302,0,0,0,0,0,0,147047520,950340,4086040,1379
201505,A13071302,0,0,0,0,0,0,132232060,887466,36324130,42029
201506,A13071302,0,0,0,0,0,0,140566550,882342,40496260,45943
201507,A13071302,0,0,0,0,0,0,155037820,929711,43228650,47141
201508,A13071302,0,0,0,0,0,0,240392200,1195861,43407440,51678
201509,A13071302,0,0,0,0,0,0,179749650,1021543,42258970,50291
201510,A13071302,0,0,0,0,0,0,127117400,0,41358060,0
201511,A13071302,0,0,0,0,0,0,145739800,0,42236960,0
201512,A13071302,0,0,0,0,0,0,155127180,0,41818610,0
201601,A13071302,0,0,0,0,0,0,167874110,0,37713300,0
201602,A13071302,0,0,0,0,0,0,180709190,0,39765940,0
201603,A13071302,0,0,0,0,0,0,149281130,0,37173540,0
201604,A13071302,0,0,0,0,0,0,145260450,0,38461430,0
201605,A13071302,0,0,0,0,0,0,133101040,0,41479170,0
201606,A13071302,0,0,0,0,0,0,142282560,0,38675440,0
201607,A13071302,0,0,0,0,0,0,163433610,0,42994020,0
201608,A13071302,0,0,0,0,0,0,313210480,0,41473850,0
201609,A13071302,0,0,0,0,0,0,197154100,0,49998260,0
201610,A13071302,0,0,0,0,0,0,116961030,0,45823870,0
201611,A13071302,0,0,0,0,0,0,145482460,0,38322410,0
201612,A13071302,0,0,0,0,0,0,154518140,0,40598940,0
201701,A13071302,0,0,0,0,0,0,156662790,0,37169320,0
201702,A13071302,0,0,0,0,0,0,160586519,0,40766110,0
201703,A13071302,0,0,0,0,0,0,129077302,0,41522720,0
201704,A13071302,0,0,0,0,0,0,134062525,0,41141300,0
201705,A13071302,0,0,0,0,0,0,121837068,0,47353200,0
201706,A13071302,0,0,0,0,0,0,130509480,0,44148730,0
201707,A13071302,0,0,0,0,0,0,157520290,0,50603350,0
201708,A13071302,0,0,0,0,0,0,249708050,0,44469830,0
201709,A13071302,0,0,0,0,0,0,160186790,0,42922220,0
201710,A13071302,0,0,0,0,0,0,122127440,0,45124020,0
201711,A13071302,0,0,0,0,0,0,130874272,0,42054000,0
201712,A13071302,0,0,0,0,0,0,144383544,0,41314840,0
201801,A13071302,0,0,0,0,0,0,160643377,1044041,42404470,48786
201802,A13071302,0,0,0,0,0,0,161062383,1073500,43167310,49971
201803,A13071302,0,0,0,0,0,0,131676949,944072,38509580,44150
201804,A13071302,0,0,0,0,0,0,135860291,969315,41553280,45398
201805,A13071302,0,0,0,0,0,0,124274380,909684,41775460,43620
201806,A13071302,0,0,0,0,0,0,135353244,949354,42075630,45935
201807,A13071302,0,0,0,0,0,0,150733975,980697,45321770,45888
201808,A13071302,0,0,0,0,0,0,325275980,1578885,44647450,48363
201809,A13071302,0,0,0,0,0,0,140939945,1255010,46525930,53137
201810,A13071302,0,0,0,0,0,0,121914380,906042,45955730,51299
201811,A13071302,0,0,0,0,0,0,134407075,954786,42761520,46621
201812,A13071302,0,0,0,0,0,0,142724589,960457,39374200,43352
201901,A13071302,0,0,0,0,0,0,151043671,1026815,43348940,45369
201902,A13071302,0,0,0,0,0,0,151617071,1022829,43048750,45149
201903,A13071302,0,0,0,0,0,0,123004138,902625,38124580,40463
201904,A13071302,0,0,0,0,0,0,137897916,972267,42270750,44425
201905,A13071302,0,0,0,0,0,0,125205718,899386,42105030,44268
201906,A13071302,0,0,0,0,0,0,127293039,939820,40794620,45655
201907,A13071302,0,0,0,0,0,0,134242476,963850,45009230,52438
201908,A13071302,0,0,0,0,0,0,190992470,1294710,43679080,47361
201909,A13071302,0,0,0,0,0,0,184832244,1236777,43120750,46309
201910,A13071302,0,0,0,0,0,0,125071432,930116,42382470,45911
201911,A13071302,0,0,0,0,0,0,125831599,934910,43828710,47038
201912,A13071302,0,0,0,0,0,0,134792338,963729,42218840,45377
202001,A13071302,0,0,0,0,0,0,152243377,1026844,43216490,46482
202002,A13071302,0,0,0,0,0,0,154475368,1038323,44022570,47109
202003,A13071302,0,0,0,0,0,0,142099289,982947,44027789,47204
202004,A13071302,0,0,0,0,0,0,145882745,1016027,48880187,52184
202005,A13071302,0,0,0,0,0,0,130187443,931440,42947040,46530
