requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
200905,A14002501,0,0,0,0,0,0,0,0,0,0
200906,A14002501,0,0,0,0,0,0,0,0,0,0
200907,A14002501,0,0,0,0,0,0,0,0,0,0
200908,A14002501,0,0,0,0,0,0,0,0,0,0
200909,A14002501,0,0,0,0,0,0,0,0,0,0
200910,A14002501,0,0,0,0,0,0,0,0,0,0
200911,A14002501,0,0,0,0,0,0,0,0,0,0
200912,A14002501,0,0,0,0,0,0,0,0,0,0
201001,A14002501,0,0,0,0,0,0,0,0,0,0
201002,A14002501,0,0,0,0,0,0,0,0,0,0
201003,A14002501,93647452,0,0,0,0,0,129766080,0,12749373,0
201004,A14002501,52418035,0,0,0,0,0,145109370,0,12591217,0
201005,A14002501,20027891,0,0,0,0,0,135392800,0,13377427,0
201006,A14002501,8352042,0,0,0,0,0,165273660,0,12572929,0
201007,A14002501,661870,0,0,0,0,0,264691760,0,12420291,0
201008,A14002501,606340,0,0,0,0,0,382052470,0,12440952,0
201009,A14002501,1890998,0,0,0,0,0,385795500,0,11548377,0
201010,A14002501,28123467,0,0,0,0,0,187425130,0,13409313,0
201011,A14002501,75305709,0,0,0,0,0,151150300,0,12988859,0
201012,A14002501,132109897,0,0,0,0,0,45736700,0,12884894,0
201101,A14002501,178730673,0,0,0,0,0,172432300,0,12733485,0
201102,A14002501,111436502,0,0,0,0,0,168222470,0,11299309,0
201103,A14002501,93888712,0,0,0,0,0,124559900,0,12145762,0
201104,A14002501,43399285,0,0,0,0,0,136480870,0,12003377,0
201105,A14002501,17187612,0,0,0,0,0,128155130,0,13291537,0
201106,A14002501,9729652,0,0,0,0,0,151729500,0,12749468,0
201107,A14002501,4732662,0,0,0,0,0,202702700,0,11968115,0
201108,A14002501,6729392,0,18260000,0,0,0,324126760,0,13195294,0
201109,A14002501,6420240,0,19100400,0,0,0,322646280,0,12306864,0
201110,A14002501,30411380,0,24628000,0,0,0,154608330,0,12993420,0
201111,A14002501,60937780,0,28858000,0,0,0,149015670,0,13605164,0
201112,A14002501,154326450,0,32448800,0,0,0,153858730,0,13276337,0
201201,A14002501,154998540,0,31739100,0,0,0,175081860,0,11400086,0
201202,A14002501,145910350,0,34822800,0,0,0,180939170,0,13619766,0
201203,A14002501,109793900,0,34965600,0,0,0,148918510,0,14251930,0
201204,A14002501,52635280,0,31298700,0,0,0,145936133,0,13708370,0
201205,A14002501,10904130,0,29406600,0,0,0,137777209,0,14075330,0
201206,A14002501,2053790,0,24786000,0,0,0,168220020,0,14679800,0
201207,A14002501,2447580,0,23414100,0,0,0,221780673,0,14499370,0
201208,A14002501,1732320,0,20782500,0,0,0,425414599,0,14245950,0
201209,A14002501,2935907,0,24984900,0,0,0,334996623,0,15187380,0
201210,A14002501,19743356,0,30541680,0,0,0,160609664,0,14546240,0
201211,A14002501,92864240,0,31900500,0,0,0,148500321,0,13690750,0
201212,A14002501,181402840,0,35307300,0,0,0,155172363,0,17611230,0
201301,A14002501,180922570,0,35919300,0,0,0,173042164,0,14783919,0
201302,A14002501,154702560,0,32079000,0,0,0,176107568,0,14650000,0
201303,A14002501,114372640,0,32976600,0,0,0,119992095,0,14699340,0
201304,A14002501,64400860,0,31354800,0,0,0,139313594,0,13651360,0
201305,A14002501,23395970,0,27846000,0,0,0,131693518,0,14573040,0
201306,A14002501,8731450,0,23225400,0,0,0,168526068,0,14444170,0
201307,A14002501,2394680,0,22195200,0,0,0,251409332,0,14099130,0
201308,A14002501,2924030,0,20037900,0,0,0,358184508,0,15204130,0
201309,A14002501,2835700,0,25698400,0,0,0,393969738,0,14924470,0
201310,A14002501,23185480,0,30844800,0,0,0,166101077,0,15137510,0
201311,A14002501,91831570,0,35380800,0,0,0,118816390,0,14516100,0
201312,A14002501,152865390,0,39670400,0,0,0,139803350,0,15222480,0
201401,A14002501,88931580,0,40740000,6622,0,0,38222121,0,691467,0
201402,A14002501,133088062,0,37083200,0,0,0,176632796,0,14363890,0
201403,A14002501,75888948,0,40325600,6506,0,0,15706016,0,432520,0
201404,A14002501,17213420,0,33544000,5990,0,0,27702550,214396,1788700,0
201405,A14002501,12157070,0,26812800,4788,0,0,173148651,493624,14453380,15226
201406,A14002501,3095240,0,22999200,4107,0,0,227599094,570450,17053290,15572
201407,A14002501,3382490,0,22943200,4097,0,0,344100068,723549,16173880,15585
201408,A14002501,3355990,0,24757600,4421,0,0,268412970,613129,15214150,15137
201409,A14002501,10196860,67,31617600,5646,0,0,173774174,482124,15554970,15780
201410,A14002501,51247900,367,36254400,6474,0,0,142839430,443567,16235050,15473
201411,A14002501,149608280,1110,39597600,7084,0,0,142870009,436191,15310160,15629
201412,A14002501,182873540,1110,39597600,7084,0,0,146682523,436191,15931980,15629
201501,A14002501,158843170,991,41008800,7323,0,0,174144046,451125,16098720,15830
201502,A14002501,132033410,767,37066400,6619,0,0,170049300,454762,13967460,14336
201503,A14002501,84807530,482,41188000,7355,0,0,128775690,402299,16189860,15785
201504,A14002501,29560150,143,38544800,6883,0,0,135986629,428464,15416980,15397
201505,A14002501,3452490,7,35072800,6263,0,0,131017122,422177,15875560,15767
201506,A14002501,2068420,0,29422400,5254,0,0,159156112,472440,16286580,15884
201507,A14002501,2140630,0,24287200,4337,0,0,225904328,558189,15734830,15409
201508,A14002501,1374930,0,22120000,3950,0,0,380965207,772233,15694410,15739
201509,A14002501,2268610,0,25200000,4500,0,0,316945147,700722,15254400,15366
201510,A14002501,9600340,54,30895200,5517,0,0,151437825,474453,15388600,15465
201511,A14002501,48643030,409,34764800,6228,0,0,146019196,445371,15138040,15351
201512,A14002501,92679380,811,38953600,6956,0,0,137436979,437616,16387060,15395
201601,A14002501,108613780,972,37447200,6687,0,0,152750078,584849,12334300,14504
201602,A14002501,98858920,817,37497600,6696,0,0,170087296,675415,14313600,14656
201603,A14002501,50319940,450,38707200,6912,0,0,133276230,785223,15699120,15686
201604,A14002501,10052440,94,35089600,6266,0,0,132245561,663541,15549210,15253
201605,A14002501,1705940,16,32603200,5822,0,0,128315005,624892,16505530,16284
201606,A14002501,0,0,26342400,4704,0,0,179457451,689597,15206130,15514
201607,A14002501,28000,0,22993600,4111,0,0,237666150,776801,15828500,15536
201608,A14002501,0,0,19124000,3415,0,0,467229841,1131341,16863850,16113
201609,A14002501,22400,0,21033600,3760,0,0,346083380,946120,13365320,14845
201610,A14002501,5707740,53,24958800,4540,0,0,142141457,553196,12768240,14785
201611,A14002501,43056480,408,32300800,5768,0,0,129438007,592325,12417660,14410
201612,A14002501,72732670,681,35319200,6313,0,0,131600667,608080,12745670,14437
201701,A14002501,85776800,811,37531200,6702,0,0,115903427,617094,13060650,15007
201702,A14002501,115284180,673,32104800,5733,0,0,109478130,636882,11199910,13022
201703,A14002501,46489300,439,37928800,6775,0,0,97226594,400897,18752170,15973
201704,A14002501,20153586,124,33555200,5992,0,0,98424359,432078,15053780,15218
201705,A14002501,17970814,124,33555200,5992,0,0,96403590,432078,15763900,15218
201706,A14002501,0,0,22416800,4003,0,0,105209018,437878,13249860,13885
201707,A14002501,0,0,20132000,3595,0,0,156764896,565490,14174890,15791
201708,A14002501,0,0,15943200,2847,0,0,295793695,816830,17927190,12814
201709,A14002501,0,75,22254400,4154,0,0,165935230,433001,15663260,13434
201710,A14002501,12624050,75,23262400,4154,0,0,107134057,433001,17805910,13434
201711,A14002501,55817438,75,33269600,4154,0,0,103105947,433001,15953910,13434
201712,A14002501,99056506,911,33241600,5936,0,0,115756911,397701,13625040,13843
201801,A14002501,128590168,987,33258400,5940,0,0,125202655,386449,16637250,13809
201802,A14002501,95917820,765,33969600,6066,0,0,128939806,400297,14196290,14234
201803,A14002501,42642296,403,33224800,5933,0,0,104088406,371712,13145050,14596
201804,A14002501,25273384,136,25340000,4525,0,0,98092463,383062,19777780,12281
201805,A14002501,2251060,21,29820000,5325,0,0,93838274,381962,15592830,15119
201806,A14002501,0,0,19958400,3564,0,0,118922935,455080,16922450,12911
201807,A14002501,1753160,0,18849600,3366,0,0,151070184,540794,14461580,13891
201808,A14002501,0,0,15013600,2681,0,0,383263949,960195,18915020,14527
201809,A14002501,0,0,21347200,3812,0,0,211549058,745267,17446360,14194
201810,A14002501,18599250,158,27858600,4985,0,0,102442739,417848,21423440,14691
201811,A14002501,45737810,502,31839200,5698,0,0,100247798,394550,14931970,14663
201812,A14002501,100806470,1204,33989600,6104,0,0,108659205,389661,15977390,14710
201901,A14002501,111308260,1200,35488800,6372,0,0,130283266,402499,16550350,14933
201902,A14002501,85610638,926,32005600,5752,0,0,128443432,403542,15360640,13306
201903,A14002501,49586550,533,33579200,6035,0,0,105692917,362470,15539280,14666
201904,A14002501,39846760,255,31043000,5556,0,0,108909445,387577,16664850,14150
201905,A14002501,5970830,23,28400600,5083,0,0,102515866,382030,15112330,14885
201906,A14002501,177640,0,19434800,4238,0,0,128746494,460011,13675580,14095
201907,A14002501,853840,0,16702400,3643,0,0,149379219,510787,14933790,14608
201908,A14002501,508660,0,16242440,3327,0,0,248181751,749433,24390240,15077
201909,A14002501,539770,0,19059000,3825,0,0,231700746,722017,16346550,14698
201910,A14002501,6720420,59,25066800,4656,0,0,122997907,457966,15134160,14866
201911,A14002501,45054240,553,28752670,5441,0,0,109224988,393950,14663720,14522
201912,A14002501,97452940,1071,32684600,6210,0,0,118408691,386628,15381970,14721
202001,A14002501,98330780,1082,33606800,6381,0,0,125488593,397991,15179730,14851
202002,A14002501,80101812,905,34934200,6639,0,0,128100392,402072,14947010,15162
202003,A14002501,55340140,555,41155600,7396,0,0,115269361,390081,15855800,16949
202004,A14002501,28617340,288,38244250,6843,0,0,112907464,407588,15461750,16413
202005,A14002501,9633270,37,33250050,5951,0,0,106843687,397725,16332020,16410
202006,A14002501,437970,0,21458310,4584,0,0,123085162,442744,16043730,16303
202007,A14002501,527060,0,18770710,4381,0,0,179110235,587088,18003370,16803
202008,A14002501,302170,0,19119900,4265,0,0,205815088,623889,17334360,16917
202009,A14002501,458230,0,21603900,4817,0,0,278276806,815003,32483440,16838
202010,A14002501,13106900,146,27472200,5989,0,0,122778423,443993,20107170,16794
202011,A14002501,45134660,565,26969060,6598,0,0,112580950,405245,18429690,16509
202012,A14002501,94492860,1240,34634760,7746,0,0,122069248,405059,17170840,17880
202101,A14002501,115575330,1455,38772560,7802,0,0,138618883,441189,16951450,17896
202102,A14002501,76662590,918,31214060,6696,0,0,136551640,430559,17194840,15807
202103,A14002501,47208950,464,31968960,7160,0,0,108734063,371408,16369470,16621
202104,A14002501,15818750,146,35164050,6409,0,0,108066927,398217,15669060,15861
202105,A14002501,6984520,60,34240250,6128,0,0,100820243,378737,16412150,16559
202106,A14002501,722360,3,24168230,4947,0,0,121094605,431071,15964650,16010
202107,A14002501,133140,0,18033300,4528,0,0,170049595,569709,17653580,17038
202108,A14002501,136940,0,17283170,3941,0,0,426356843,1034457,17366280,16854
202109,A14002501,384810,0,18966750,4328,0,0,192589997,624974,17252020,16072
202110,A14002501,13504230,143,24937350,5210,0,0,131446181,468349,16705550,16318
202111,A14002501,43003490,567,28278150,5915,0,0,112542714,389806,16368950,15768
202112,A14002501,91279970,1186,32645200,6996,0,0,119077753,383759,17189460,16558
202201,A14002501,116892080,1385,31180500,6977,0,0,133478532,408427,18786210,16507
202202,A14002501,102839810,1155,28159400,6165,0,0,135252596,406316,16571930,14824
202203,A14002501,57497060,612,30570000,6842,0,0,110416049,361048,17929260,16108
202204,A14002501,19717470,156,33566950,6007,0,0,109882290,386364,17417300,15433
202205,A14002501,9299490,28,32708650,5372,0,0,103100451,366207,16423330,15643
202206,A14002501,321870,0,17543250,3088,0,0,118139844,407102,17696580,14502
202207,A14002501,200410,0,34200,6,0,0,192458269,591682,16867250,12916
202208,A14002501,0,0,0,0,0,0,298190142,789193,14458490,13871
202209,A14002501,285200,0,0,0,0,0,203755166,620410,11947360,12927
202210,A14002501,20254730,161,19991600,4876,0,0,132409248,444283,16221590,14886
202211,A14002501,50768240,444,22353200,5452,0,0,117565351,365361,15536610,14593
202212,A14002501,160589111,1451,29937000,5870,0,0,122639884,363305,17742400,15365
202301,A14002501,149039671,1325,31905600,6261,0,0,143656200,379031,18903450,15041
202302,A14002501,103745011,868,29539200,5794,0,0,147439204,375538,16234710,13330
202303,A14002501,56396239,421,24583600,5999,0,0,116675391,328605,16241850,14701
202304,A14002501,32048605,148,22295800,5438,0,0,116125699,352785,15453610,14024
202305,A14002501,17659985,27,20828000,5080,0,0,111081553,344240,16948220,14730
202306,A14002501,15654945,0,14493600,4026,0,0,140066575,404693,15926080,14250
202307,A14002501,7101525,0,13664800,3596,0,0,190363501,563885,15063580,14747
202308,A14002501,13756745,0,12008000,3160,0,0,336411222,804509,16285650,14790
202309,A14002501,11503885,0,16256400,3534,0,0,282536953,720707,16748770,10895
202310,A14002501,22989095,73,21730400,4724,0,0,151388587,440240,15921940,14829
202311,A14002501,82842515,662,24780200,5389,0,0,129351819,365205,13485540,14333
202312,A14002501,143933725,1198,34804200,6108,0,0,143957093,357903,12966730,14685
202401,A14002501,150837105,1282,37135500,6517,0,0,153265074,376197,18258377,14984
202402,A14002501,109829205,886,34302600,6018,0,0,154021151,375455,14809970,13775
202403,A14002501,89863045,628,28538400,6204,0,0,128626575,341619,16683760,14469
202404,A14002501,26573385,73,25865800,5623,0,0,122687717,354959,16730660,14438
202405,A14002501,17279735,21,24021200,5222,0,0,119429609,354306,17198330,14894
202406,A14002501,16309575,0,16127200,4244,0,0,134597982,394863,17498220,14635
202407,A14002501,15212885,0,15813000,3765,0,0,211462508,569451,18960400,14971
202408,A14002501,15300755,0,13398000,3190,0,0,347916422,822486,17589660,15450
202409,A14002501,11957535,0,16416900,3219,0,0,355617226,870371,18093990,14779
202410,A14002501,19946976,49,22450200,4403,0,0,184845106,539566,17124520,14579
202411,A14002501,64444655,397,25647900,5031,0,0,123226280,358076,13353150,13957
202412,A14002501,147688875,1141,36489600,5794,0,0,130927188,351491,18647770,14186
202501,A14002501,167258425,1253,37119600,5895,0,0,149642900,368566,16552180,14175
202502,A14002501,0,0,0,0,0,0,0,0,0,0
202503,A14002501,0,0,0,0,0,0,0,0,0,0
