requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
197912,A14003003,0,0,0,0,0,0,0,0,0,0
198001,A14003003,0,0,0,0,0,0,0,0,0,0
198002,A14003003,0,0,0,0,0,0,0,0,0,0
198003,A14003003,0,0,0,0,0,0,0,0,0,0
198004,A14003003,0,0,0,0,0,0,0,0,0,0
198005,A14003003,0,0,0,0,0,0,0,0,0,0
198006,A14003003,0,0,0,0,0,0,0,0,0,0
198007,A14003003,0,0,0,0,0,0,0,0,0,0
198008,A14003003,0,0,0,0,0,0,0,0,0,0
198009,A14003003,0,0,0,0,0,0,0,0,0,0
198010,A14003003,0,0,0,0,0,0,0,0,0,0
198011,A14003003,0,0,0,0,0,0,0,0,0,0
198012,A14003003,0,0,0,0,0,0,0,0,0,0
198101,A14003003,0,0,0,0,0,0,0,0,0,0
198102,A14003003,0,0,0,0,0,0,0,0,0,0
198103,A14003003,0,0,0,0,0,0,0,0,0,0
198104,A14003003,0,0,0,0,0,0,0,0,0,0
198105,A14003003,0,0,0,0,0,0,0,0,0,0
198106,A14003003,0,0,0,0,0,0,0,0,0,0
198107,A14003003,0,0,0,0,0,0,0,0,0,0
198108,A14003003,0,0,0,0,0,0,0,0,0,0
198109,A14003003,0,0,0,0,0,0,0,0,0,0
198110,A14003003,0,0,0,0,0,0,0,0,0,0
198111,A14003003,0,0,0,0,0,0,0,0,0,0
198112,A14003003,0,0,0,0,0,0,0,0,0,0
198201,A14003003,0,0,0,0,0,0,0,0,0,0
198202,A14003003,0,0,0,0,0,0,0,0,0,0
198203,A14003003,0,0,0,0,0,0,0,0,0,0
198204,A14003003,0,0,0,0,0,0,0,0,0,0
198205,A14003003,0,0,0,0,0,0,0,0,0,0
198206,A14003003,0,0,0,0,0,0,0,0,0,0
198207,A14003003,0,0,0,0,0,0,0,0,0,0
198208,A14003003,0,0,0,0,0,0,0,0,0,0
198209,A14003003,0,0,0,0,0,0,0,0,0,0
198210,A14003003,0,0,0,0,0,0,0,0,0,0
198211,A14003003,0,0,0,0,0,0,0,0,0,0
198212,A14003003,0,0,0,0,0,0,0,0,0,0
198301,A14003003,0,0,0,0,0,0,0,0,0,0
198302,A14003003,0,0,0,0,0,0,0,0,0,0
198303,A14003003,0,0,0,0,0,0,0,0,0,0
198304,A14003003,0,0,0,0,0,0,0,0,0,0
198305,A14003003,0,0,0,0,0,0,0,0,0,0
198306,A14003003,0,0,0,0,0,0,0,0,0,0
198307,A14003003,0,0,0,0,0,0,0,0,0,0
198308,A14003003,0,0,0,0,0,0,0,0,0,0
198309,A14003003,0,0,0,0,0,0,0,0,0,0
198310,A14003003,0,0,0,0,0,0,0,0,0,0
198311,A14003003,0,0,0,0,0,0,0,0,0,0
198312,A14003003,0,0,0,0,0,0,0,0,0,0
198401,A14003003,0,0,0,0,0,0,0,0,0,0
198402,A14003003,0,0,0,0,0,0,0,0,0,0
198403,A14003003,0,0,0,0,0,0,0,0,0,0
198404,A14003003,0,0,0,0,0,0,0,0,0,0
198405,A14003003,0,0,0,0,0,0,0,0,0,0
198406,A14003003,0,0,0,0,0,0,0,0,0,0
198407,A14003003,0,0,0,0,0,0,0,0,0,0
198408,A14003003,0,0,0,0,0,0,0,0,0,0
198409,A14003003,0,0,0,0,0,0,0,0,0,0
198410,A14003003,0,0,0,0,0,0,0,0,0,0
198411,A14003003,0,0,0,0,0,0,0,0,0,0
198412,A14003003,0,0,0,0,0,0,0,0,0,0
198501,A14003003,0,0,0,0,0,0,0,0,0,0
198502,A14003003,0,0,0,0,0,0,0,0,0,0
198503,A14003003,0,0,0,0,0,0,0,0,0,0
198504,A14003003,0,0,0,0,0,0,0,0,0,0
198505,A14003003,0,0,0,0,0,0,0,0,0,0
198506,A14003003,0,0,0,0,0,0,0,0,0,0
198507,A14003003,0,0,0,0,0,0,0,0,0,0
198508,A14003003,0,0,0,0,0,0,0,0,0,0
198509,A14003003,0,0,0,0,0,0,0,0,0,0
198510,A14003003,0,0,0,0,0,0,0,0,0,0
198511,A14003003,0,0,0,0,0,0,0,0,0,0
198512,A14003003,0,0,0,0,0,0,0,0,0,0
198601,A14003003,0,0,0,0,0,0,0,0,0,0
198602,A14003003,0,0,0,0,0,0,0,0,0,0
198603,A14003003,0,0,0,0,0,0,0,0,0,0
198604,A14003003,0,0,0,0,0,0,0,0,0,0
198605,A14003003,0,0,0,0,0,0,0,0,0,0
198606,A14003003,0,0,0,0,0,0,0,0,0,0
198607,A14003003,0,0,0,0,0,0,0,0,0,0
198608,A14003003,0,0,0,0,0,0,0,0,0,0
198609,A14003003,0,0,0,0,0,0,0,0,0,0
198610,A14003003,0,0,0,0,0,0,0,0,0,0
198611,A14003003,0,0,0,0,0,0,0,0,0,0
198612,A14003003,0,0,0,0,0,0,0,0,0,0
198701,A14003003,0,0,0,0,0,0,0,0,0,0
198702,A14003003,0,0,0,0,0,0,0,0,0,0
198703,A14003003,0,0,0,0,0,0,0,0,0,0
198704,A14003003,0,0,0,0,0,0,0,0,0,0
198705,A14003003,0,0,0,0,0,0,0,0,0,0
198706,A14003003,0,0,0,0,0,0,0,0,0,0
198707,A14003003,0,0,0,0,0,0,0,0,0,0
198708,A14003003,0,0,0,0,0,0,0,0,0,0
198709,A14003003,0,0,0,0,0,0,0,0,0,0
198710,A14003003,0,0,0,0,0,0,0,0,0,0
198711,A14003003,0,0,0,0,0,0,0,0,0,0
198712,A14003003,0,0,0,0,0,0,0,0,0,0
198801,A14003003,0,0,0,0,0,0,0,0,0,0
198802,A14003003,0,0,0,0,0,0,0,0,0,0
198803,A14003003,0,0,0,0,0,0,0,0,0,0
198804,A14003003,0,0,0,0,0,0,0,0,0,0
198805,A14003003,0,0,0,0,0,0,0,0,0,0
198806,A14003003,0,0,0,0,0,0,0,0,0,0
198807,A14003003,0,0,0,0,0,0,0,0,0,0
198808,A14003003,0,0,0,0,0,0,0,0,0,0
198809,A14003003,0,0,0,0,0,0,0,0,0,0
198810,A14003003,0,0,0,0,0,0,0,0,0,0
198811,A14003003,0,0,0,0,0,0,0,0,0,0
198812,A14003003,0,0,0,0,0,0,0,0,0,0
198901,A14003003,0,0,0,0,0,0,0,0,0,0
198902,A14003003,0,0,0,0,0,0,0,0,0,0
198903,A14003003,0,0,0,0,0,0,0,0,0,0
198904,A14003003,0,0,0,0,0,0,0,0,0,0
198905,A14003003,0,0,0,0,0,0,0,0,0,0
198906,A14003003,0,0,0,0,0,0,0,0,0,0
198907,A14003003,0,0,0,0,0,0,0,0,0,0
198908,A14003003,0,0,0,0,0,0,0,0,0,0
198909,A14003003,0,0,0,0,0,0,0,0,0,0
198910,A14003003,0,0,0,0,0,0,0,0,0,0
198911,A14003003,0,0,0,0,0,0,0,0,0,0
198912,A14003003,0,0,0,0,0,0,0,0,0,0
199001,A14003003,0,0,0,0,0,0,0,0,0,0
199002,A14003003,0,0,0,0,0,0,0,0,0,0
199003,A14003003,0,0,0,0,0,0,0,0,0,0
199004,A14003003,0,0,0,0,0,0,0,0,0,0
199005,A14003003,0,0,0,0,0,0,0,0,0,0
199006,A14003003,0,0,0,0,0,0,0,0,0,0
199007,A14003003,0,0,0,0,0,0,0,0,0,0
199008,A14003003,0,0,0,0,0,0,0,0,0,0
199009,A14003003,0,0,0,0,0,0,0,0,0,0
199010,A14003003,0,0,0,0,0,0,0,0,0,0
199011,A14003003,0,0,0,0,0,0,0,0,0,0
199012,A14003003,0,0,0,0,0,0,0,0,0,0
199101,A14003003,0,0,0,0,0,0,0,0,0,0
199102,A14003003,0,0,0,0,0,0,0,0,0,0
199103,A14003003,0,0,0,0,0,0,0,0,0,0
199104,A14003003,0,0,0,0,0,0,0,0,0,0
199105,A14003003,0,0,0,0,0,0,0,0,0,0
199106,A14003003,0,0,0,0,0,0,0,0,0,0
199107,A14003003,0,0,0,0,0,0,0,0,0,0
199108,A14003003,0,0,0,0,0,0,0,0,0,0
199109,A14003003,0,0,0,0,0,0,0,0,0,0
199110,A14003003,0,0,0,0,0,0,0,0,0,0
199111,A14003003,0,0,0,0,0,0,0,0,0,0
199112,A14003003,0,0,0,0,0,0,0,0,0,0
199201,A14003003,0,0,0,0,0,0,0,0,0,0
199202,A14003003,0,0,0,0,0,0,0,0,0,0
199203,A14003003,0,0,0,0,0,0,0,0,0,0
199204,A14003003,0,0,0,0,0,0,0,0,0,0
199205,A14003003,0,0,0,0,0,0,0,0,0,0
199206,A14003003,0,0,0,0,0,0,0,0,0,0
199207,A14003003,0,0,0,0,0,0,0,0,0,0
199208,A14003003,0,0,0,0,0,0,0,0,0,0
199209,A14003003,0,0,0,0,0,0,0,0,0,0
199210,A14003003,0,0,0,0,0,0,0,0,0,0
199211,A14003003,0,0,0,0,0,0,0,0,0,0
199212,A14003003,0,0,0,0,0,0,0,0,0,0
199301,A14003003,0,0,0,0,0,0,0,0,0,0
199302,A14003003,0,0,0,0,0,0,0,0,0,0
199303,A14003003,0,0,0,0,0,0,0,0,0,0
199304,A14003003,0,0,0,0,0,0,0,0,0,0
199305,A14003003,0,0,0,0,0,0,0,0,0,0
199306,A14003003,0,0,0,0,0,0,0,0,0,0
199307,A14003003,0,0,0,0,0,0,0,0,0,0
199308,A14003003,0,0,0,0,0,0,0,0,0,0
199309,A14003003,0,0,0,0,0,0,0,0,0,0
199310,A14003003,0,0,0,0,0,0,0,0,0,0
199311,A14003003,0,0,0,0,0,0,0,0,0,0
199312,A14003003,0,0,0,0,0,0,0,0,0,0
199401,A14003003,0,0,0,0,0,0,0,0,0,0
199402,A14003003,0,0,0,0,0,0,0,0,0,0
199403,A14003003,0,0,0,0,0,0,0,0,0,0
199404,A14003003,0,0,0,0,0,0,0,0,0,0
199405,A14003003,0,0,0,0,0,0,0,0,0,0
199406,A14003003,0,0,0,0,0,0,0,0,0,0
199407,A14003003,0,0,0,0,0,0,0,0,0,0
199408,A14003003,0,0,0,0,0,0,0,0,0,0
199409,A14003003,0,0,0,0,0,0,0,0,0,0
199410,A14003003,0,0,0,0,0,0,0,0,0,0
199411,A14003003,0,0,0,0,0,0,0,0,0,0
199412,A14003003,0,0,0,0,0,0,0,0,0,0
199501,A14003003,0,0,0,0,0,0,0,0,0,0
199502,A14003003,0,0,0,0,0,0,0,0,0,0
199503,A14003003,0,0,0,0,0,0,0,0,0,0
199504,A14003003,0,0,0,0,0,0,0,0,0,0
199505,A14003003,0,0,0,0,0,0,0,0,0,0
199506,A14003003,0,0,0,0,0,0,0,0,0,0
199507,A14003003,0,0,0,0,0,0,0,0,0,0
