requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
199705,A14319001,0,0,0,0,0,0,0,0,0,0
199706,A14319001,0,0,0,0,0,0,0,0,0,0
199707,A14319001,0,0,0,0,0,0,0,0,0,0
199708,A14319001,0,0,0,0,0,0,0,0,0,0
199709,A14319001,0,0,0,0,0,0,0,0,0,0
199710,A14319001,0,0,0,0,0,0,0,0,0,0
199711,A14319001,0,0,0,0,0,0,0,0,0,0
199712,A14319001,0,0,0,0,0,0,0,0,0,0
199801,A14319001,0,0,0,0,0,0,0,0,0,0
199802,A14319001,0,0,0,0,0,0,0,0,0,0
199803,A14319001,0,0,0,0,0,0,0,0,0,0
199804,A14319001,0,0,0,0,0,0,0,0,0,0
199805,A14319001,0,0,0,0,0,0,0,0,0,0
199806,A14319001,0,0,0,0,0,0,0,0,0,0
199807,A14319001,0,0,0,0,0,0,0,0,0,0
199808,A14319001,0,0,0,0,0,0,0,0,0,0
199809,A14319001,0,0,0,0,0,0,0,0,0,0
199810,A14319001,0,0,0,0,0,0,0,0,0,0
199811,A14319001,0,0,0,0,0,0,0,0,0,0
199812,A14319001,0,0,0,0,0,0,0,0,0,0
199901,A14319001,0,0,0,0,0,0,0,0,0,0
199902,A14319001,0,0,0,0,0,0,0,0,0,0
199903,A14319001,0,0,0,0,0,0,0,0,0,0
199904,A14319001,0,0,0,0,0,0,0,0,0,0
199905,A14319001,0,0,0,0,0,0,0,0,0,0
199906,A14319001,0,0,0,0,0,0,0,0,0,0
199907,A14319001,0,0,0,0,0,0,0,0,0,0
199908,A14319001,0,0,0,0,0,0,0,0,0,0
199909,A14319001,0,0,0,0,0,0,0,0,0,0
199910,A14319001,0,0,0,0,0,0,0,0,0,0
199911,A14319001,0,0,0,0,0,0,0,0,0,0
199912,A14319001,0,0,0,0,0,0,0,0,0,0
200001,A14319001,0,0,0,0,0,0,0,0,0,0
200002,A14319001,0,0,0,0,0,0,0,0,0,0
200003,A14319001,0,0,0,0,0,0,0,0,0,0
200004,A14319001,0,0,0,0,0,0,0,0,0,0
200005,A14319001,0,0,0,0,0,0,0,0,0,0
200006,A14319001,0,0,0,0,0,0,0,0,0,0
200007,A14319001,0,0,0,0,0,0,0,0,0,0
200008,A14319001,0,0,0,0,0,0,0,0,0,0
200009,A14319001,0,0,0,0,0,0,0,0,0,0
200010,A14319001,0,0,0,0,0,0,0,0,0,0
200011,A14319001,0,0,0,0,0,0,0,0,0,0
200012,A14319001,0,0,0,0,0,0,0,0,0,0
200101,A14319001,0,0,0,0,0,0,0,0,0,0
200102,A14319001,0,0,0,0,0,0,0,0,0,0
200103,A14319001,0,0,0,0,0,0,0,0,0,0
200104,A14319001,0,0,0,0,0,0,0,0,0,0
200105,A14319001,0,0,0,0,0,0,0,0,0,0
200106,A14319001,0,0,0,0,0,0,0,0,0,0
200107,A14319001,0,0,0,0,0,0,0,0,0,0
200108,A14319001,0,0,0,0,0,0,0,0,0,0
200109,A14319001,0,0,0,0,0,0,0,0,0,0
200110,A14319001,0,0,0,0,0,0,0,0,0,0
200111,A14319001,0,0,0,0,0,0,0,0,0,0
200112,A14319001,0,0,0,0,0,0,0,0,0,0
200201,A14319001,0,0,0,0,0,0,0,0,0,0
200202,A14319001,0,0,0,0,0,0,0,0,0,0
200203,A14319001,0,0,0,0,0,0,0,0,0,0
200204,A14319001,0,0,0,0,0,0,0,0,0,0
200205,A14319001,0,0,0,0,0,0,0,0,0,0
200206,A14319001,0,0,0,0,0,0,0,0,0,0
200207,A14319001,0,0,0,0,0,0,0,0,0,0
200208,A14319001,0,0,0,0,0,0,0,0,0,0
200209,A14319001,0,0,0,0,0,0,0,0,0,0
200210,A14319001,0,0,0,0,0,0,0,0,0,0
200211,A14319001,0,0,0,0,0,0,0,0,0,0
200212,A14319001,0,0,0,0,0,0,0,0,0,0
200301,A14319001,0,0,0,0,0,0,0,0,0,0
200302,A14319001,0,0,0,0,0,0,0,0,0,0
200303,A14319001,0,0,0,0,0,0,0,0,0,0
200304,A14319001,0,0,0,0,0,0,0,0,0,0
200305,A14319001,0,0,0,0,0,0,0,0,0,0
200306,A14319001,0,0,0,0,0,0,0,0,0,0
200307,A14319001,0,0,0,0,0,0,0,0,0,0
200308,A14319001,0,0,0,0,0,0,0,0,0,0
200309,A14319001,0,0,0,0,0,0,0,0,0,0
200310,A14319001,0,0,0,0,0,0,0,0,0,0
200311,A14319001,0,0,0,0,0,0,0,0,0,0
200312,A14319001,0,0,0,0,0,0,0,0,0,0
200401,A14319001,0,0,0,0,0,0,0,0,0,0
200402,A14319001,0,0,0,0,0,0,0,0,0,0
200403,A14319001,0,0,0,0,0,0,0,0,0,0
200404,A14319001,0,0,0,0,0,0,0,0,0,0
200405,A14319001,0,0,0,0,0,0,0,0,0,0
200406,A14319001,0,0,0,0,0,0,0,0,0,0
200407,A14319001,0,0,0,0,0,0,0,0,0,0
200408,A14319001,0,0,0,0,0,0,0,0,0,0
200409,A14319001,0,0,0,0,0,0,0,0,0,0
200410,A14319001,0,0,0,0,0,0,0,0,0,0
200411,A14319001,0,0,0,0,0,0,0,0,0,0
200412,A14319001,0,0,0,0,0,0,0,0,0,0
200501,A14319001,0,0,0,0,0,0,0,0,0,0
200502,A14319001,0,0,0,0,0,0,0,0,0,0
200503,A14319001,0,0,0,0,0,0,0,0,0,0
200504,A14319001,0,0,0,0,0,0,0,0,0,0
200505,A14319001,0,0,0,0,0,0,0,0,0,0
200506,A14319001,0,0,0,0,0,0,0,0,0,0
200507,A14319001,0,0,0,0,0,0,0,0,0,0
200508,A14319001,0,0,0,0,0,0,0,0,0,0
200509,A14319001,0,0,0,0,0,0,0,0,0,0
200510,A14319001,0,0,0,0,0,0,0,0,0,0
200511,A14319001,0,0,0,0,0,0,0,0,0,0
200512,A14319001,0,0,0,0,0,0,0,0,0,0
200601,A14319001,0,0,0,0,0,0,0,0,0,0
200602,A14319001,0,0,0,0,0,0,0,0,0,0
200603,A14319001,0,0,0,0,0,0,0,0,0,0
200604,A14319001,0,0,0,0,0,0,0,0,0,0
200605,A14319001,0,0,0,0,0,0,0,0,0,0
200606,A14319001,0,0,0,0,0,0,0,0,0,0
200607,A14319001,0,0,0,0,0,0,0,0,0,0
200608,A14319001,0,0,0,0,0,0,0,0,0,0
200609,A14319001,0,0,0,0,0,0,0,0,0,0
200610,A14319001,0,0,0,0,0,0,0,0,0,0
200611,A14319001,0,0,0,0,0,0,0,0,0,0
200612,A14319001,0,0,0,0,0,0,0,0,0,0
200701,A14319001,0,0,0,0,0,0,0,0,0,0
200702,A14319001,0,0,0,0,0,0,0,0,0,0
200703,A14319001,0,0,0,0,0,0,0,0,0,0
200704,A14319001,0,0,0,0,0,0,0,0,0,0
200705,A14319001,0,0,0,0,0,0,0,0,0,0
200706,A14319001,0,0,0,0,0,0,0,0,0,0
200707,A14319001,0,0,0,0,0,0,0,0,0,0
200708,A14319001,0,0,0,0,0,0,0,0,0,0
200709,A14319001,0,0,0,0,0,0,0,0,0,0
200710,A14319001,0,0,0,0,0,0,0,0,0,0
200711,A14319001,0,0,0,0,0,0,0,0,0,0
200712,A14319001,0,0,0,0,0,0,0,0,0,0
200801,A14319001,0,0,0,0,0,0,0,0,0,0
200802,A14319001,0,0,0,0,0,0,0,0,0,0
200803,A14319001,0,0,0,0,0,0,0,0,0,0
200804,A14319001,0,0,0,0,0,0,0,0,0,0
200805,A14319001,0,0,0,0,0,0,0,0,0,0
200806,A14319001,0,0,0,0,0,0,0,0,0,0
200807,A14319001,0,0,0,0,0,0,0,0,0,0
200808,A14319001,0,0,0,0,0,0,0,0,0,0
200809,A14319001,0,0,0,0,0,0,0,0,0,0
200810,A14319001,0,0,0,0,0,0,0,0,0,0
200811,A14319001,0,0,0,0,0,0,0,0,0,0
200812,A14319001,0,0,0,0,0,0,0,0,0,0
200901,A14319001,0,0,0,0,0,0,0,0,0,0
200902,A14319001,0,0,0,0,0,0,0,0,0,0
200903,A14319001,0,0,0,0,0,0,0,0,0,0
200904,A14319001,0,0,0,0,0,0,0,0,0,0
200905,A14319001,0,0,0,0,0,0,0,0,0,0
200906,A14319001,0,0,0,0,0,0,0,0,0,0
200907,A14319001,0,0,0,0,0,0,0,0,0,0
200908,A14319001,0,0,0,0,0,0,0,0,0,0
200909,A14319001,0,0,0,0,0,0,0,0,0,0
200910,A14319001,0,0,0,0,0,0,0,0,0,0
200911,A14319001,0,0,0,0,0,0,0,0,0,0
200912,A14319001,0,0,0,0,0,0,0,0,0,0
201001,A14319001,0,0,0,0,0,0,0,0,0,0
201002,A14319001,0,0,0,0,0,0,10119100,0,0,0
201003,A14319001,0,0,0,0,0,0,7742950,0,0,0
201004,A14319001,0,0,0,0,0,0,8621470,0,0,0
201005,A14319001,0,0,0,0,0,0,7496800,0,0,0
201006,A14319001,0,0,0,0,0,0,8077810,0,0,0
201007,A14319001,0,0,0,0,0,0,8978050,0,0,0
201008,A14319001,0,0,0,0,0,0,11709490,0,0,0
201009,A14319001,0,0,0,0,0,0,9499810,0,0,0
201010,A14319001,0,0,0,0,0,0,8401440,0,0,0
201011,A14319001,0,0,0,0,0,0,0,0,0,0
201012,A14319001,0,0,0,0,0,0,9115760,0,0,0
201101,A14319001,0,0,0,0,0,0,10699300,0,0,0
201102,A14319001,0,0,0,0,0,0,10220970,0,0,0
201103,A14319001,0,0,0,0,0,0,7654360,0,0,0
201104,A14319001,0,0,0,0,0,0,8456840,0,0,0
201105,A14319001,0,0,0,0,0,0,7613490,0,0,0
201106,A14319001,0,0,0,0,0,0,7725390,0,0,0
201107,A14319001,0,0,0,0,0,0,8569820,0,0,0
201108,A14319001,0,0,0,0,0,0,9085780,0,0,0
201109,A14319001,0,0,0,0,0,0,9085780,0,0,0
201110,A14319001,0,0,0,0,0,0,7582890,0,0,0
201111,A14319001,0,0,0,0,0,0,0,0,0,0
201112,A14319001,0,0,0,0,0,0,8760510,0,0,0
201201,A14319001,0,0,0,0,0,0,10666980,0,0,0
201202,A14319001,0,0,0,0,0,0,10765410,0,0,0
201203,A14319001,0,0,0,0,0,0,8941340,0,0,0
201204,A14319001,0,0,0,0,0,0,8509880,0,0,0
201205,A14319001,0,0,0,0,0,0,7646060,0,0,0
201206,A14319001,0,0,0,0,0,0,7805700,0,0,0
201207,A14319001,0,0,0,0,0,0,8143350,0,0,0
201208,A14319001,0,0,0,0,0,0,14767070,0,0,0
201209,A14319001,0,0,0,0,0,0,9069270,0,0,0
201210,A14319001,0,0,0,0,0,0,7463210,0,0,0
201211,A14319001,0,0,0,0,0,0,8874740,0,0,0
201212,A14319001,0,0,0,0,0,0,9806530,0,0,0
201301,A14319001,0,0,0,0,0,0,11478540,0,0,0
201302,A14319001,0,0,0,0,0,0,11322180,0,0,0
201303,A14319001,0,0,0,0,0,0,8314570,0,0,0
201304,A14319001,0,0,0,0,0,0,8889880,0,0,0
201305,A14319001,0,0,0,0,0,0,7678430,0,0,0
201306,A14319001,0,0,0,0,0,0,8070620,0,0,0
201307,A14319001,0,0,0,0,0,0,9251830,0,0,0
201308,A14319001,0,0,0,0,0,0,13880680,0,0,0
201309,A14319001,0,0,0,0,0,0,8697170,0,0,0
201310,A14319001,0,0,0,0,0,0,7332340,0,0,0
201311,A14319001,0,0,0,0,0,0,8444510,0,0,0
201312,A14319001,0,0,0,0,0,0,9612790,0,0,0
201401,A14319001,0,0,0,0,0,0,2528460,0,424500,0
201402,A14319001,0,0,0,0,0,0,2431760,0,0,0
201403,A14319001,0,0,0,0,0,0,1663310,0,471000,0
201404,A14319001,0,0,0,0,0,0,1390340,0,0,0
201405,A14319001,0,0,0,0,0,0,1196330,0,73500,0
201406,A14319001,0,0,0,0,0,0,1528750,0,0,0
201407,A14319001,0,0,0,0,0,0,1705320,0,124500,0
201408,A14319001,0,0,0,0,0,0,1600630,0,0,0
201409,A14319001,0,0,0,0,0,0,1342710,0,73500,0
201410,A14319001,0,0,0,0,0,0,1168910,0,0,0
201411,A14319001,0,0,0,0,0,0,1537880,0,48000,0
201412,A14319001,0,0,0,0,0,0,1992560,0,0,0
201501,A14319001,0,0,0,0,0,0,10271970,0,223500,0
201502,A14319001,0,0,0,0,0,0,10046330,0,0,0
201503,A14319001,0,0,0,0,0,0,7849550,0,49500,0
201504,A14319001,0,0,0,0,0,0,8059880,0,0,0
201505,A14319001,0,0,0,0,0,0,7264360,0,0,0
201506,A14319001,0,0,0,0,0,0,7958870,0,0,0
201507,A14319001,0,0,0,0,0,0,7703660,0,198000,0
201508,A14319001,0,0,0,0,0,0,11416130,0,0,0
201509,A14319001,0,0,0,0,0,0,7348240,0,322500,0
201510,A14319001,0,0,0,0,0,0,6845750,0,0,0
201511,A14319001,0,0,0,0,0,0,7742560,0,148500,0
201512,A14319001,0,0,0,0,0,0,8133250,0,0,0
201601,A14319001,0,0,0,0,0,0,9544740,0,48000,0
201602,A14319001,0,0,0,0,0,0,10147170,0,0,0
201603,A14319001,0,0,0,0,0,0,7688970,0,73500,0
201604,A14319001,0,0,0,0,0,0,7479490,0,0,0
201605,A14319001,0,0,0,0,0,0,6680620,0,97500,0
201606,A14319001,0,0,0,0,0,0,7499190,0,0,0
201607,A14319001,0,0,0,0,0,0,8394090,0,73500,0
201608,A14319001,0,0,0,0,0,0,15600140,0,0,0
201609,A14319001,0,0,0,0,0,0,3736180,0,571500,0
201610,A14319001,0,0,0,0,0,0,6722540,0,0,0
201611,A14319001,0,0,0,0,0,0,7805890,0,346500,0
201612,A14319001,0,0,0,0,0,0,8242750,0,0,0
201701,A14319001,0,0,0,0,0,0,6422020,0,183000,0
201702,A14319001,0,0,0,0,0,0,6420950,0,0,0
201703,A14319001,0,0,0,0,0,0,5070870,0,0,0
201704,A14319001,0,0,0,0,0,0,5566580,0,0,0
201705,A14319001,0,0,0,0,0,0,4870280,0,24000,0
201706,A14319001,0,0,0,0,0,0,5202430,0,0,0
201707,A14319001,0,0,0,0,0,0,7109010,0,24000,0
201708,A14319001,0,0,0,0,0,0,8820940,0,0,0
201709,A14319001,0,0,0,0,0,0,5411180,0,0,0
201710,A14319001,0,0,0,0,0,0,4879540,0,0,0
201711,A14319001,0,0,0,0,0,0,10419680,38112,24000,0
201712,A14319001,0,0,0,0,0,0,5839220,40788,0,0
201801,A14319001,0,0,0,0,0,0,6342620,42846,49500,0
201802,A14319001,0,0,0,0,0,0,6718170,43923,0,0
201803,A14319001,0,0,0,0,0,0,5053780,37247,0,0
201804,A14319001,0,0,0,0,0,0,5562790,39604,0,0
201805,A14319001,0,0,0,0,0,0,4975850,36942,51000,0
201806,A14319001,0,0,0,0,0,0,5286260,38326,0,0
201807,A14319001,0,0,0,0,0,0,6255480,42605,78000,0
201808,A14319001,0,0,0,0,0,0,10868900,42605,0,0
201809,A14319001,0,0,0,0,0,0,5903530,41745,51000,0
201810,A14319001,0,0,0,0,0,0,4512160,35894,0,0
201811,A14319001,0,0,0,0,0,0,1492940,16937,0,0
201812,A14319001,0,0,0,0,0,0,5057490,37885,0,0
201901,A14319001,0,0,0,0,0,0,6110960,42368,25500,0
201902,A14319001,0,0,0,0,0,0,5988490,42097,0,0
201903,A14319001,0,0,0,0,0,0,4909320,37236,27000,0
201904,A14319001,0,0,0,0,0,0,5450320,39461,0,0
201905,A14319001,0,0,0,0,0,0,4907230,37162,82500,0
201906,A14319001,0,0,0,0,0,0,4881430,36924,0,0
201907,A14319001,0,0,0,0,0,0,4837310,37427,82500,0
201908,A14319001,0,0,0,0,0,0,5513830,46804,0,0
201909,A14319001,0,0,0,0,0,0,7512800,53479,27000,0
201910,A14319001,0,0,0,0,0,0,4982650,0,0,0
201911,A14319001,0,0,0,0,0,0,4772450,36308,0,0
201912,A14319001,0,0,0,0,0,0,4947730,37191,0,0
202001,A14319001,0,0,0,0,0,0,5943590,41060,0,0
202002,A14319001,0,0,0,0,0,0,5880160,40962,0,0
202003,A14319001,0,0,0,0,0,0,5490730,39385,0,0
202004,A14319001,0,0,0,0,0,0,5680630,40236,0,0
202005,A14319001,0,0,0,0,0,0,5066960,37346,0,0
202006,A14319001,0,0,0,0,0,0,5126900,37670,0,0
202007,A14319001,0,0,0,0,0,0,5803670,40800,0,0
202008,A14319001,0,0,0,0,0,0,5110330,42169,0,0
202009,A14319001,0,0,0,0,0,0,8755430,57972,0,0
202010,A14319001,0,0,0,0,0,0,5413630,39078,0,0
202011,A14319001,0,0,0,0,0,0,5075800,37413,0,0
202012,A14319001,0,0,0,0,0,0,7287300,38457,0,0
202101,A14319001,0,0,0,0,0,0,8576000,43587,0,0
202102,A14319001,0,0,0,0,0,0,8980460,44329,82500,0
202103,A14319001,0,0,0,0,0,0,7210710,38234,27000,0
202104,A14319001,0,0,0,0,0,0,6884970,39008,0,0
202105,A14319001,0,0,0,0,0,0,6170160,36775,0,0
202106,A14319001,0,0,0,0,17680,0,6523980,38350,0,0
202107,A14319001,0,0,0,0,0,0,7240240,38686,0,0
202108,A14319001,0,0,0,0,0,0,12739490,66537,43500,0
202109,A14319001,0,0,0,0,0,0,9121430,52096,0,0
202110,A14319001,0,0,0,0,0,0,6723740,38126,0,0
202111,A14319001,0,0,0,0,0,0,6853020,38195,0,0
202112,A14319001,0,0,0,0,0,0,7559330,38900,0,0
202201,A14319001,0,0,0,0,0,0,8269850,41987,0,0
202202,A14319001,0,0,0,0,0,0,8839410,42771,0,0
202203,A14319001,0,0,0,0,0,0,7440970,37811,93000,0
202204,A14319001,0,0,0,0,0,0,7414030,0,0,0
202205,A14319001,0,0,0,0,0,0,6693599,35497,93000,0
202206,A14319001,0,0,0,0,0,0,6686560,35704,0,0
202207,A14319001,0,0,0,0,0,0,8190570,39030,0,0
202208,A14319001,0,0,0,0,0,0,11457310,56707,0,0
202209,A14319001,0,0,0,0,0,0,10700160,53498,0,0
202210,A14319001,0,0,0,0,0,0,7285210,37219,0,0
202211,A14319001,0,0,0,0,0,0,7736560,36594,0,0
202212,A14319001,0,0,0,0,0,0,8271310,36680,0,0
202301,A14319001,0,0,0,0,0,0,9928060,41408,0,0
202302,A14319001,0,0,0,0,0,0,10920740,42050,0,0
202303,A14319001,0,0,0,0,0,0,8810470,34586,0,0
202304,A14319001,0,0,0,0,0,0,8700850,36980,0,0
202305,A14319001,0,0,0,0,0,0,7666590,32168,0,0
202306,A14319001,0,0,0,0,0,0,8498130,37660,0,0
202307,A14319001,0,0,0,0,0,0,9569590,38097,0,0
202308,A14319001,0,0,0,0,0,0,13171450,55375,0,0
202309,A14319001,0,0,0,0,0,0,14776400,60544,0,0
202310,A14319001,0,0,0,0,0,0,9339110,39721,0,0
202311,A14319001,0,0,0,0,0,0,8646550,0,67500,0
202312,A14319001,0,0,0,0,0,0,16501060,36778,0,0
202401,A14319001,0,0,0,0,0,0,19202100,40852,33000,0
